Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
aspA,-1.0369113318466259,1.3510651365821758,,-2.564868686628487,0.6253380831722266,0.7107221726469972,0.6300115984226171,1.175580225578817,,,,,-4.935204313657595,-2.785110850147132,-2.2895472762990408
gltD,0.20442819674728183,,,,-0.7759272526937083,-0.7681482675949863,-0.6474962272904904,-1.3322816417283148,-0.7375416583370308,,,,,-0.6096056333286908,
gltX,0.08986913429085175,,,,0.28567064486032917,0.12901977692265595,0.5251506535526324,,0.2888922800169799,0.9155944364088435,,0.19387907578163158,,0.49546929219203245,0.2684258041353344
hemA,-2.481327502182503,,-1.1885241679262426,,,,,,,,,,,-1.2265045066871636,
hemC,0.3187701394673396,0.2734642498746714,,,0.39376481588481893,0.36084174605364205,0.5714508173392843,0.5575875038128858,,,,,,0.13656768131248115,
PP_3148,,1.1251493844960292,-2.647786855361779,-2.807524904963784,-4.340515692194217,-4.2597111526920095,-5.168874016396251,-2.2564329095793374,,-3.7331226615247965,,-2.2110515049507824,-2.3182712166546593,-4.374526750011299,-1.2012381611929077
gdhA,,-1.3761776572453903,-1.2075799989728029,,,,,-1.8174650514038568,-1.1755110604508345,-1.6775360501995218,,0.37228979932646344,,-6.294603988203517,-0.8834916857215965
gdhB,,0.3480718547977902,0.17560955481969667,0.29032160042486,,,,0.39669175902144505,0.3444743249944708,,,,,0.5282478799248117,0.33465473879386937
gltB,,,-0.602464955251455,0.13649446488016534,,,-0.18432423947903898,,,,,,,,0.49799186996824324
hemB,,,0.35478185010657237,-0.883010892740266,,-0.24827639029923654,,-0.3954252894878212,,,,-0.6779565314184443,-0.6042970252348915,,-0.9089189748880749
hemL,,,-0.905195946969472,-0.6314532947758538,,,-0.26704180568921215,-0.5042497303551815,-0.6013153094035447,,,-0.5426763403681574,-0.5522005700981543,-0.20449900460520912,-0.6365821599995695
glnA,,,,-0.7123137925595463,-0.7482905568083676,-0.6519724965684621,-0.7114314915262779,-0.39436074061102555,-0.6315315695182757,-0.43810101309479255,,-0.37086603631132636,-0.6111827838748903,-0.3757175754714961,-0.3179467019014554
PP_4692,,,,,0.5808868898476186,,0.7715668332452995,,,,,,,,
tyrB,,,,,,,0.43187329238637756,0.41538821352325556,,,,0.48258973545861816,,,
