Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_4120,0.2832075009164462,1.4864469110896457,0.3562236168506709,4.852886452077056,,,-0.3236560373366017,2.9714739622684467,-0.3260366777996173,1.9533401428960115,,,,,,,,,,,,,,,0.2895432516399652,2.5078847263235264,,
PP_4121,0.20202178542786023,5.003694148024919,,,,,-0.4200197256827154,1.8996964881003682,-0.21941211742476277,4.978330035861519,,,,,0.20564389370360817,2.654656625655671,0.5818845035562155,1.4846618530039102,,,,,,,,,0.27489696386055457,8.437843475660571
PP_4124,0.17580756787216079,2.0233126133295416,,,,,-0.7072941710292946,2.711571871363016,-0.5707305538890932,3.7732918012463066,-0.382435021381769,5.174811484100654,-0.5241937352409616,1.7793094829022575,,,-1.0790714704757685,1.8426930678379339,,,,,,,,,,
PP_4366,1.1387711280424886,1.4456310539431754,,,1.1804662885484303,2.104782543504739,,,,,1.5700041941771241,8.477685544782135,,,,,,,,,,,,,,,,
PP_5413,-0.19831814021598249,1.735537828940296,-0.4271798604662203,4.854638650178352,,,,,,,,,,,,,,,-0.25667256244767545,2.2274822189656245,,,,,,,-0.260785359658853,2.798590542296469
PP_4122,,,-0.5868924314185908,1.470071724441189,,,-0.42238569947638727,2.550484499396567,-0.7021887200166547,1.6213051863709143,,,,,,,-1.4304642442027578,1.3276264745077488,,,,,,,,,,
PP_5415,,,-0.2903648052581553,4.294073927959866,,,0.4793011124831736,2.074615561521361,0.5856979550944812,4.3400228245988055,0.5550508554262087,2.139460510340441,0.44915318872672766,2.0431081430036793,0.2622557547484476,2.4779478831320487,0.43882268963592364,1.4435607439470606,,,0.30969691365744473,6.927918986050068,,,0.5539290764336567,3.327959294165913,0.3449669538935723,1.9615179230281536
PP_0812,,,,,-0.20185920790122436,2.0315040799958104,-1.3928262982601813,2.1186429925963446,-1.9337835511457007,3.226138709617922,-3.525572572393772,11.217811543573921,-1.741433231370972,5.7186753200559695,,,,,,,,,,,,,0.41097997772564415,1.9533124134120419
PP_1317,,,,,0.24820787935317012,1.9930719741321328,,,0.3071393090261762,1.9756940717019489,0.6081997704354049,2.03219380816066,0.6953314320020578,1.9794451387412562,,,,,,,,,-0.8910155535548987,2.7576115889476847,1.3628283307523583,2.103326746208853,0.6831399004426959,2.766594225288838
PP_5414,,,,,0.1389426065276995,3.609031971719579,,,0.6132866266111014,5.638326477900926,0.5228071394175704,3.9223897678359667,,,,,,,,,0.38661963850866365,2.946557520524125,0.230904066047058,1.491892418375582,0.6254172660627062,1.4200416003004126,,
PP_0813,,,,,,,-1.5851286809456455,1.9394146630306168,-2.280883451004653,3.0489271667993463,,,0.22956171733575864,3.212868617274089,,,,,,,,,0.1447736853739511,1.3025984263955233,-4.742766811487924,14.346287749950887,0.521048976992888,2.463569580183139
PP_4123,,,,,,,-0.570760737994356,3.6742047769964383,-0.40931852319718026,2.8670239127176367,,,-0.8777840708176201,1.5329810897365759,,,-0.5951305812074417,2.634127618716211,,,,,,,,,,
PP_4126,,,,,,,-0.666444884141563,7.59073288221827,-0.4970404942634875,4.029986941020561,-0.3311330737262933,4.171511729266576,,,,,-0.3925874970381917,1.4311051508576103,,,,,,,,,0.14965489758543918,1.3682034409259904
PP_5412,,,,,,,0.7737211434284732,2.526019355459429,,,,,,,0.2663507411956736,1.3191269397689285,,,,,0.5355913874241999,1.762800655331796,,,,,,
PP_5416,,,,,,,0.569035516959649,3.00927139996763,0.5637954348032639,4.157061855093771,0.4230612791735601,1.8857646874308833,,,,,,,,,0.4601207676869939,4.928212475053372,,,0.5300351183321571,2.289159210067357,,
PP_5417,,,,,,,0.40743148212074215,2.0045544534628035,0.5068545790496336,3.5636770062984735,0.44911678962264145,2.74836259287984,,,0.3811770082090421,2.3912450977016575,,,,,0.3934662936052552,1.3247669136395304,,,0.516882429092813,3.8790170301104094,0.18129830413427747,1.4928364547056219
PP_4125,,,,,,,,,-0.5682319358204933,1.579523104030871,-0.3497683751143501,2.2251357631467497,-1.0033329935278201,1.5301158341786176,,,,,,,,,,,,,,
PP_1319,,,,,,,,,,,0.6945404534047473,4.973990680995038,0.6617620527368997,1.418490207682594,-1.4610120492936711,2.645574594415603,,,,,,,-0.595605996600764,5.55811694529341,1.3260823304050648,2.6236778784091603,0.7640774420244286,5.029422128814209
PP_4251,,,,,,,,,,,1.4439744474510368,4.673479605376825,1.8192608823868197,1.3774480442337547,,,,,,,,,-0.8642983136727345,1.590050893464121,2.2458967419470244,2.1033989162304048,1.4471528814222259,1.4026282831588874
PP_4250,,,,,,,,,,,,,2.203967969156062,1.6613823229850095,,,,,,,,,,,,,,
PP_4253,,,,,,,,,,,,,3.8597515327346525,1.32604307796076,,,,,,,,,,,3.8473454695739084,1.4095358823622253,,
