Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0751_PP_0813_PP_0815_log10_pval,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log10_pval,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log10_pval,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log10_pval,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log10_pval,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log10_pval,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log10_pval,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log10_pval,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log10_pval,PP_0812_PP_0813_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log10_pval,PP_0528_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log10_pval,PP_0751_PP_0815_log2_FC,PP_0751_PP_0815_log10_pval,PP_0528_PP_0812_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log10_pval,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log10_pval,PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log10_pval,PP_0813_PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log10_pval,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log10_pval,PP_0368_PP_0815_log2_FC,PP_0368_PP_0815_log10_pval,PP_0437_PP_0815_PP_1317_log2_FC,PP_0437_PP_0815_PP_1317_log10_pval,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log10_pval,PP_0528_PP_0815_log2_FC,PP_0528_PP_0815_log10_pval,PP_0815_PP_2136_log2_FC,PP_0815_PP_2136_log10_pval,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log10_pval,PP_0368_PP_0751_PP_0812_log2_FC,PP_0368_PP_0751_PP_0812_log10_pval,PP_0812_PP_0815_PP_1506_log2_FC,PP_0812_PP_0815_PP_1506_log10_pval
MVD1,0.3815597196429647,8.127311372144632,0.5097800806057207,4.127130365681557,0.7173319868252974,1.4721345041015137,0.6211526511068206,1.6572414881350672,0.2638656974338357,2.7963920533844493,0.32258178067548876,5.8247341373889725,0.2787655986849402,3.9007458439196876,0.13900582930448255,1.314519164354021,0.5218745306152085,2.011298687559017,,,0.5960611430805789,13.070099059169808,,,,,0.27637498901212965,6.394779527168055,-0.4466133837926723,2.158197173272861,0.3110266377127502,4.326741145097312,0.8320324845994443,2.642368312720818,,,,,0.2271059758071001,2.7120925416436332,,,0.34156147018994565,2.3830689565620156,0.08385538118160103,1.3803473637915253,0.13410213205088772,1.528141350512569,0.8524570851723344,2.2860976341060524
PP_0018,-0.619226014242552,3.2474714322485223,-0.5147698626201052,1.5049891722283422,-0.41681027709371016,2.6806493976065964,-0.43485052704825883,1.5341750897804576,0.43074787889987515,3.091766846936276,-1.0297898399620418,6.076206522052522,0.5049459155279428,4.955930380905723,0.40064417195806123,1.5034235590737444,,,,,-0.6525171605292541,2.690450046085056,,,,,-0.47527206911881037,2.9747295927922686,-2.6959902412616596,9.399181591094232,0.30015980688577365,2.2001759908727645,-0.5034793970987133,2.505136866219465,,,-1.2312192583278585,1.5934744420598768,0.41085679058300995,2.9256244763128723,-2.2961528082524247,1.9669298021713035,0.29758304982752565,2.3567071697633235,0.49474294921861484,1.3382280357849508,0.461865610664677,3.9090049754697125,-0.5467096501613171,2.3490357290814385
PP_0052,-1.6265208181083912,4.300320605389428,,,,,1.3448644152091498,1.447499926986026,-0.9889059339017529,1.6296984093666147,,,,,-0.5515707995653429,4.067457694070327,,,-0.9764054771024218,2.6092494690704098,1.2636472697218053,1.4102304946557735,1.377864135313632,2.360272900402326,-0.6684918495519362,4.829654495151537,-2.828392397436094,2.52424800880649,-2.0744076432549146,3.6575054143867938,0.49836144057827847,3.944091138853187,,,,,,,-0.5521636058257808,2.586070366700032,,,,,,,,,1.2244135857550693,1.358546852673891
PP_0088,0.8912945113189048,2.1603481559050914,,,1.193074978718019,2.3017744019346105,,,0.7615195050626663,2.3922544064958404,0.7579446316938591,2.4266459381494356,0.8538112080720858,12.456608123120116,0.7622556964016133,4.283782947176896,,,,,,,,,,,,,,,0.8733976250698289,2.4709807614836548,1.212306954831711,11.63599973082049,,,,,0.8067845214204261,3.425670215845153,,,1.0312609091642488,2.3072172413284835,0.891321874917099,5.646853713444727,,,1.290259946672649,4.349762337178547
PP_0168,1.1798987110694248,4.75321886510616,1.0522089761558577,2.3309903919361914,,,,,-2.584539399394657,2.059659845755084,,,-3.694012311725917,7.253417528826183,-2.746239118294199,3.8195476267126476,,,0.5636119804438773,2.026062288615868,,,1.2710421004248496,1.942430900914603,,,,,1.7194647698674546,2.43147775950969,-1.0008926786852272,1.7691758549282255,,,,,0.7478888997760619,1.7534520386453747,-2.7279191076604823,2.1126997867832538,,,-0.7969663670355202,6.3746740472884635,-3.8512139709514743,8.922994318754329,-1.4508007333177555,2.165015457659835,,
PP_0188,0.3021031890068517,1.4635294131518664,,,0.6439624237596377,2.340744801180009,0.4205228373320996,1.544210619555083,-0.12737989849512807,1.4514733019635488,,,-0.13328654003826615,2.485570143185998,,,0.5938518558591894,1.66006598127397,-0.5251262758351315,1.598033507130499,,,-0.6294972490866442,3.915876730873118,-0.6250120091613458,4.421737697813056,0.45759077730577224,2.53117195961759,-1.2499340888813733,3.1691655706379853,,,0.5572586833183973,2.1991333369320922,,,-0.4106785150952775,1.3644763912850209,-0.16062537749353106,1.9065030095782665,,,,,-0.2856146525367572,1.895582939235449,,,0.5448242334624416,2.95489962592367
PP_0189,0.7632416568969487,7.662381852845291,0.7028189461025726,2.3560455522101464,0.7641296424522847,1.3612617284744901,0.7238035095219902,2.491582540270524,,,0.6079159898579447,13.457274474140704,0.17566610965747534,3.6804911891900214,,,0.6782289585121672,3.0006866721524696,,,0.6353200523450527,3.6943169836022234,-0.5195931820127585,2.8577003967796832,-0.538325331729933,1.872199771564691,0.6436663910784381,1.706522704312783,-1.4742904816637015,1.4525788692335988,,,0.5844486389591511,4.401140921582635,,,,,,,-1.4365213379793351,2.077745357565247,,,-0.170111342605884,3.255805804795469,,,0.6170955523320831,2.7632149169347273
PP_0235,0.40299790536179464,1.806472847464901,,,,,,,,,,,,,,,,,,,,,,,0.6229928531739316,2.2374365540716195,,,0.7058698055645206,5.656725817945043,0.36943490955406494,1.9017560476550623,0.3168762549802623,1.6389110573555707,,,,,,,,,,,,,,,,
PP_0333,-4.000415526772655,6.161145609778266,-3.7308147803309764,6.082466443634115,,,,,,,,,,,,,-3.172891793345646,5.90673066471768,,,,,,,-3.0972622141427455,5.824327695734254,-3.260843540704773,5.901670613768473,,,,,0.7294031407557392,1.4861467924195837,,,-3.2606844677510507,5.948433310999575,-0.7421091150881871,1.979850089083606,-3.345325927777402,5.781511123818476,,,,,,,-4.142575465523194,6.202603108762015
PP_0354,1.558252126423182,1.7793391537457879,1.1125787397074312,3.488046661072011,,,,,,,,,,,1.7882945635161749,3.7148147928503996,1.9246479977975708,1.6450984254447982,,,0.7192173239425862,2.2150318047037776,,,,,,,,,1.4043415502484635,6.681443709051102,1.4308410482827767,6.644601220643901,,,,,1.0065117456564188,1.900689738859981,-1.6236960704078294,1.4831543633740671,1.2554865653329854,3.2297999821150305,,,2.349718033486023,7.488856092593166,,
