Protein.Group,PP_0751_PP_0813_PP_0815_log2_FC,PP_0528_PP_0751_PP_0815_log2_FC,PP_0528_PP_0751_PP_0812_PP_0815_log2_FC,PP_0528_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0751_PP_0815_log2_FC,PP_0368_PP_0751_PP_0813_PP_0815_log2_FC,PP_0368_PP_0814_PP_0815_log2_FC,PP_0368_PP_0751_PP_0812_PP_0815_log2_FC,PP_0368_PP_0751_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0813_PP_0815_log2_FC,PP_0751_PP_0815_log2_FC,PP_0528_PP_0812_PP_0815_log2_FC,PP_0368_PP_0813_PP_0814_PP_0815_log2_FC,PP_0814_PP_0815_log2_FC,PP_0813_PP_0814_PP_0815_log2_FC,PP_0812_PP_0813_PP_0815_PP_1506_log2_FC,PP_0368_PP_0815_log2_FC,PP_0437_PP_0815_PP_1317_log2_FC,PP_0368_PP_0812_PP_0813_PP_0815_log2_FC,PP_0528_PP_0815_log2_FC,PP_0815_PP_2136_log2_FC,PP_0368_PP_0812_PP_0815_PP_2136_log2_FC,PP_0368_PP_0751_PP_0812_log2_FC,PP_0812_PP_0815_PP_1506_log2_FC
aceA,-2.217196058941326,,-1.4518268080246828,,-3.9523251116533418,-1.4526228347240453,-3.6027860517690424,-3.307977330565475,-1.1152463383608062,-4.512326257117242,,-3.860408509164592,-3.7470910441269045,-1.3973942704966313,-5.257477856922452,-3.2933199664772492,-2.429373176730975,-3.8177206425188888,-4.256227307387894,-4.264383448740139,-2.1022145872360922,-2.8627885726053517,-4.092104717772818,-3.258552137013,-2.410692998323724
acnA-I,1.2673599161294404,,,,0.7286579139680237,,0.4180396949762358,,,,0.5928766157845163,,0.16555131045189334,,,0.8609990153699915,0.6321753738193987,-0.6672913361436827,0.5283815392762196,0.16844946098371352,-0.7160919443655608,0.671632881190689,-0.25663990188921953,,
acnB,0.7115653661911056,0.2551313049904141,0.28015256663697763,,,,,-0.17288398745159383,,0.42011605876505975,0.12726332570948728,0.5845817527011387,0.9372267824296572,,0.9982885702665094,,0.32267993148862506,,,-0.3429329279793677,,,,-0.4015071412859616,0.37958275255362856
fumC,0.6302275371918296,0.47425920078822786,,,1.2391824847357487,0.5177880992016564,,0.7852615108041378,,1.4214384885985865,0.6348852635480599,1.4411337451897028,1.7618464594253394,,,1.1207516755645366,0.7337110644442919,1.412765898682021,1.7802990939556864,0.839392043108818,1.0889916055237567,,0.691630399602547,,0.7993817308337345
glcB,0.2725027110599304,,,,,0.38787972126393977,,,,-0.9263679291340354,,-1.3478215453105267,,,-1.9259841241503601,,,,,,-1.3737033042104572,,,,
gltA,-0.6192136748135431,-0.7592099808932232,,,-0.32023746506330547,,-0.48760031853196184,-0.2963050349424195,,,-0.40128445515487343,0.29392735672683545,,-0.7554743535009343,,-0.5755779410496321,-0.2767573882320716,,,-0.4940126927125678,,-0.5626636882461076,-0.4323128214036323,,-0.5959444526850701
icd,-0.2639203707897325,,,,0.7057157978054075,-0.6168005663065113,0.5462757932569186,,,,,0.3034861361195982,0.7531876703925906,,,0.879603731511901,,,0.7729081735652537,,,0.6257638049829835,0.24831629359137727,0.24372330211706064,
lpdG,-1.1451304006461072,-0.8507513459370069,-0.866726778216247,-0.7603376796265194,-0.7352990267164443,-0.7152489812303131,-0.7920734965254963,-0.7681290585790046,-0.800002842196996,-0.4369063535336648,-0.8647853324746138,-0.2838410857086048,-0.4517511438106145,-1.0824657672769176,-0.7489477121594171,-0.8465621547356004,,-0.23672699524155202,-0.4463634732032813,-0.7459075400313051,-0.7502044044271565,-0.8237385394937676,-0.77567273338642,-0.7682724347153597,
mqo1,-6.766564510411943,-6.496964467454426,-7.16492817958856,-3.7746021531537197,-5.33782180738209,-1.8013371418115909,0.8025694528345539,-1.0134577989123907,-2.397065753812118,-0.2651034492075294,-0.27718565552220337,-3.4274249013300233,,0.6590105537700794,,0.6588608303437501,,,,0.74188568042698,,0.6294620154235744,0.83465678987515,-4.882736457356748,
mqo2,1.5516472850593737,,,,1.7501614480523788,1.165809277814555,1.7350932302927846,,,1.2684414763412772,,1.0886658845989565,,,0.4332000469944544,1.6812087832326585,1.4746913821971877,1.1649490445614918,,1.5946545559779297,,1.7713028512138935,1.4496175147253925,0.8430971390659058,1.6964606853609012
