Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
G1G01-1095	PP_1022	zwf-1	GLU6PDEHYDROG-RXN	1.1.1.49	glucose 6-phosphate-1-dehydrogenase	No Evidence Code
G1G01-4307	PP_4042	zwf-2	GLU6PDEHYDROG-RXN	1.1.1.49	glucose 6-phosphate 1-dehydrogenase	No Evidence Code
G1G01-5707	PP_5351	zwf-3	GLU6PDEHYDROG-RXN	1.1.1.49	glucose 6-phosphate 1-dehydrogenase	No Evidence Code
G1G01-1096	PP_1023	pgl	6PGLUCONOLACT-RXN	3.1.1.31	6-phosphogluconolactonase	No Evidence Code
G1G01-4308	PP_4043	gntZ	RXN-9952	1.1.1.44	6-phosphogluconate dehydrogenase	No Evidence Code
G1G01-5495	PP_5150	rpiA	RIB5PISOM-RXN	5.3.1.6	ribose-5-phosphate isomerase A	No Evidence Code
G1G01-452	PP_0415	rpe	RIBULP3EPIM-RXN	5.1.3.1	ribulose-5-phosphate 3-epimerase	No Evidence Code
G1G01-5309	PP_4965	tktA	1TRANSKETO-RXN	2.2.1.1	transketolase A	No Evidence Code
G1G01-2309	PP_2168	tal	TRANSALDOL-RXN	2.2.1.2	transaldolase	No Evidence Code
G1G01-5309	PP_4965	tktA	2TRANSKETO-RXN	2.2.1.1	transketolase A	No Evidence Code
