Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
G1G01-5304	PP_4960	fba	F16ALDOLASE-RXN	4.1.2.13	fructose-bisphosphate aldolase	No Evidence Code
G1G01-1084	PP_1011	glk	GLUCOKIN-RXN	2.7.1.1/2.7.1.2	glucokinase	No Evidence Code
G1G01-1536	PP_1444	gcd	RXN0-6373	1.1.5.2	quinoprotein glucose dehydrogenase	EV-EXP
G1G01-1095	PP_1022	zwf-1	GLU6PDEHYDROG-RXN	1.1.1.49	glucose 6-phosphate-1-dehydrogenase	No Evidence Code
G1G01-4307	PP_4042	zwf-2	GLU6PDEHYDROG-RXN	1.1.1.49	glucose 6-phosphate 1-dehydrogenase	No Evidence Code
G1G01-5707	PP_5351	zwf-3	GLU6PDEHYDROG-RXN	1.1.1.49	glucose 6-phosphate 1-dehydrogenase	No Evidence Code
G1G01-1096	PP_1023	pgl	6PGLUCONOLACT-RXN	3.1.1.31	6-phosphogluconolactonase	No Evidence Code
G1G01-1253	PP_1170	gnl	GLUCONOLACT-RXN	3.1.1.17	gluconolactonase	EV-COMP
G1G01-3649	PP_3416	gnuK	GLUCONOKIN-RXN	2.7.1.12	D-gluconate kinase	No Evidence Code
G1G01-3613	PP_3382		GLUCONATE-2-DEHYDROGENASE-RXN	1.1.99.3	gluconate 2-dehydrogenase	No Evidence Code
G1G01-3614	PP_3383		GLUCONATE-2-DEHYDROGENASE-RXN	1.1.99.3	gluconate 2-dehydrogenase	No Evidence Code
G1G01-3615	PP_3384		GLUCONATE-2-DEHYDROGENASE-RXN	1.1.99.3	gluconate 2-dehydrogenase	No Evidence Code
G1G01-3609	PP_3378	kguK	DEHYDOGLUCONOKINASE-RXN	2.7.1.13	2-ketogluconokinase	No Evidence Code
G1G01-3607	PP_3376	kguD	1.1.1.43-RXN	1.1.1.43	phosphogluconate 2-dehydrogenase	No Evidence Code
G1G01-4308	PP_4043	gntZ	RXN-9952	1.1.1.44	6-phosphogluconate dehydrogenase	No Evidence Code
G1G01-1083	PP_1010	edd	PGLUCONDEHYDRAT-RXN	4.2.1.12	phosphogluconate dehydratase	EV-EXP
G1G01-1097	PP_1024	eda	KDPGALDOL-RXN	4.1.2.14/4.1.2.55	KHG/KDPG aldolase	No Evidence Code
G1G01-5385	PP_5040	fbp	F16BDEPHOS-RXN	3.1.3.11	class 1 fructose-1,6-bisphosphatase	No Evidence Code
G1G01-2189	PP_2052		F16BDEPHOS-RXN	3.1.3.11	bifunctional sugar-phosphatase/mannitol-1-phosphate 5-dehydrogenase	No Evidence Code
G1G01-1911	PP_1808	pgi-1	PGLUCISOM-RXN	5.3.1.9	glucose 6-phosphate isomerase	No Evidence Code
G1G01-5022	PP_4701	pgi-2	PGLUCISOM-RXN	5.3.1.9	glucose 6-phosphate isomerase	No Evidence Code
G1G01-5309	PP_4965	tktA	2TRANSKETO-RXN	2.2.1.1	transketolase A	No Evidence Code
G1G01-452	PP_0415	rpe	RIBULP3EPIM-RXN	5.1.3.1	ribulose-5-phosphate 3-epimerase	No Evidence Code
G1G01-5495	PP_5150	rpiA	RIB5PISOM-RXN	5.3.1.6	ribose-5-phosphate isomerase A	No Evidence Code
G1G01-5309	PP_4965	tktA	1TRANSKETO-RXN	2.2.1.1	transketolase A	No Evidence Code
G1G01-5041	PP_4715	tpiA	TRIOSEPISOMERIZATION-RXN	5.3.1.1	triose phosphate isomerase	No Evidence Code
G1G01-3676	PP_3443		GAPOXNPHOSPHN-RXN	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase	No Evidence Code
G1G01-2290	PP_2149	gapB	GAPOXNPHOSPHN-RXN	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase	No Evidence Code
G1G01-1082	PP_1009	gapA	GAPOXNPHOSPHN-RXN	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase	No Evidence Code
G1G01-737	PP_0665		GAPOXNPHOSPHN-RXN	1.2.1.12	glyceraldehyde-3-phosphate dehydrogenase	No Evidence Code
G1G01-5307	PP_4963	pgk	PHOSGLYPHOS-RXN	2.7.2.3	phosphoglycerate kinase	No Evidence Code
G1G01-5400	PP_5056	gpmI	3PGAREARR-RXN	5.4.2.12	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	No Evidence Code
G1G01-1709	PP_1612	eno	2PGADEHYDRAT-RXN	4.2.1.11	enolase	No Evidence Code
G1G01-1451	PP_1362	pykA	PEPDEPHOS-RXN	2.7.1.40	pyruvate kinase II	No Evidence Code
G1G01-4578	PP_4301	pykF	PEPDEPHOS-RXN	2.7.1.40	pyruvate kinase	No Evidence Code
