Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
PP_4121,0.20202178542786023,,,,,,,,,,,-8.002694869564978,,,0.27489696386055457
PP_4255,-2.1154147198599875,,,,,,,,,,,,,,
PP_4258,-2.4804981072027052,,,,,,,,,,,,-2.7626683216645027,,
PP_2867,,0.9271399347843653,,,,,,,,,,,,1.5917674935171466,
PP_4120,,0.3562236168506709,,,,,,,,,,-7.202450349175263,,,
PP_5413,,-0.4271798604662203,,,,,,,,,,,,,
PP_0812,,,,,-3.020402508100569,-3.159749023766969,-3.525572572393772,-1.1976939255782015,,,,,,-6.730275713925735,
PP_0813,,,,,-3.8648264572987805,-4.436787216279758,-7.97839800551319,,0.257996828436299,,,,,-4.742766811487924,
PP_4124,,,,,-0.5762561743471842,,-0.382435021381769,,,,,-7.820566931737068,,,
PP_4192,,,,,-0.49154294823994665,,,,0.298397016436523,,,,,,
PP_5416,,,,,0.7064093630431257,0.6398704103332727,,,,,,0.4601207676869939,,,
PP_5414,,,,,,0.6561095490536896,,,,,,,,,
PP_1319,,,,,,,0.6945404534047473,,-4.359719809581982,,,,-0.595605996600764,,0.7640774420244286
PP_4251,,,,,,,1.4439744474510368,,,,,,,,
PP_1317,,,,,,,,,-6.956784518141201,,,,,,
PP_1318,,,,,,,,,-4.983033616311081,,,,,,
PP_4193,,,,,,,,,,-1.2524650512022677,,,,,
PP_4122,,,,,,,,,,,,-6.10810605260787,,,
PP_4123,,,,,,,,,,,,-7.3562465944308695,,,
PP_4125,,,,,,,,,,,,-5.919801566043871,,,
PP_4126,,,,,,,,,,,,-6.647691300530326,,,
PP_5415,,,,,,,,,,,,0.30969691365744473,,,
PP_4191,,,,,,,,,,,,,,-0.2843323178340113,
PP_0626,,,,,,,,,,,,,,,-4.939635961581372
PP_4190,,,,,,,,,,,,,,,-0.8658009273580017
