Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0751_log2_FC,PP_0751_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_1251,0.5229136418263234,5.212140124320316,1.4047292417391415,2.3627373395820563,,,,,,,,,,,1.2524988996152082,2.240125104150115,,,,,-1.1369311847125172,1.6895537044297726,,,,,0.9438094752966375,1.878110181142889,,
PP_2336,-0.3536690384892698,4.150846320106263,,,-0.19557163342950118,2.049866370878776,-0.5246211713656368,5.949812332971733,-0.5311712620155439,2.5452361061979225,,,,,-1.141748380427931,1.8062745781931848,-0.24449016131648682,2.272000272967222,-1.1242985270063257,3.0173821481971084,,,-1.0825741111851321,6.985159872435287,-0.7722594317492091,4.121728029994894,-0.8796076095554962,8.399904495678062,-0.7974245880211366,8.089199083029238
PP_4012,0.6325530345613293,5.897982626179726,0.4444865480215206,3.0259466991184305,,,-0.30569738271024877,1.3544839150197525,,,-0.26839342554279144,1.4002002917661112,,,,,0.26233840308722917,1.3010393654162158,,,0.5074296733628518,1.579099489544939,-0.4683357744175116,2.69609900767384,1.054641032668804,2.6593270649085605,-0.3127768095434474,1.5880933864287428,,
PP_4116,-3.3689248841834445,5.104846734551382,-2.528723563723342,4.58626818504337,0.5552924218058821,1.7056505987227044,0.4290891872272095,1.5253309718060426,0.6762059054777383,2.803817732588626,1.056459091756218,5.258505892771361,,,-0.7464057854191614,1.8750140544021174,-0.8956137012987618,2.307097398519152,-1.6193986403121519,3.694702841363495,-2.8699406322328556,4.859174320799894,0.6479220091135994,2.8694624540991236,-2.0219891956876466,4.196652423307308,-2.776216481143956,4.826672411644719,,
PP_4185,-1.2198911065534812,8.738603336187518,,,,,,,-1.191671799036021,8.58014129309583,-1.1739494813495184,2.4005931517449866,-1.1868287529755652,11.126185966695763,-0.8248644786551964,15.34679987883586,,,-0.8877059740900409,1.745604297164925,-0.17350456935413028,1.8540885480593268,,,-1.1415533978929788,2.52996006872811,-2.820372863824032,6.86675740595032,-0.5390729758826333,3.4869179427422576
PP_4186,-1.1997811039515838,13.407152670139684,0.15002105077044414,1.7878249478387727,,,,,-1.5961631887724073,17.549579073631055,-1.485354902590602,7.574927949404849,-1.684811381039793,16.889229962291168,-1.0394793874600052,4.350730748004313,,,-1.0949198286114652,2.272501742389617,,,,,-1.4522293163538664,3.899866484924749,-2.7756724926021055,19.31253256795147,-0.6566051462502984,4.060072617418761
PP_4187,-0.2134768512413625,1.9079061039102052,,,,,0.1523306933038396,1.9181093615663343,-0.7203529147466408,7.442226734703333,-0.5260996317540272,6.08190167060097,-0.7882792626819177,8.682425441213677,-0.637924617775454,1.5181033875634617,-0.47930152846267443,5.978406238274643,-0.7873393831856228,5.3210652982499145,-0.2531014588338541,1.6599526381795333,-0.5678963399714363,5.528543679642241,-2.5166047129587916,11.719690489343868,-0.38711295881336977,2.5608418000635016,-0.7346878079816686,5.7830353934852585
PP_4188,0.30596907963800063,3.3215309072590498,0.4662810649554453,6.430704991031514,-0.28667104509554364,2.417452333921785,,,-0.9208709138261583,4.506120011169622,-0.9148979693279654,8.16743319067269,-0.9377071576781267,8.414781454505652,-0.5880770020616036,5.537000284648309,,,-0.2927993564438007,1.970941847069261,,,-0.29776376844118047,2.8400699040107944,-3.087832921299664,12.130464697345692,-0.2914369390419137,2.969579778922365,-0.49571576249738497,5.197476782636332
PP_4191,0.18943768226435143,3.1964958298160324,,,-0.25541261047784836,3.083363184010889,,,-0.19662934144369118,1.6844455840684265,,,-0.17617606543889197,2.663863509148486,-0.18260403015658547,1.6134767239179186,0.22822229138651134,4.249771086320993,,,,,,,,,-0.2843323178340113,4.770082586237254,-0.5875791674163957,2.9208480351898425
PP_4194,-0.21224372731820434,1.6099328062411964,,,,,0.16127832516700963,1.4387586231543,0.1734297190279815,1.9237920669014723,0.22602707469265174,1.9959563076900955,,,,,0.35735611633864905,1.5383023597806689,,,,,,,,,,,0.4546760834176709,2.1077642484243775
PP_0356,,,0.388385696922101,1.404471430296721,0.2393081757957683,2.2781902987844993,,,0.2461195038917831,1.409924520512457,,,0.4435949554686355,2.5047484506044473,,,,,,,,,,,,,,,,
PP_0751,,,0.39663674177537667,6.235629834023888,,,-4.2036776466364705,5.225511284637164,,,,,-0.4738927132529254,5.015220728147114,,,0.5311143651266735,7.766318553332278,,,,,,,,,0.7537680529756764,2.6863557341163755,0.6462534572425667,4.156043957711642
PP_2112,,,0.5574082020106654,3.746905707857017,0.49130704257013436,6.192564228116362,,,-1.1228667313225449,2.292477131257644,-0.8909417671077134,3.606169707394278,,,,,,,,,-0.4563692837867953,2.27598806191301,,,,,0.9445763501449969,1.3273666382565645,-0.16699011778776754,1.444955565776281
PP_2925,,,1.5605459496128444,1.9140079227340194,1.5511297500363064,3.2252585186349823,,,-1.068923515490111,1.567251856719635,,,0.8297856663112195,1.853083162364347,,,,,,,,,,,,,,,,
PP_4011,,,1.097073262097004,2.0734254690686473,,,-0.5714604610628989,2.3218868315128582,-0.6247321340382882,2.1338910225353835,-0.5897835174544899,3.921437407625144,,,0.6748697089122435,3.03880197995491,0.531353459420993,2.053104996247372,,,,,-1.2965520991195627,4.297191626083598,,,1.1750977666838227,10.041777793412152,,
PP_4189,,,0.29052384281554217,7.409879589979044,-0.18836481240302325,3.4461828921304507,,,-0.6614384092770947,8.070072435158595,-0.5518005988305429,2.414751563561003,-0.773128550368412,9.570731540285509,,,,,,,,,,,-2.754804671983996,12.87076556303035,-0.34316414265637524,3.195645925690725,-0.3592552389098409,7.544621329543838
PP_0944,,,,,6.136624955034621,2.3610577930058705,,,,,,,,,,,,,,,,,,,,,,,,
PP_1755,,,,,0.6926175586045792,6.199761260669043,,,-0.6597591632921658,8.504934457675875,-0.8123134291612482,2.2203044073704343,,,0.5517042819818528,1.383717117947516,,,,,,,-1.194491617724881,1.516492809334413,-0.4478586541729698,1.3530018689404748,0.7089123641138382,2.4787113838512433,,
PP_2339,,,,,-0.29333839084004787,1.6784165631642138,,,-0.15945322569644857,2.382152681321597,,,-0.2335689252031814,2.906090499806363,,,,,,,,,-0.3980067750683911,2.753643630324155,,,0.25892130863536883,1.7016441966205762,0.39928691601778404,1.485083085797902
PP_4190,,,,,-0.23850859174576672,1.9199014177713503,,,-0.4016111315973307,2.1304449947102837,-0.5274118564386913,1.4462519917838212,-0.3066915112462253,1.6165280886770308,-0.43338957674320494,2.127160578761399,,,,,,,,,,,-0.4153241819310351,1.738355722744889,-0.8658009273580017,5.336579567730604
PP_4193,,,,,-0.3938655936474144,2.528278095727608,,,,,-1.3733882490957516,1.5246973055218065,,,-0.3529525497865865,2.2555752359916013,-1.9681276409658945,2.0676644892506584,-1.2524650512022677,4.562449382065118,,,,,,,,,,
PP_4192,,,,,,,,,-0.49154294823994665,5.704727695449397,-0.5179735415797904,2.045462608386552,,,-0.4206979251286274,2.8097398343554714,0.298397016436523,5.141320235558077,0.5329310892015284,1.333205577593623,,,,,,,,,-0.28380966556941134,1.4255350489965353
