Protein,PC1,PC2
Aacc1,0.0297487821742571,-0.040853971318434046
Aapj,-0.004586242358164762,0.037677850313833396
Aapm,0.0022182377837193855,0.0227681763544867
Aapp,-0.015354558928307796,0.031867944339654876
Aapq,-0.019600403411489106,0.028839249583265576
Aat,-0.022898218582703116,-0.02787122096473405
Acca,-0.002219047391307549,0.01820672312388154
Accb,-0.00038002306250570716,-0.024689902505540984
Accc-1,0.03238507474082733,0.03630615509600201
Accc-2,0.028776269334335376,-0.0005644186909269695
Accd,-0.0054239885082603,0.013904072232520354
Acda,-0.017019451573666057,0.009364219494412941
Acea,0.035947057495333105,0.002679763960686774
Acee,-0.02163541581725623,0.01014055085265449
Acef,-0.004451717725651301,0.0216644354020471
Acna,-0.04107382186251197,0.03160576889542664
Acnb,-0.0011108017952534083,0.011625278852664612
Acpp,-0.0028297882565442504,0.004056804517679408
Acsa1,0.04042459411093685,0.0016422978577705102
Acsa2,0.006850461625949074,0.0010939785841155613
Adk,0.029862382456269567,0.03344372206374823
Aer-1,0.0009831239466137666,-0.028343988042533744
Aer-2,-0.030180478547711827,-0.015000072059585087
Agmr,0.04454170623311441,0.004025393470079317
Agua,-0.03757052260710771,0.011539953775374827
Ahpc,-0.004806410157351406,-0.022630247271598732
Alas,-0.012161346693447357,0.02126128813755422
Algb,-0.01804093113414407,-0.004958541959330783
Algc,-0.010065144643888071,-0.015840893664981672
Algn,-0.028873581293000182,0.023981159566666594
Algp,-0.011618281155707885,0.04443933060862618
Algt,-0.029258289268076554,0.024663932201703216
Algw,-0.014804241890206633,-0.013106112769305282
Algy,0.0012793522169089954,0.02159268945472313
Algz,0.006541763424286197,0.04369458993799652
Alla,-0.032932710732999464,0.009830288166414354
Amn,-0.00781741417830192,0.033672258996983326
Ampc,-0.020402887803564383,0.031372630136325644
Ampd,-0.030665968420942966,0.03301482499447671
Ampg,0.006957699021596198,0.03741739244500267
Amtb,-0.012862196284777088,0.03033431540603998
Anmk,-0.028342432169131515,0.021084122367100434
Anr,-0.02568913601045419,-0.01834976859214182
Ansb,-0.03067509455446129,-0.0069746967133851295
Apag,-0.021093777034888097,-0.009894609811066718
Apah,-0.03119689203409945,0.011715673103945874
Apeb,-0.03098664440284571,-0.003315198446572205
Apha,-0.0026204604839968238,0.022003155250096086
Apt,-0.02696108406085704,-0.025698975401465703
Arca,-0.032725662649151145,0.001547269952275387
Arcb,-0.031138105918136393,0.004669088597138207
Arcc,-0.03932849939489196,-1.2209798051351665e-05
Arga,-0.03586477238120908,0.016933512317339337
Argb,-0.003576360710178352,-0.03748289458414636
Argc1,-0.00878136016565574,0.002559256804183197
Argc2,0.010001711055215929,-0.004042543459323548
Argd,0.005508749632488968,-0.0025543878897490526
Arge,-0.026891419858846858,0.026002485356295745
Argf,-0.014966433717620815,-0.00416779788927753
Argg,-0.018544952931900862,-0.019690363398229837
Argh,-0.0018305256912161424,0.021950197612179066
Argj,-0.003283286611321259,0.020518253543741132
Args,-0.039082132689582605,-0.00935285052379571
Arob,-0.01656966924227808,-0.011510998323613918
Aroc,-0.02580552451498077,-0.01693291265012087
Aroe,-0.008593800013258225,-0.00899193994757647
Aroe-1,-0.008685085024355065,-0.005083358000289521
Arof-1,-0.023892562654481243,0.016016835516019443
Arok,-0.008827254275229434,-0.015250630006487683
Arop,-0.015126368072653343,-0.016921828034603868
Aroq1,-0.032972335330672224,-0.020655430304708754
Arsc-1,-0.0012377012288972628,-0.016406074320968703
Aruf,-0.03326581497273917,-0.03143533378199351
Arug,-0.003758891604182506,0.0021111917222865722
Asd,0.029439132990788375,0.02751547739858014
Asnb,-0.01454300985823696,-0.014370075330241141
Aspa,-0.003959504264431714,-0.0032727364564924775
Asps,0.0025559959601020314,0.020294661360142192
Astb,-0.016632163315018593,0.00763277121892007
Astd,-0.02278190570060386,0.009551209796376242
Aste,-0.040021669298790544,0.025434002893895788
Atob,-0.01340641164953631,-0.006190532609294826
Atpa,0.019663720933940636,0.020635187158133395
Atpc,0.014974422379375381,0.012498201378953033
Atpd,0.0012905433661249762,-0.005195145345601333
Atpe,0.019350725606926928,0.01304195088235728
Atpf,0.017698335503503554,0.01975553492751833
Atpg,0.018879646034395115,0.023851033538068576
Atph,0.023968766445879894,0.022798186925974708
Bama,-0.037803754389865836,-0.04578804303928213
Bamb,-0.007822047054518529,0.014650608127969748
Bamd,-0.001996782189764743,0.021063640483712377
Beta,-0.04185619994076806,0.013425781200138534
Betb,-0.03601467089714887,0.008670787721129353
Bfr,-0.054150460632301216,-0.0021393853663221217
Bglx,0.007465847557131872,0.014408454733126285
Bioa,-0.01906315734100011,0.022202090096204812
Biod,-0.03763560265685592,0.021753995282985116
Biof,-0.017683706833246046,-0.01088018541089084
Bioh,-0.023415537795550456,-0.019073958415581387
Bira,0.033142445134702395,0.0302204504653161
Bkda1,-0.017542820457263394,-5.8233339793942525e-05
Bkda2,-0.019596253447033703,0.00694990159433691
Bkdb,-0.01010171138350989,0.007565557434554286
Bkdr,0.012813262743821779,0.02934027538566836
Bola,-0.025272016256327322,-0.029995479071136387
Brac,-0.012595473956667198,0.00815012941380619
Braf,0.007766387782981344,0.0212547256948722
Brag,-0.020767760839035743,-0.017922715032785443
Cada-2,-0.024549294546812685,0.0013394284005411666
Cafa,-0.01329392338684589,0.010682425213952983
Cara,0.01115391532219298,0.03768899119593693
Carb,0.013699459463585341,0.035656808158802886
Cas9,0.003730947689853575,-0.041212475949224794
Cata,0.017708843101621744,0.008549857892517474
Cbpa,-0.033378291583512736,0.026485963391553426
Ccme,0.00738818835440526,0.007160688372289985
Ccmf,0.0254589487006346,0.01925257365606942
Ccon-1,-0.026977878078656273,0.001910024634455117
Ccon-2,0.04415295069059316,0.016301874886559597
Ccoo-1,-0.026343812196527372,0.0045688119109729905
Ccoo-2,0.038022098852970226,0.014936922003104933
Ccop-1,-0.02599831160144609,0.004092673039771517
Ccop-2,0.036988220795317474,0.019214036547616466
Chea,-0.01809653278057253,-0.017304160958579125
Cheb1,-0.021048046466750306,-0.008973224326141987
Cheb3,-0.007442074187614702,0.040188938763122205
Cher2,-0.011419680685770536,0.023700133465383515
Cher3,-0.02786379888648928,-0.032416965511209886
Chev-1,-0.025863686987618706,-0.021046848720768643
Chev-2,-0.017851168877463002,-0.0264089938782387
Chev-3,-0.02318349468923228,-0.010061655579278383
Chew,-0.024540585090699278,0.009396210478911171
Chey,0.03043879049152598,0.04480508404302776
Chez,-0.009371128825279991,-0.027734636381217273
Cioa,-0.02443609696796899,0.023403769094171873
Clpa,-0.0026742251198335985,-0.0020845548564974994
Clpb,-0.0335549602799522,-0.0051221421369281595
Clpp,-0.021757844539444876,0.025339345111465537
Clpx,-0.0007806669257452634,-0.018416629166125957
Cmax,-0.031407325633253186,0.004520302504772678
Cmk,-0.018449767816666542,-0.013167421788938757
Cmoa,0.0007347646234462976,0.007157940048713676
Cmpx,-0.024076048816812873,0.024813406021894503
Coabc,-0.0007957396899679217,-0.02121002187317079
Coad,-0.004049347215059936,0.014294294810759089
Coae,-0.02937083394388734,0.003325923471745885
Cobh,-0.003282453590533104,-0.007147382247857844
Cobi,-0.0028497502181815907,-0.02881508447632415
Cobj,0.016646890555453625,0.02024330031451829
Cobo,0.010849708972813614,0.024040585956773372
Cobw,0.0032309141760840476,-0.0165195044577544
Coda,-0.036297616759089206,0.006076397782592676
Colr,-0.029865019701041547,0.006064002225567114
Copa,0.0023109206031032507,0.0044850323796584365
Copb,0.0011299927687617457,0.02006530198936829
Coq7,-0.0020161179754961235,0.03391659584287222
Crc,-0.020772872943657462,0.0023939103399188014
Crea,-0.03849197589246397,-0.0017960960071337687
Csda,-0.036772228674930296,0.0088494743044402
Csid,-0.007436183578042556,0.022058900396730773
Cspa-1,0.018159209145562922,-0.012641889834514088
Cspa-2,0.005358759222951585,0.013275351407633624
Cspd,0.0025659131392880646,0.020062096815217582
Csra,-0.01761661028041345,0.0007482882902830575
Csta,-0.0010611604158210655,0.029451866263963785
Csuc,-0.023947655957892746,0.007644770390006256
Cti,-0.04237107915684928,0.0033274964846689873
Cuma,0.008872767532288654,0.021953411541240593
Cyay,-0.025419398048853153,-0.03142586953878496
Cynt,0.042493208253688734,0.015229006699835472
Cyoa,0.018260699807184998,-0.014851020370203359
Cyob,0.009359861993248557,-0.02681533894827715
Cysa,-0.028062242476437876,-0.030053327950147302
Cysb,-0.022541718228152256,0.030933578224184938
Cysd,-0.0033751400999501697,-0.023566514620450656
Cyse,-0.02471677634712028,-0.016267837268417927
Cysg,-0.024024959754468066,-0.004675448768221978
Cysh,-0.02525865005389887,0.012525559545016487
Cysi,-0.013091784275947869,-0.005030947622487884
Cysk,-0.0429430270389748,0.029628503097236455
Cysm,-0.01792635600117889,-0.006298025751975383
Cysnc,0.02036422460066351,0.005957194445322365
Cysp,-0.019019141507496614,0.010900261662535802
Cysq,-0.026951425003184534,-0.004523136560452968
Cyss,-0.02552236567185095,0.016309497015580647
Czrr-1,-0.009324696501967971,-0.009008342531181969
Daca,-0.018006903058724183,-0.010766259705418437
Dacb,-0.018173979058987915,0.044667005361620306
Dada2,-0.024740402856629883,0.016998047320109236
Dadx,-0.0261759436858413,0.019057822915716054
Dapa,-0.02216040762112909,-0.00797562777703328
Dapb,0.009068014198500214,0.022796685426018856
Dapd,-0.002520722020672679,0.019023481620993366
Dape,-0.018268211742687567,0.0033475376567292485
Dapf,-0.02608108651980136,-0.01364275296181739
Dapf-1,0.003625993415031144,-0.0010162823185555468
Davd,0.01094072628386123,0.027208117266052836
Davt,-0.010445672401602884,0.012257806673201659
Dbpa,-0.010847997896146298,-0.03259862644950804
Dcd,-0.0030186619202518875,-0.024629147213253
Dcta,0.022507359362786052,0.01654236873735297
Dctd,0.0038422238365653735,0.011790880607136567
Ddlb,-0.017756957470336728,0.011815062479214666
Dead,0.01917767756084599,-0.036889118705737925
Def1,-0.006631261938754875,0.010871952767928532
Der,-0.00016530628778372173,0.019718287280302255
Dksa,-0.024117534059454163,-0.018784685813582468
Dnaa,-0.025197089910312363,-0.03271018042497655
Dnab,-0.019798310505210928,-0.010403911613892619
Dnae,-0.010282735454312674,-0.00867057891573576
Dnag,-0.011116423655858246,-0.02568610397837616
Dnaj,-0.005160637055714321,0.012834259030589573
Dnak,-0.0153759716561751,0.020172791590225253
Dnan,-0.034290743289719886,-0.0387720260373053
Dnax,-0.01984887029979321,-0.039104545193593944
Dppa,0.014392745794857206,0.006394430491152134
Dppd,-0.004994908478123524,0.010670803897416413
Dsbc,0.005372211769843196,0.03356248156175191
Dsbd-1,-0.019505151965492715,-0.009740817485180348
Dsbe,0.01251924080703559,0.02036053890489753
Dsre,-0.03551020707176714,-0.02244145042466938
Dusa,-0.03290004281816819,-0.02279214252193558
Dut,-0.008831934258282043,-0.027139412131520463
Dxr,-0.013644140259636416,-0.009296199431856908
Dxs,-0.011156951196210586,-0.013390651785987119
Eco,-0.012672129570565207,0.034942871600240885
Eda,0.022951314315385687,0.043834153045032645
Edd,-0.019823365057448118,-0.03843451437025071
Ef_1364,-0.031210287328253174,-0.038767703243392425
Efp,0.004805619825878017,0.013008524711059202
Elbb,0.006803438076167174,0.03200847532061905
Emra,-0.02466084589771387,-0.033021650799518215
Engb,-0.01125499019680112,-0.008187289723179395
Eno,0.014549800787933696,-0.0012752768737684412
Envz,-0.009603866502913555,0.019574310196501667
Epd,0.019341339321617558,0.030406253174280445
Era,-0.0057199948504294135,-0.005603265639558585
Estb,-0.02437977493040208,-0.010342875814952227
Estc,-0.002770204021252835,-0.00846331817433541
Eutb,-0.018750024690529655,0.03625868333178395
Eutc,-0.023670880418632217,0.038189505749494604
Exbb,-0.011284618126759263,-0.025534957465922624
Exbd,0.013548971766560924,0.013062841239011379
Faba,0.022336419676332372,0.029645439471105085
Fabb,0.0009935895193916857,0.0005235089230959805
Fabd,-0.01772100864358617,-0.017099536066462195
Fabf,-0.00030603344447387507,-0.022806104858715155
Fabg,0.01902723580564406,0.025479643530080934
Fabv,-0.008852343240301248,-0.01835804941664505
Fabz,0.013244512436180909,0.025214354829832555
Fada,-0.017064363880928766,0.025193802810974893
Fadax,-0.01923157885709286,0.018586038217750254
Fadb,-0.00341983058366461,0.020289899629918718
Fadb1x,-0.05028008515298127,-0.010569346993294065
Fadb2x,-0.015387109709010737,0.0008408355574468945
Fadd,0.006123918111227069,0.010796591834334936
Fadd2,0.003688023747241897,0.017097038020711035
Faddx,-0.014514562341649377,0.01314773335086871
Fadh,-0.014012674705716266,-0.0017567611047486483
Fbp,-0.0035880091631876596,-0.01704238024452457
Fda,0.026655356720733703,0.04157963785509249
Fdhe,-0.019221701236132774,-0.0050055617740323
Ffh,-0.01151519009041248,-0.031055935245202858
Fklb-1,0.017818845492192946,-0.023873753336395256
Fklb-2,-0.03401431365240428,-0.02132101737821406
Fkpb,-0.017263846842115363,-0.013370614917377123
Flen,-0.02242660981844089,0.023385107784889933
Fleq,-0.03807548199121754,0.022128939716874317
Flge,-0.009194385283532419,-0.02173281257671638
Flgf,-0.004858686865325631,-0.02234707456387908
Flgg,-0.014417900463465284,-0.02079625697934478
