Strain,Isoprenol,Target,CV[%]
IY2020,412.20373,PP_5419,5.359460678272616
IY1688,402.64727,PP_0528,2.2792871420808267
IY1688,393.75147,PP_0528,2.2792871420808267
IY2020,391.908,PP_5419,5.359460678272616
IY1688,384.7004,PP_0528,2.2792871420808267
IY2020,370.2514,PP_5419,5.359460678272616
IY2212,367.47564,PP_4191,2.5619385711264457
IY2188,359.93587,PP_0813,26.826575563069042
IY2212,358.72587,PP_4191,2.5619385711264457
IY2188,354.33373,PP_0813,26.826575563069042
IY2212,349.11636,PP_4191,2.5619385711264457
IY2189,345.55767,PP_0814,9.802656882964271
IY2036,337.42287,PP_4174,4.814754951194361
IY1596,333.41973,PP_4194,5.650736241930068
IY2037,321.20247,PP_4189,9.159669737281504
IY2193,320.31707,PP_1769,14.60336498239963
IY1689,314.68627,PP_0548,5.4503113097638805
IY1689,314.28353,PP_0548,5.4503113097638805
IY1596,311.46367,PP_4194,5.650736241930068
IY2036,311.1356,PP_4174,4.814754951194361
IY2036,310.41013,PP_4174,4.814754951194361
IY2189,306.44507,PP_0814,9.802656882964271
IY1595,301.2338,PP_4194,10.317021486406494
IY1596,298.2508,PP_4194,5.650736241930068
IY2191,289.0662,PP_1240,3.6905310525007438
IY2211,287.07493,PP_4192,20.285295295146483
IY2191,286.40273,PP_1240,3.6905310525007438
IY1689,285.7046,PP_0548,5.4503113097638805
IY2189,285.185,PP_0814,9.802656882964271
IY2037,283.2782,PP_4189,9.159669737281504
IY2190,272.805,PP_0815,4.814967617480787
IY2191,269.87087,PP_1240,3.6905310525007438
IY2037,269.70547,PP_4189,9.159669737281504
IY1595,265.8196,PP_4194,10.317021486406494
IY2193,263.93507,PP_1769,14.60336498239963
IY2055,262.76233,PP_1770,4.363283002119692
IY2188,256.74173,PP_0813,26.826575563069042
IY2190,255.54267,PP_0815,4.814967617480787
IY2187,255.52187,PP_0812,5.299243795154642
IY1597,254.9968,PP_1607,34.17268745971563
IY2055,254.02973,PP_1770,4.363283002119692
IY2201,253.56809,PP_1506,7.471281822486607
IY2187,252.7312,PP_0812,5.299243795154642
IY1655,252.68967,PP_1607,3.2131519863319524
IY2187,251.68627,PP_0812,5.299243795154642
IY1452,249.82647,PP_1607,20.218015865140522
IY1664,249.52007,PP_3355,2.8828184490807685
IY2187,249.00007,PP_0812,5.299243795154642
IY2190,248.58573,PP_0815,4.814967617480787
IY1588,246.3242,PP_0368,4.072284419232663
IY1595,246.04247,PP_4194,10.317021486406494
IY1594,244.15787,PP_3744,13.498230524012943
IY1594,242.62673,PP_3744,13.498230524012943
IY2193,242.39267,PP_1769,14.60336498239963
IY1592,242.27493,PP_0437,9.84375867762669
IY1597,241.8028,PP_1607,34.17268745971563
IY2055,240.8716,PP_1770,4.363283002119692
IY1664,239.5362,PP_3355,2.8828184490807685
IY1655,239.30713,PP_1607,3.2131519863319524
IY1656,239.20593,PP_1607,5.002688700680837
IY1655,238.9588,PP_1607,3.2131519863319524
IY1588,236.6698,PP_0368,4.072284419232663
IY1664,236.10693,PP_3355,2.8828184490807685
IY1589,235.8306,PP_2136,0.7463204450352121
IY2210,234.39298,PP_4193,8.445253003388466
IY1589,234.2294,PP_2136,0.7463204450352121
IY1592,234.11313,PP_0437,9.84375867762669
IY1656,233.6536,PP_1607,5.002688700680837
IY1452,233.44847,PP_1607,20.218015865140522
IY1589,232.3398,PP_2136,0.7463204450352121
IY2187,231.1432,PP_0812,5.299243795154642
IY2210,228.63502,PP_4193,8.445253003388466
IY1588,227.0476,PP_0368,4.072284419232663
IY2201,225.75831,PP_1506,7.471281822486607
IY1591,225.55467,PP_0362,5.27009354154244
IY2187,224.54833,PP_0812,5.299243795154642
IY2038,223.0204,PP_4188,7.3235068425001
IY2188,222.43527,PP_0813,26.826575563069042
IY1597,221.75333,PP_1607,34.17268745971563
IY2201,221.39902,PP_1506,7.471281822486607
IY2023,220.38507,PP_0806,3.8468295902603806
IY2054,218.77213,PP_5335,1.8291775041200364
IY1452,218.63593,PP_1607,20.218015865140522
IY1682,218.53133,PP_2471,17.505552709912013
IY1591,218.51027,PP_0362,5.27009354154244
IY1660,218.29627,PP_0338,3.631606340373803
IY1656,217.09073,PP_1607,5.002688700680837
IY1452,216.85313,PP_1607,20.218015865140522
IY2188,216.197,PP_0813,26.826575563069042
IY2021,214.31567,PP_5417,7.483209412086128
IY1658,214.15393,PP_1607,9.108958457449924
IY2218,214.10044,PP_0751,1.9825334566627353
IY2038,213.87373,PP_4188,7.3235068425001
IY1660,212.999,PP_0338,3.631606340373803
IY2218,212.71467,PP_0751,1.9825334566627353
IY2054,212.70933,PP_5335,1.8291775041200364
IY2024,211.9504,PP_0168,9.5706343676072
IY2023,211.7644,PP_0806,3.8468295902603806
IY2054,211.43587,PP_5335,1.8291775041200364
IY1680,208.8582,PP_2137,13.20002997685221
IY2211,208.62142,PP_4192,20.285295295146483
IY2021,207.83293,PP_5417,7.483209412086128
IY2218,206.26133,PP_0751,1.9825334566627353
IY1586,204.38327,PP_4549,1.2587987920130748
IY2023,204.0776,PP_0806,3.8468295902603806
IY1591,203.3036,PP_0362,5.27009354154244
IY1660,203.161,PP_0338,3.631606340373803
IY1685,202.8664,PP_2213,6.661448286016455
