,line_name,pp_mean,pp_std,number_of_grna,in_expt,to_rec
118077,PP_0528_PP_0815_PP_1317_PP_4191,522.6470324634889,75.40526392169613,4,0,1
112467,PP_0528_PP_0751_PP_0815_PP_1317,512.6403430582776,73.3055191334975,4,0,1
115852,PP_0528_PP_0813_PP_0815_PP_1317,505.4771961584421,71.58031873200204,4,0,1
118054,PP_0528_PP_0815_PP_1317_PP_1769,502.3321233228401,71.53348906860896,4,0,1
116887,PP_0528_PP_0814_PP_0815_PP_1317,496.5688031903149,73.06622347669223,4,0,1
6456,PP_0528_PP_0815_PP_1317,476.6396341435325,65.96162409418511,3,0,1
6395,PP_0528_PP_0813_PP_4191,463.23434859318746,65.89213828184404,3,0,1
6441,PP_0528_PP_0814_PP_4191,460.07634981194394,67.5293196759226,3,0,1
6251,PP_0528_PP_0751_PP_4191,458.1075847261034,65.8157538178674,3,0,1
15892,PP_0815_PP_1317_PP_4191,451.67409095405264,61.61211730164923,3,0,1
6486,PP_0528_PP_0815_PP_4191,449.76916100645826,64.50128905351495,3,0,1
6915,PP_0528_PP_1769_PP_4191,447.2949871630829,63.9564362283782,3,0,1
6348,PP_0528_PP_0812_PP_4191,442.5089064674371,63.19986404944318,3,0,1
7323,PP_0528_PP_4120_PP_4191,442.19973941000603,62.601890184876495,3,0,1
3289,PP_0368_PP_0528_PP_4191,440.7615208081473,62.90356902835467,3,0,1
6215,PP_0528_PP_0751_PP_0813,438.99713015100326,62.389610080510394,3,0,1
10282,PP_0751_PP_0815_PP_1317,433.3027838682582,62.06446758659319,3,0,1
10267,PP_0751_PP_0814_PP_4191,429.6930938428714,68.16206015309588,3,0,1
14702,PP_0814_PP_0815_PP_1317,425.65883352269793,63.726347233315856,3,0,1
15869,PP_0815_PP_1317_PP_1769,425.1861413475335,58.75532952618675,3,0,1
13667,PP_0813_PP_0815_PP_1317,421.62779106270307,58.993709012749534,3,0,1
15891,PP_0815_PP_1317_PP_4189,418.03605235733295,66.12262499500959,3,0,1
14621,PP_0813_PP_4189_PP_4191,417.12609190520953,61.74142294149035,3,0,1
13652,PP_0813_PP_0814_PP_4191,415.67711218062027,65.26234710557132,3,0,1
4873,PP_0437_PP_0751_PP_4191,413.4533263486544,63.155374053019024,3,0,1
10221,PP_0751_PP_0813_PP_4191,412.5490236570316,64.0526945510062,3,0,1
12586,PP_0812_PP_0815_PP_1317,412.48267002849246,57.60836318806017,3,0,1
15872,PP_0815_PP_1317_PP_2136,407.7167296975141,57.48461665616421,3,0,1
4838,PP_0437_PP_0751_PP_0814,388.58391091783085,61.531758472063785,3,0,1
10220,PP_0751_PP_0813_PP_4189,388.5160011237553,58.7450984959765,3,0,1
10244,PP_0751_PP_0814_PP_1769,387.1539265680284,62.50153593698763,3,0,1
10186,PP_0751_PP_0813_PP_0814,386.2867232234298,61.482325908742986,3,0,1
14125,PP_0813_PP_1769_PP_4189,382.91410260150946,58.653824307520104,3,0,1
10740,PP_0751_PP_1769_PP_4189,378.1080852515794,63.04497043922915,3,0,1
13629,PP_0813_PP_0814_PP_1769,375.14313551234216,60.772252153482924,3,0,1
382,PP_0751_PP_0814,355.100623373228,58.375018926861,2,0,1
526,PP_0813_PP_0814,344.8474837945899,57.49014502774375,2,0,1
416,PP_0751_PP_4189,340.86304853748004,58.40681610992076,2,0,1
381,PP_0751_PP_0813,337.108675740473,56.91777721840586,2,0,1
1080,PP_1769_PP_4189,328.93472040070725,57.828621533129905,2,0,1
176,PP_0437_PP_0814,326.53255911540487,56.753917146379855,2,0,1
606,PP_0814_PP_4189,324.0029953203072,56.98421019296892,2,0,1
479,PP_0812_PP_0814,322.6072573015838,56.667595146055525,2,0,1
587,PP_0814_PP_2136,321.7352331768784,56.66530428511139,2,0,1
538,PP_0813_PP_1769,318.2422384065055,56.43649594483057,2,0,1
513,PP_0812_PP_4189,308.485655332048,56.742394649039085,2,0,1
1176,PP_2136_PP_4189,307.82273397891083,56.7678955934363,2,0,1
210,PP_0437_PP_4189,307.64076442469013,56.70460954377611,2,0,1
121,PP_0368_PP_0813,306.21215852230483,56.24551323075904,2,0,1
156,PP_0368_PP_4189,305.4889309732581,56.70356988280407,2,0,1
1577,PP_4189_PP_4192,302.1807413278136,56.63654675289613,2,0,1
975,PP_1506_PP_4189,301.3080382765746,56.607729437170896,2,0,1
1488,PP_4120_PP_4189,299.3681677024168,56.46250823988291,2,0,1
491,PP_0812_PP_1769,283.14714688354724,56.55469263463874,2,0,1
134,PP_0368_PP_1769,280.1534044596189,56.72528952348467,2,0,1
1061,PP_1769_PP_2136,278.395003925867,56.572224766275085,2,0,1
953,PP_1506_PP_1769,276.42547086795247,56.486187566549354,2,0,1
188,PP_0437_PP_1769,274.16371378539225,56.676193914165005,2,0,1
1082,PP_1769_PP_4192,272.78989567500713,56.45614875931588,2,0,1
120,PP_0368_PP_0812,257.704724514609,56.45262148437759,2,0,1
