,Line Name,line_name_norep,to_keep_improved
0,Control_P1-R1,Control,True
1,Control_P1-R2,Control,True
2,Control_P1-R3,Control,True
3,Control_P2-R1,Control,True
4,Control_P2-R2,Control,True
5,Control_P2-R3,Control,True
6,Control_P3-R1,Control,True
7,Control_P3-R2,Control,True
8,Control_P3-R3,Control,True
9,Control_P4-R1,Control,True
10,Control_P4-R2,Control,True
11,Control_P4-R3,Control,True
12,PP_0368_PP_0528_PP_4191-R1,PP_0368_PP_0528_PP_4191,True
13,PP_0368_PP_0528_PP_4191-R2,PP_0368_PP_0528_PP_4191,True
14,PP_0368_PP_0528_PP_4191-R3,PP_0368_PP_0528_PP_4191,True
15,PP_0368_PP_0812-R1,PP_0368_PP_0812,True
16,PP_0368_PP_0812-R2,PP_0368_PP_0812,True
17,PP_0368_PP_0812-R3,PP_0368_PP_0812,True
24,PP_0368_PP_4189-R1,PP_0368_PP_4189,True
25,PP_0368_PP_4189-R2,PP_0368_PP_4189,True
26,PP_0368_PP_4189-R3,PP_0368_PP_4189,True
30,PP_0437_PP_0814-R1,PP_0437_PP_0814,True
31,PP_0437_PP_0814-R2,PP_0437_PP_0814,True
32,PP_0437_PP_0814-R3,PP_0437_PP_0814,True
36,PP_0437_PP_4189-R1,PP_0437_PP_4189,True
37,PP_0437_PP_4189-R2,PP_0437_PP_4189,True
38,PP_0437_PP_4189-R3,PP_0437_PP_4189,True
54,PP_0528_PP_0814_PP_0815_PP_1317-R1,PP_0528_PP_0814_PP_0815_PP_1317,True
55,PP_0528_PP_0814_PP_0815_PP_1317-R2,PP_0528_PP_0814_PP_0815_PP_1317,True
56,PP_0528_PP_0814_PP_0815_PP_1317-R3,PP_0528_PP_0814_PP_0815_PP_1317,True
66,PP_0528_PP_0815_PP_1317-R1,PP_0528_PP_0815_PP_1317,True
67,PP_0528_PP_0815_PP_1317-R2,PP_0528_PP_0815_PP_1317,True
68,PP_0528_PP_0815_PP_1317-R3,PP_0528_PP_0815_PP_1317,True
84,PP_0751_PP_0814-R1,PP_0751_PP_0814,True
85,PP_0751_PP_0814-R2,PP_0751_PP_0814,True
86,PP_0751_PP_0814-R3,PP_0751_PP_0814,True
96,PP_0751_PP_4189-R1,PP_0751_PP_4189,True
97,PP_0751_PP_4189-R2,PP_0751_PP_4189,True
98,PP_0751_PP_4189-R3,PP_0751_PP_4189,True
99,PP_0812_PP_0814-R1,PP_0812_PP_0814,True
100,PP_0812_PP_0814-R2,PP_0812_PP_0814,True
101,PP_0812_PP_0814-R3,PP_0812_PP_0814,True
105,PP_0812_PP_0815_PP_1317-R1,PP_0812_PP_0815_PP_1317,True
106,PP_0812_PP_0815_PP_1317-R2,PP_0812_PP_0815_PP_1317,True
107,PP_0812_PP_0815_PP_1317-R3,PP_0812_PP_0815_PP_1317,True
114,PP_0813_PP_0814-R1,PP_0813_PP_0814,True
115,PP_0813_PP_0814-R2,PP_0813_PP_0814,True
116,PP_0813_PP_0814-R3,PP_0813_PP_0814,True
129,PP_0813_PP_0815_PP_1317-R1,PP_0813_PP_0815_PP_1317,True
130,PP_0813_PP_0815_PP_1317-R2,PP_0813_PP_0815_PP_1317,True
131,PP_0813_PP_0815_PP_1317-R3,PP_0813_PP_0815_PP_1317,True
135,PP_0814_PP_0815_PP_1317-R1,PP_0814_PP_0815_PP_1317,True
136,PP_0814_PP_0815_PP_1317-R2,PP_0814_PP_0815_PP_1317,True
137,PP_0814_PP_0815_PP_1317-R3,PP_0814_PP_0815_PP_1317,True
138,PP_0814_PP_2136-R1,PP_0814_PP_2136,True
139,PP_0814_PP_2136-R2,PP_0814_PP_2136,True
140,PP_0814_PP_2136-R3,PP_0814_PP_2136,True
141,PP_0815-R1,PP_0815,True
142,PP_0815-R2,PP_0815,True
143,PP_0815-R3,PP_0815,True
144,PP_0815_PP_1317-R1,PP_0815_PP_1317,True
145,PP_0815_PP_1317-R2,PP_0815_PP_1317,True
146,PP_0815_PP_1317-R3,PP_0815_PP_1317,True
153,PP_1317-R1,PP_1317,True
154,PP_1317-R2,PP_1317,True
155,PP_1317-R3,PP_1317,True
168,PP_2136_PP_4189-R1,PP_2136_PP_4189,True
169,PP_2136_PP_4189-R2,PP_2136_PP_4189,True
170,PP_2136_PP_4189-R3,PP_2136_PP_4189,True
171,PP_4189_PP_4192-R1,PP_4189_PP_4192,True
172,PP_4189_PP_4192-R2,PP_4189_PP_4192,True
173,PP_4189_PP_4192-R3,PP_4189_PP_4192,True
