,Line Name,line_name_norep,to_keep_improved
0,PP_0368_PP_0812_PP_0813-R1,PP_0368_PP_0812_PP_0813,True
1,PP_0368_PP_0812_PP_0815-R1,PP_0368_PP_0812_PP_0815,True
2,PP_0751_PP_0812_PP_0814-R1,PP_0751_PP_0812_PP_0814,True
3,PP_0751_PP_0813_PP_0814-R1,PP_0751_PP_0813_PP_0814,True
4,PP_0751_PP_0814_PP_4191-R1,PP_0751_PP_0814_PP_4191,True
5,PP_0812_PP_0813_PP_0815-R1,PP_0812_PP_0813_PP_0815,True
6,PP_0815_PP_1317_PP_2136-R1,PP_0815_PP_1317_PP_2136,True
8,PP_0368_PP_0812_PP_0813-R2,PP_0368_PP_0812_PP_0813,True
9,PP_0368_PP_0812_PP_0815-R2,PP_0368_PP_0812_PP_0815,True
10,PP_0751_PP_0812_PP_0814-R2,PP_0751_PP_0812_PP_0814,True
11,PP_0751_PP_0813_PP_0814-R2,PP_0751_PP_0813_PP_0814,True
12,PP_0751_PP_0814_PP_4191-R2,PP_0751_PP_0814_PP_4191,True
13,PP_0812_PP_0813_PP_0815-R2,PP_0812_PP_0813_PP_0815,True
14,PP_0815_PP_1317_PP_2136-R2,PP_0815_PP_1317_PP_2136,True
16,PP_0368_PP_0812_PP_0813-R3,PP_0368_PP_0812_PP_0813,True
17,PP_0368_PP_0812_PP_0815-R3,PP_0368_PP_0812_PP_0815,True
18,PP_0751_PP_0812_PP_0814-R3,PP_0751_PP_0812_PP_0814,True
19,PP_0751_PP_0813_PP_0814-R3,PP_0751_PP_0813_PP_0814,True
20,PP_0751_PP_0814_PP_4191-R3,PP_0751_PP_0814_PP_4191,True
21,PP_0812_PP_0813_PP_0815-R3,PP_0812_PP_0813_PP_0815,True
22,PP_0815_PP_1317_PP_2136-R3,PP_0815_PP_1317_PP_2136,True
25,PP_0368_PP_0815-R1,PP_0368_PP_0815,True
26,PP_0368_PP_0751-R1,PP_0368_PP_0751,True
28,PP_0814_PP_4120-R1,PP_0814_PP_4120,True
29,PP_0814_PP_4189-R1,PP_0814_PP_4189,True
31,Control_P1-R1,Control,True
33,PP_0368_PP_0815-R2,PP_0368_PP_0815,True
34,PP_0368_PP_0751-R2,PP_0368_PP_0751,True
36,PP_0814_PP_4120-R2,PP_0814_PP_4120,True
37,PP_0814_PP_4189-R2,PP_0814_PP_4189,True
39,Control_P1-R2,Control,True
41,PP_0368_PP_0815-R3,PP_0368_PP_0815,True
42,PP_0368_PP_0751-R3,PP_0368_PP_0751,True
44,PP_0814_PP_4120-R3,PP_0814_PP_4120,True
45,PP_0814_PP_4189-R3,PP_0814_PP_4189,True
47,Control_P1-R3,Control,True
53,PP_0368_PP_0437_PP_0812-R1,PP_0368_PP_0437_PP_0812,True
61,PP_0368_PP_0437_PP_0812-R2,PP_0368_PP_0437_PP_0812,True
69,PP_0368_PP_0437_PP_0812-R3,PP_0368_PP_0437_PP_0812,True
73,PP_0368_PP_0815_PP_1317-R1,PP_0368_PP_0815_PP_1317,True
78,PP_0751_PP_0814_PP_2136-R1,PP_0751_PP_0814_PP_2136,True
79,Control_P2-R1,Control,True
81,PP_0368_PP_0815_PP_1317-R2,PP_0368_PP_0815_PP_1317,True
86,PP_0751_PP_0814_PP_2136-R2,PP_0751_PP_0814_PP_2136,True
87,Control_P2-R2,Control,True
89,PP_0368_PP_0815_PP_1317-R3,PP_0368_PP_0815_PP_1317,True
94,PP_0751_PP_0814_PP_2136-R3,PP_0751_PP_0814_PP_2136,True
95,Control_P2-R3,Control,True
97,PP_0751_PP_0814_PP_4192-R1,PP_0751_PP_0814_PP_4192,True
105,PP_0751_PP_0814_PP_4192-R2,PP_0751_PP_0814_PP_4192,True
113,PP_0751_PP_0814_PP_4192-R3,PP_0751_PP_0814_PP_4192,True
124,PP_0751_PP_0815-R1,PP_0751_PP_0815,True
125,PP_0813_PP_0815-R1,PP_0813_PP_0815,True
126,PP_0813_PP_4189-R1,PP_0813_PP_4189,True
127,Control_P3-R1,Control,True
132,PP_0751_PP_0815-R2,PP_0751_PP_0815,True
133,PP_0813_PP_0815-R2,PP_0813_PP_0815,True
134,PP_0813_PP_4189-R2,PP_0813_PP_4189,True
135,Control_P3-R2,Control,True
140,PP_0751_PP_0815-R3,PP_0751_PP_0815,True
141,PP_0813_PP_0815-R3,PP_0813_PP_0815,True
142,PP_0813_PP_4189-R3,PP_0813_PP_4189,True
143,Control_P3-R3,Control,True
146,PP_0814_PP_0815-R1,PP_0814_PP_0815,True
147,PP_0814_PP_1317-R1,PP_0814_PP_1317,True
153,PP_0814_PP_0815-R2,PP_0814_PP_0815,True
154,PP_0814_PP_1317-R2,PP_0814_PP_1317,True
160,PP_0814_PP_0815-R3,PP_0814_PP_0815,True
161,PP_0814_PP_1317-R3,PP_0814_PP_1317,True
165,PP_0815_PP_4189-R1,PP_0815_PP_4189,True
167,PP_1506_PP_4189-R1,PP_1506_PP_4189,True
170,Control_P4-R1,Control,True
171,PP_0815_PP_4189-R2,PP_0815_PP_4189,True
173,PP_1506_PP_4189-R2,PP_1506_PP_4189,True
176,Control_P4-R2,Control,True
177,PP_0815_PP_4189-R3,PP_0815_PP_4189,True
179,PP_1506_PP_4189-R3,PP_1506_PP_4189,True
182,Control_P4-R3,Control,True
