,Line Name,rep,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
0,PP_0368_PP_0751_PP_0812-R1,1,False,PP_0368_PP_0751_PP_0812,3,576.6218,11350176.3,0.9554349109142362,PP_0368,PP_0751,PP_0812,,135976.88,833375.9,87985.04,,4753127.833333333,20411591.37,6837733.683333334,,0.02860787354516414,0.04082856083552882,0.012867573391233348,,False,True,True,True,True,False,True,True,True,True,True
1,PP_0368_PP_0751_PP_0813-R1,1,False,PP_0368_PP_0751_PP_0813,3,481.9028,12128571.88,1.0209586782968922,PP_0368,PP_0751,PP_0813,,155478.43,1148683.75,439480.16,,4753127.833333333,20411591.37,4654177.084166667,,0.032710761303249895,0.056276050660522305,0.09442703877664962,,False,True,True,True,True,False,True,True,True,True,True
2,PP_0368_PP_0751_PP_4189-R1,1,False,PP_0368_PP_0751_PP_4189,3,411.4711,6606758.66,0.5561435967958452,PP_0368,PP_0751,PP_4189,,284578.68,2298055.8,17150939.42,,4753127.833333333,20411591.37,79821960.995,,0.05987187594751204,0.11258582235668183,0.21486492196144275,,False,True,True,True,True,False,True,True,True,True,True
3,PP_0368_PP_0812_PP_0814-R1,1,False,PP_0368_PP_0812_PP_0814,3,402.0284,12653994.97,1.065187732535145,PP_0368,PP_0812,PP_0814,,28134.83,18204.89,,,4753127.833333333,6837733.683333334,,,0.0059192243479530525,0.0026624157715258194,,,True,True,True,True,True,False,True,True,True,True,True
4,PP_0368_PP_0813_PP_4189-R1,1,False,PP_0368_PP_0813_PP_4189,3,326.928,9419150.0,0.7928850181065318,PP_0368,PP_0813,PP_4189,,234807.4,1813868.4,26369684.9,,4753127.833333333,4654177.084166667,79821960.995,,0.04940060697575039,0.38972913303421797,0.33035626500897136,,False,True,True,True,True,False,True,False,True,False,False
5,PP_0368_PP_0814_PP_0815-R1,1,False,PP_0368_PP_0814_PP_0815,3,659.0132,9388238.6,0.790282958902814,PP_0368,PP_0814,PP_0815,,164704.16,,,,4753127.833333333,,,,0.03465174213176889,,,,True,True,True,True,True,False,True,True,True,True,True
6,PP_0751_PP_0814_PP_4189-R1,1,False,PP_0751_PP_0814_PP_4189,3,503.2046,10467673.4,0.8811475996551983,PP_0751,PP_0814,PP_4189,,541963.7,,29082276.6,,20411591.37,,79821960.995,,0.026551761211355267,,0.36433929005855537,,True,True,True,True,True,False,True,True,True,True,True
7,PP_0812_PP_0813_PP_0814-R1,1,False,PP_0812_PP_0813_PP_0814,3,433.8627,11083693.48,0.9330029254844703,PP_0812,PP_0813,PP_0814,,82445.33,44970.18,,,6837733.683333334,4654177.084166667,,,0.012057405833303622,0.00966232680595391,,,True,True,True,True,True,False,True,True,True,True,True
8,PP_0368_PP_0751_PP_0812-R2,2,False,PP_0368_PP_0751_PP_0812,3,560.4283,12316238.35,1.0367560626111816,PP_0368,PP_0751,PP_0812,,125799.83,686898.35,453590.9,,4753127.833333333,20411591.37,6837733.683333334,,0.026466746616359678,0.033652366322087506,0.06633643850529121,,False,True,True,True,True,False,True,True,True,True,True
9,PP_0368_PP_0751_PP_0813-R2,2,False,PP_0368_PP_0751_PP_0813,3,505.658,12209351.35,1.0277585308880055,PP_0368,PP_0751,PP_0813,,112154.95,654369.1,459243.25,,4753127.833333333,20411591.37,4654177.084166667,,0.023596030641857692,0.03205870077145288,0.09867335120580778,,False,True,True,True,True,False,True,True,True,True,True
