,score,trend,ors?,subsystem,fluxDiff,FinalFlux,ands?,In,growth %,bgene,geneName
NADH16pp,8598198.189568361,Down,False,S_Oxidative_Phosphorylation,1.8510356625533353,0.48390804597700654,True,True,0.8959290666611348,PP_4119 and PP_4120 and PP_4121 and PP_4122 and PP_4123 and PP_4124 and PP_4125 and PP_4126 and PP_4127 and PP_4128 and PP_4129 and PP_4130 and PP_4131,"['nuoA', 'nuoB', 'nuoC', 'nuoE', 'nuoF', 'nuoG', 'nuoH', 'nuoI', 'nuoJ', 'nuoK', 'nuoL', 'nuoM', 'nuoN']"
CS,8325.10631557557,Down,False,S_TCA_Cycle,0.6113029818053638,-9.530219667796599e-14,False,True,0.9634794502317394,PP_4194,['gltA']
CBMKr,5883.0527758336675,Down,False,S_Glutamate_Metabolism,0.0649522136593821,-2.4440267581425443e-13,False,True,0.9938534027830742,PP_0999,['arcC']
IMPD,785.795149402992,Down,False,S_Purine_Metabolism,0.017844343707850232,4.895565484572828e-13,False,True,0.9979362280672194,PP_1031,['guaB']
PPND,769.7478200583308,Down,False,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.011026458579064619,-4.048214766130539e-14,False,True,0.9978598049262658,PP_1770,['']
GARFT,710.524511639297,Down,False,S_Purine_Metabolism,0.03020002553128448,-1.1254900153818864e-12,False,True,0.998149718731534,PP_1664,['purN']
3OAR141,603.4217863193431,Down,False,S_Fatty_Acid__Biosynthesis,0.024896189088459846,1.783668159251764e-12,False,True,0.9956850025729737,PP_1914,['fabG']
3OAS141,603.4217857469936,Down,False,S_Fatty_Acid__Biosynthesis,0.02489618911416161,1.2736720644079414e-11,False,True,0.9956850025729765,PP_4175,['fabB']
T2DECAI,550.8370594682342,Down,False,S_Fatty_Acid__Biosynthesis,0.028553980813503185,6.324394766960496e-16,False,True,0.9956850025729752,PP_4174,['fabA']
3OAS121,550.8370593786572,Down,False,S_Fatty_Acid__Biosynthesis,0.028553980813455063,9.587213761601404e-12,False,True,0.99568500257298,PP_4175,['fabB']
3OAR121,550.8370592314236,Down,False,S_Fatty_Acid__Biosynthesis,0.02855398081405026,8.418696194094507e-12,False,True,0.995685002572975,PP_1914,['fabG']
AKGDH,517.4177341740046,Down,False,S_TCA_Cycle,0.34432352369649766,-1.1659818449844177e-14,True,True,0.9973404529926468,PP_4189 and PP_4188 and PP_4187,"['sucA', 'sucB', 'lpdG']"
CYTK1,500.4376289087542,Down,False,S_Pyrimidine_Metabolism,0.022037140702354765,2.476245287813667e-11,False,True,0.9979422894436493,PP_1771,['cmk']
GLU5K,463.1306967866207,Down,False,S_Glutamate_Metabolism,0.02560939439402892,-2.461402223826792e-12,False,True,0.998814417180186,PP_0691,['proB']
G5SADs,463.1306967377989,Down,False,S_Arginine_and_Proline_Metabolism,0.025609394376136248,3.385602918160241e-13,False,True,0.9988144171801802,PP_s0001,['']
MALS,457.8471875451389,Down,False,S_TCA_Cycle,0.14904164361943206,-9.798987790238352e-15,False,True,0.9999984919189102,PP_0356,['glcB']
ICL,457.8329812520186,Down,False,S_TCA_Cycle,0.1669954831850906,4.9822039639864175e-12,False,True,1.0000000000000013,PP_4116,['aceA']
GND,457.82905794603226,Down,False,S_Pentose_Phosphate_Pathway,0.19450810226246096,1.568344562053313e-11,False,True,0.999498684108309,PP_4043,['gntZ']
LSERDHr,456.40965384580244,Down,False,S_Glycine__Serine_and_threonine_metabolism,0.01727733333341731,-1.1781867923852916e-15,False,True,0.9999999999999977,PP_4862,['ydfG']
ALDD31,456.40965384551845,Down,False,S_Sulfur_Metabolism,0.017277333333456973,1.7698454704623037e-13,False,True,1.000000000000009,,['']
AALDCDLsi,456.4096538364177,Down,False,S_Glycine__Serine_and_threonine_metabolism,0.017277333337434808,-1.6698437558818245e-13,False,True,0.9999999999999997,PP_s0001,['']
CYTCAA3pp,456.0278822406215,Down,False,S_Oxidative_Phosphorylation,1.1783616511454489,0.7419540229973819,True,True,0.9999999999999987,PP_0103 and PP_0104 and PP_0105 and PP_0106,"['', 'ctaD', '', '']"
CYO1_KT,456.0278822406214,Down,False,S_Oxidative_Phosphorylation,1.1783616511531927,0.741954022989638,True,True,1.0000000000000007,PP_1317 and PP_1318 and PP_1319,"['petA', 'petB', 'petC']"
CYTBO3_4pp,456.0278822406214,Down,False,S_Oxidative_Phosphorylation,1.1783616511455584,0.7419540229972723,True,True,0.9999999999999987,PP_0812 and PP_0813 and PP_0814 and PP_0815,"['cyoA', 'cyoB', 'cyoC', 'cyoD']"
PGL,449.3983017104435,Down,False,S_Glycolysis,0.08638666669237326,8.547266057711578e-13,False,True,0.9999999999999994,PP_1023,['pgl']
PRASCSi_copy2,448.20613183765647,Down,False,S_Purine_Metabolism,0.02100138488877951,-5.3014941124209683e-14,False,True,1.0000000000000049,PP_1240,['purC']
PRASCSi_copy1,448.2061318368318,Down,False,S_Purine_Metabolism,0.021001384888913406,7.378250738500101e-14,False,True,1.0000000000000033,PP_1240,['purC']
DHAD1_copy2,447.7783781803491,Down,False,S_Valine__Leucine__and_Isoleucine_Metabolism,0.05569957797069283,3.7952699740245705e-12,False,True,1.000000000000002,PP_5128,['ilvD']
DHAD1_copy1,447.7783781759814,Down,False,S_Valine__Leucine__and_Isoleucine_Metabolism,0.05569957795926843,1.4145971457387413e-11,False,True,0.999999999999999,PP_5128,['ilvD']
GLNS_copy2,447.7508864076476,Down,False,S_Glutamate_Metabolism,0.09185097713146846,1.0849333557908124e-12,False,True,0.9999999999999954,PP_5046,['glnA']
GLNS_copy1,447.75088640715563,Down,False,S_Glutamate_Metabolism,0.09185097713897647,-2.497370077459803e-12,False,True,1.0000000000000007,PP_5046,['glnA']
DHORDfum,447.61557378380184,Down,False,S_Pyrimidine_Metabolism,0.01900881475760396,8.99659926271943e-13,False,True,0.9999999999999997,PP_2095,['pyrD']
DHORD2,447.61557378380184,Down,False,S_Pyrimidine_Metabolism,0.01900881475760396,8.996599262719426e-13,False,True,1.0000000000000007,PP_2095,['pyrD']
KAS14,447.3788947642893,Down,False,S_Fatty_Acid__Biosynthesis,0.018421002215473346,-1.5792828405444564e-12,False,True,1.0000000000000009,PP_4175,['fabB']
AROH,447.24588890528923,Down,False,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.0123764252058465,2.9886654734044186e-13,False,True,1.0000000000000053,PP_1769,['pheA']
PPNDH,447.2458888956722,Down,False,S_Phenylalanine_Tyrosine_Tryptophan_Biosynthesis,0.012376425204170942,-5.3310997272281134e-14,False,True,1.0000000000000049,PP_1769,['pheA']
EAR121y,446.9357803562241,Down,False,S_Fatty_Acid__Biosynthesis,0.018239502203459677,7.468455699409538e-13,False,True,0.9999999999999997,,['']
EAR121x,446.93578034747503,Down,False,S_Fatty_Acid__Biosynthesis,0.018239502201554018,2.7392775014385055e-13,False,True,1.0000000000000049,PP_4635,['']
CTPS1,446.28232265993097,Down,False,S_Pyrimidine_Metabolism,0.019406437891517365,4.594285928849752e-12,False,True,0.9992026685378873,PP_1610,['pyrG']
NACODA,446.07804997730835,Down,False,S_Arginine_and_Proline_Metabolism,0.01079833333119912,-4.658601038760146e-16,False,True,0.9999999999999984,PP_5186,['argE']
Kabcpp,445.85589493633825,Down,False,S_Transport__ABC_system,0.011722318670482892,7.675700858585226e-13,True,True,1.0000000000000029,PP_4161 and PP_4160 and PP_4159,"['kdpA', 'kdpB', 'kdpC']"
