Objects annotated to GO terms from My Favorites	Matches	Accession-1	Gene Accession
G1G01-524-MONOMER	GO:0022627		PP_0477
G1G01-509-MONOMER	GO:0022627		PP_0463
G1G01-504-MONOMER	GO:0022627		PP_0458
G1G01-1688-MONOMER	GO:0022627		PP_1591
G1G01-5217-MONOMER	GO:0022627		PP_4877
G1G01-496-MONOMER	GO:0022627		PP_0450
G1G01-514-MONOMER	GO:0022627		PP_0468
G1G01-487-MONOMER	GO:0022625		PP_0444
G1G01-489-MONOMER	GO:0022625		PP_0445
G1G01-1402-MONOMER	GO:0022625		PP_1315
G1G01-510-MONOMER	GO:0022625		PP_0464
G1G01-507-MONOMER	GO:0022625		PP_0461
G1G01-527-MONOMER	GO:0022625		PP_0480
G1G01-516-MONOMER	GO:0022625		PP_0470
G1G01-1557-MONOMER	GO:0022625		PP_1465
G1G01-503-MONOMER	GO:0022625		PP_0457
G1G01-2639-MONOMER	GO:0022625		PP_2468
G1G01-505-MONOMER	GO:0022625		PP_0459
G1G01-502-MONOMER	GO:0022625		PP_0456
G1G01-761-MONOMER	GO:0022625		PP_0689
G1G01-5640-MONOMER	GO:0022625		PP_5282
G1G01-518-MONOMER	GO:0022625		PP_0472
G1G01-5639-MONOMER	GO:0022625		PP_5281
G1G01-512-MONOMER	GO:0022625		PP_0466
G1G01-515-MONOMER	GO:0022625		PP_0469
G1G01-490-MONOMER	GO:0022625		PP_0446
G1G01-5214-MONOMER	GO:0022625		PP_4874
G1G01-508-MONOMER	GO:0022625		PP_0462
G1G01-1025-MONOMER	GO:0022627		PP_0951
