Objects annotated to GO terms from New SmartTable with DNA-binding transcription factor activity	Matches	Accession-1	Common-Name	Gene	Names	Synonyms
G1G01-3611-MONOMER	GO:0003700		2-ketogluconate utilization repressor	G1G01-3611	2-ketogluconate utilization repressor // PtxS	PtxS
G1G01-2595-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2595	AraC family transcriptional regulator	
G1G01-1812-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-1812	AraC family transcriptional regulator	
G1G01-2528-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2528	AraC family transcriptional regulator	
G1G01-3762-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3762	AraC family transcriptional regulator	
G1G01-3672-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3672	AraC family transcriptional regulator	
G1G01-4006-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-4006	AraC family transcriptional regulator	
G1G01-2546-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2546	AraC family transcriptional regulator	
G1G01-330-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-330	AraC family transcriptional regulator // GbdR	GbdR
G1G01-2590-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2590	AraC family transcriptional regulator	
G1G01-5192-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-5192	AraC family transcriptional regulator	
G1G01-3903-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3903	AraC family transcriptional regulator	
G1G01-3801-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3801	AraC family transcriptional regulator	
G1G01-951-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-951	AraC family transcriptional regulator	
G1G01-2138-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2138	AraC family transcriptional regulator	
G1G01-2374-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2374	AraC family transcriptional regulator	
G1G01-1400-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-1400	AraC family transcriptional regulator	
G1G01-4913-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-4913	AraC family transcriptional regulator	
G1G01-1485-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-1485	AraC family transcriptional regulator	
G1G01-4814-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-4814	AraC family transcriptional regulator	
G1G01-3368-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3368	AraC family transcriptional regulator	
G1G01-4910-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-4910	AraC family transcriptional regulator	
G1G01-3752-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3752	AraC family transcriptional regulator	
G1G01-2352-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2352	AraC family transcriptional regulator	
G1G01-2208-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2208	AraC family transcriptional regulator	
G1G01-2314-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2314	AraC family transcriptional regulator	
G1G01-4783-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-4783	AraC family transcriptional regulator	
G1G01-3206-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3206	AraC family transcriptional regulator	
G1G01-4811-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-4811	AraC family transcriptional regulator	
G1G01-633-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-633	AraC family transcriptional regulator	
G1G01-5600-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-5600	AraC family transcriptional regulator	
G1G01-2210-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-2210	AraC family transcriptional regulator	
G1G01-3878-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-3878	AraC family transcriptional regulator	
G1G01-5601-MONOMER	GO:0003700		AraC family transcriptional regulator	G1G01-5601	AraC family transcriptional regulator	
G1G01-641-MONOMER	GO:0003700		ArsR family transcriptional regulator	G1G01-641	ArsR family transcriptional regulator	
G1G01-995-MONOMER	GO:0003700		ArsR family transcriptional regulator	G1G01-995	ArsR family transcriptional regulator	
G1G01-2659-MONOMER	GO:0003700		ArsR family transcriptional regulator	G1G01-2659	ArsR family transcriptional regulator	
G1G01-1340-MONOMER	GO:0003700		ArsR family transcriptional regulator	G1G01-1340	ArsR family transcriptional regulator	
G1G01-2045-MONOMER	GO:0003700		ArsR1 monomer	G1G01-2045	ArsR1 monomer	
G1G01-2899-MONOMER	GO:0003700		ArsR2 monomer	G1G01-2899	ArsR2 monomer	
G1G01-3379-MONOMER	GO:0003700		BenABC operon transcriptional activator	G1G01-3379	BenABC operon transcriptional activator // BenR	BenR
G1G01-866-MONOMER	GO:0003700		catabolite DNA-binding transcriptional regulator	G1G01-866	catabolite DNA-binding transcriptional regulator // Cra	Cra
G1G01-3969-MONOMER	GO:0003700		catechol utilization transcriptional regulator	G1G01-3969	catechol utilization transcriptional regulator // CatR	CatR
G1G01-5406-MONOMER	GO:0003700		choline-responsive transcriptional repressor BetI	G1G01-5406	choline-responsive transcriptional repressor BetI // BetI	BetI
G1G01-991-MONOMER	GO:0003700		chromosome initiation inhibitor	G1G01-991	chromosome initiation inhibitor // IciA	IciA
G1G01-635-MONOMER	GO:0003700		copper-sensitive transcriptional regulator CueR	G1G01-635	copper-sensitive transcriptional regulator CueR	
