,Line Name,line_name_norep,to_keep
0,PP_0226_PP_0897_PP_5288-R1,PP_0226_PP_0897_PP_5288,True
2,PP_2213_PP_2471_PP_4266-R1,PP_2213_PP_2471_PP_4266,True
3,PP_3123_PP_4862_PP_5186-R1,PP_3123_PP_4862_PP_5186,True
5,PP_4189_PP_4550_PP_4862-R1,PP_4189_PP_4550_PP_4862,True
8,PP_0226_PP_0897_PP_5288-R2,PP_0226_PP_0897_PP_5288,True
10,PP_2213_PP_2471_PP_4266-R2,PP_2213_PP_2471_PP_4266,True
11,PP_3123_PP_4862_PP_5186-R2,PP_3123_PP_4862_PP_5186,True
13,PP_4189_PP_4550_PP_4862-R2,PP_4189_PP_4550_PP_4862,True
16,PP_0226_PP_0897_PP_5288-R3,PP_0226_PP_0897_PP_5288,True
18,PP_2213_PP_2471_PP_4266-R3,PP_2213_PP_2471_PP_4266,True
19,PP_3123_PP_4862_PP_5186-R3,PP_3123_PP_4862_PP_5186,True
21,PP_4189_PP_4550_PP_4862-R3,PP_4189_PP_4550_PP_4862,True
25,PP_0813_PP_4549_PP_5288-R1,PP_0813_PP_4549_PP_5288,True
28,PP_0999_PP_3578_PP_5186-R1,PP_0999_PP_3578_PP_5186,True
29,PP_2137_PP_4011_PP_4120-R1,PP_2137_PP_4011_PP_4120,True
31,Control_P1-R1,Control,True
33,PP_0813_PP_4549_PP_5288-R2,PP_0813_PP_4549_PP_5288,True
36,PP_0999_PP_3578_PP_5186-R2,PP_0999_PP_3578_PP_5186,True
37,PP_2137_PP_4011_PP_4120-R2,PP_2137_PP_4011_PP_4120,True
39,Control_P1-R2,Control,True
41,PP_0813_PP_4549_PP_5288-R3,PP_0813_PP_4549_PP_5288,True
44,PP_0999_PP_3578_PP_5186-R3,PP_0999_PP_3578_PP_5186,True
45,PP_2137_PP_4011_PP_4120-R3,PP_2137_PP_4011_PP_4120,True
47,Control_P1-R3,Control,True
48,PP_2471_PP_3754_PP_4667-R1,PP_2471_PP_3754_PP_4667,True
49,PP_0437_PP_0528_PP_3578-R1,PP_0437_PP_0528_PP_3578,True
50,PP_2112_PP_4189_PP_5186-R1,PP_2112_PP_4189_PP_5186,True
53,PP_0226_PP_0437_PP_0751-R1,PP_0226_PP_0437_PP_0751,True
56,PP_2471_PP_3754_PP_4667-R2,PP_2471_PP_3754_PP_4667,True
57,PP_0437_PP_0528_PP_3578-R2,PP_0437_PP_0528_PP_3578,True
58,PP_2112_PP_4189_PP_5186-R2,PP_2112_PP_4189_PP_5186,True
61,PP_0226_PP_0437_PP_0751-R2,PP_0226_PP_0437_PP_0751,True
64,PP_2471_PP_3754_PP_4667-R3,PP_2471_PP_3754_PP_4667,True
65,PP_0437_PP_0528_PP_3578-R3,PP_0437_PP_0528_PP_3578,True
66,PP_2112_PP_4189_PP_5186-R3,PP_2112_PP_4189_PP_5186,True
69,PP_0226_PP_0437_PP_0751-R3,PP_0226_PP_0437_PP_0751,True
72,PP_0226_PP_2339_PP_3365-R1,PP_0226_PP_2339_PP_3365,True
74,PP_0658_PP_0815_PP_4187-R1,PP_0658_PP_0815_PP_4187,True
75,PP_0774_PP_2213_PP_5288-R1,PP_0774_PP_2213_PP_5288,True
79,Control_P2-R1,Control,True
80,PP_0226_PP_2339_PP_3365-R2,PP_0226_PP_2339_PP_3365,True
