,line_name,pp_mean,pp_std,number_of_grna,in_expt,to_rec
118077,PP_0528_PP_0815_PP_1317_PP_4191,396.75988462578454,66.18917741508494,4,0,1
112467,PP_0528_PP_0751_PP_0815_PP_1317,395.51588514923947,65.88156405136945,4,0,1
118054,PP_0528_PP_0815_PP_1317_PP_1769,394.96797860964267,66.48789455261179,4,0,1
112926,PP_0528_PP_0751_PP_1769_PP_4191,391.04765366402273,66.27512437422155,4,0,1
115852,PP_0528_PP_0813_PP_0815_PP_1317,388.385471103141,65.45242147912424,4,0,1
6456,PP_0528_PP_0815_PP_1317,384.0448660963241,61.120989538460925,3,0,1
6251,PP_0528_PP_0751_PP_4191,383.05645972529544,62.17978629994037,3,0,1
6915,PP_0528_PP_1769_PP_4191,381.2318954519605,61.32032449288283,3,0,1
6348,PP_0528_PP_0812_PP_4191,379.68599882826817,60.178716069299576,3,0,1
3289,PP_0368_PP_0528_PP_4191,378.6919155825287,60.28526710245625,3,0,1
6395,PP_0528_PP_0813_PP_4191,378.4676700958451,61.60871877343376,3,0,1
6441,PP_0528_PP_0814_PP_4191,378.3220167863452,61.914948890754324,3,0,1
7011,PP_0528_PP_2136_PP_4191,378.2926968029793,59.68571139437257,3,0,1
7323,PP_0528_PP_4120_PP_4191,377.5294310866216,59.52744749459646,3,0,1
6810,PP_0528_PP_1506_PP_4191,377.5089212845415,59.72871610912706,3,0,1
15892,PP_0815_PP_1317_PP_4191,367.1765671484423,57.463765842658376,3,0,1
10282,PP_0751_PP_0815_PP_1317,364.6296226619191,58.17133460611162,3,0,1
15869,PP_0815_PP_1317_PP_1769,361.06219387801144,57.61597288046932,3,0,1
14702,PP_0814_PP_0815_PP_1317,359.5506645954706,58.93007317578085,3,0,1
10267,PP_0751_PP_0814_PP_4191,357.04099586236134,60.68673219052853,3,0,1
15867,PP_0815_PP_1317_PP_1607,355.3719563288431,54.52475072769512,3,0,1
10741,PP_0751_PP_1769_PP_4191,355.32994304899216,58.085178820056775,3,0,1
12586,PP_0812_PP_0815_PP_1317,354.6808765247303,55.197409878103755,3,0,1
14621,PP_0813_PP_4189_PP_4191,354.3733516508591,57.405181080658174,3,0,1
13667,PP_0813_PP_0815_PP_1317,353.7982334591724,57.74361796696586,3,0,1
3647,PP_0368_PP_0815_PP_1317,353.5565969226089,56.201452371193064,3,0,1
15866,PP_0815_PP_1317_PP_1506,353.19746989103265,55.77522675899607,3,0,1
15885,PP_0815_PP_1317_PP_4120,353.07192260359295,55.244735092846454,3,0,1
10220,PP_0751_PP_0813_PP_4189,343.7724301313442,55.53667743098356,3,0,1
13651,PP_0813_PP_0814_PP_4189,338.9657308945423,54.484428812714945,3,0,1
14125,PP_0813_PP_1769_PP_4189,338.89027205954574,55.39220368443901,3,0,1
10244,PP_0751_PP_0814_PP_1769,338.8342495336849,57.00072845252431,3,0,1
10186,PP_0751_PP_0813_PP_0814,335.8725861936895,56.357598798035944,3,0,1
12524,PP_0812_PP_0813_PP_4189,335.22928615388724,54.67892230649934,3,0,1
14221,PP_0813_PP_2136_PP_4189,334.309773668203,54.45226868408859,3,0,1
382,PP_0751_PP_0814,328.23764652039546,54.1494351571947,2,0,1
416,PP_0751_PP_4189,316.30441235385695,54.01762503671498,2,0,1
526,PP_0813_PP_0814,316.2064195929051,53.78222197699898,2,0,1
380,PP_0751_PP_0812,315.7289438340683,53.08715266185085,2,0,1
394,PP_0751_PP_1769,315.6698071989599,53.48553482936297,2,0,1
381,PP_0751_PP_0813,313.8414857669678,53.44777010655268,2,0,1
391,PP_0751_PP_1506,313.13849049303275,53.101114165672634,2,0,1
606,PP_0814_PP_4189,312.07705317555616,53.36647599392709,2,0,1
479,PP_0812_PP_0814,311.5894756138887,53.204588183247246,2,0,1
600,PP_0814_PP_4120,310.3274278794375,53.08873607592101,2,0,1
581,PP_0814_PP_1506,309.3641088049541,53.15438931009888,2,0,1
587,PP_0814_PP_2136,308.9195265607795,53.16934853929255,2,0,1
122,PP_0368_PP_0814,308.26348039279316,53.39461388896575,2,0,1
582,PP_0814_PP_1607,308.1339136639657,53.00202704454922,2,0,1
1080,PP_1769_PP_4189,304.09664991166693,53.64353654525821,2,0,1
513,PP_0812_PP_4189,300.35538446194994,53.15076812397266,2,0,1
156,PP_0368_PP_4189,298.4147043747058,53.16393808650076,2,0,1
1488,PP_4120_PP_4189,295.8520862448623,52.97704673874463,2,0,1
1176,PP_2136_PP_4189,295.7580091817867,53.12924552412987,2,0,1
1563,PP_4188_PP_4189,294.8868219616802,52.98949856087816,2,0,1
210,PP_0437_PP_4189,294.6817390993626,53.09161776573077,2,0,1
538,PP_0813_PP_1769,286.48853290086504,53.35330476853219,2,0,1
478,PP_0812_PP_0813,281.96613396047877,53.108555621324655,2,0,1
541,PP_0813_PP_2136,280.0330384296717,53.116481536724386,2,0,1
953,PP_1506_PP_1769,266.5642685933886,52.922932559463305,2,0,1
