,line_name,pp_mean,pp_std,number_of_grna,in_expt,to_rec
118077,PP_0528_PP_0815_PP_1317_PP_4191,462.22812658322766,70.0682228465165,4,0,1
112467,PP_0528_PP_0751_PP_0815_PP_1317,452.51949907650425,68.6593071343182,4,0,1
118054,PP_0528_PP_0815_PP_1317_PP_1769,450.91717754153933,66.72370086038254,4,0,1
115852,PP_0528_PP_0813_PP_0815_PP_1317,450.90606839310107,66.76829757673772,4,0,1
118057,PP_0528_PP_0815_PP_1317_PP_2136,445.08415547976887,64.83739830313752,4,0,1
6456,PP_0528_PP_0815_PP_1317,437.53602569658216,61.56166668131315,3,0,1
6395,PP_0528_PP_0813_PP_4191,421.7754111036085,61.832878707004696,3,0,1
15892,PP_0815_PP_1317_PP_4191,419.6419070090489,58.65768876548111,3,0,1
6251,PP_0528_PP_0751_PP_4191,415.10867224604146,62.02959385338502,3,0,1
6915,PP_0528_PP_1769_PP_4191,414.8024798722774,60.01312924909933,3,0,1
7323,PP_0528_PP_4120_PP_4191,413.8243606105783,58.76790537106655,3,0,1
6486,PP_0528_PP_0815_PP_4191,413.2014949615455,60.617962737400454,3,0,1
6441,PP_0528_PP_0814_PP_4191,412.49592081751473,63.3398159166686,3,0,1
3289,PP_0368_PP_0528_PP_4191,411.37864460156317,59.044723189233856,3,0,1
6348,PP_0528_PP_0812_PP_4191,411.0829017727844,59.38228181956989,3,0,1
6810,PP_0528_PP_1506_PP_4191,409.4646882264606,58.91806985289841,3,0,1
15869,PP_0815_PP_1317_PP_1769,401.9472464461649,56.35593921726697,3,0,1
10282,PP_0751_PP_0815_PP_1317,400.224001894766,58.65045049364576,3,0,1
13667,PP_0813_PP_0815_PP_1317,397.81416648151486,56.19320253605517,3,0,1
12586,PP_0812_PP_0815_PP_1317,395.8233685385411,55.11952862973312,3,0,1
15885,PP_0815_PP_1317_PP_4120,392.63637717626693,54.62353386267873,3,0,1
15872,PP_0815_PP_1317_PP_2136,392.4249967032211,54.970270605512695,3,0,1
15866,PP_0815_PP_1317_PP_1506,391.6240303198205,55.09430358338324,3,0,1
14621,PP_0813_PP_4189_PP_4191,384.1976696406808,58.427967259273245,3,0,1
10267,PP_0751_PP_0814_PP_4191,377.37088215164465,63.93921909333567,3,0,1
4873,PP_0437_PP_0751_PP_4191,373.926397277871,59.81265762786666,3,0,1
10221,PP_0751_PP_0813_PP_4191,373.6734047397707,60.16870484288543,3,0,1
10220,PP_0751_PP_0813_PP_4189,368.12867736661684,55.762927076032796,3,0,1
14125,PP_0813_PP_1769_PP_4189,363.62712933530776,55.70030606930132,3,0,1
12524,PP_0812_PP_0813_PP_4189,357.7633104974112,54.85320401371972,3,0,1
5016,PP_0437_PP_0813_PP_4189,356.21186109572284,54.35947448125106,3,0,1
14221,PP_0813_PP_2136_PP_4189,355.84436522021883,54.71473804630382,3,0,1
3585,PP_0368_PP_0813_PP_4189,355.67556742341054,54.71666345705737,3,0,1
13651,PP_0813_PP_0814_PP_4189,355.38853403778654,54.77658277023466,3,0,1
4838,PP_0437_PP_0751_PP_0814,355.1527771774199,58.01334049195668,3,0,1
382,PP_0751_PP_0814,336.00855891308004,55.240593283776384,2,0,1
526,PP_0813_PP_0814,330.3388290904089,54.564552247387105,2,0,1
381,PP_0751_PP_0813,328.6613996263795,54.11396945082021,2,0,1
172,PP_0437_PP_0751,326.1274821697508,53.80523904745187,2,0,1
416,PP_0751_PP_4189,321.66280401443873,55.174087350294116,2,0,1
394,PP_0751_PP_1769,320.8666123535645,54.31601160043184,2,0,1
176,PP_0437_PP_0814,317.4179836081722,54.00002923105154,2,0,1
479,PP_0812_PP_0814,316.5237343057543,53.93787400140766,2,0,1
587,PP_0814_PP_2136,314.93445153274195,53.93222276267995,2,0,1
606,PP_0814_PP_4189,314.6276874927104,54.09014032738937,2,0,1
380,PP_0751_PP_0812,313.8277819424486,53.83712959586012,2,0,1
122,PP_0368_PP_0814,313.2154896798258,53.84311536077361,2,0,1
1080,PP_1769_PP_4189,312.96441347576854,54.76361002409451,2,0,1
397,PP_0751_PP_2136,312.03436202448376,53.77588344020082,2,0,1
600,PP_0814_PP_4120,311.97386425938635,53.80221516836446,2,0,1
581,PP_0814_PP_1506,311.28809734747495,53.844382348005574,2,0,1
605,PP_0814_PP_4188,307.279594911033,53.735187889369264,2,0,1
582,PP_0814_PP_1607,306.98668286739434,53.696842426114834,2,0,1
538,PP_0813_PP_1769,306.4522469547275,53.89867383554801,2,0,1
513,PP_0812_PP_4189,302.0347093408975,53.9287250781637,2,0,1
210,PP_0437_PP_4189,301.0520978613423,53.88485951003103,2,0,1
1176,PP_2136_PP_4189,300.62401228584736,53.9390430941344,2,0,1
156,PP_0368_PP_4189,298.79882549665865,53.9062124310414,2,0,1
491,PP_0812_PP_1769,268.6630822113147,53.852081641127214,2,0,1
134,PP_0368_PP_1769,264.2176660513544,53.91179889646647,2,0,1
