Strain,Target,Isoprenol mean,Weight
IY1586,PP_4549,201.78788999999998,17
IY1587,PP_4550,102.96837666666666,11
IY1588,PP_0368,236.68053333333333,19
IY1589,PP_2136,234.13326666666669,19
IY1590,PP_0774,142.32782,13
IY1592,PP_0437,225.59135333333333,18
IY1597,PP_1607,239.51764333333335,19
IY1659,PP_1444,162.20200333333332,15
IY1662,PP_3071,179.02642333333333,16
IY1665,PP_3754,176.57482333333334,15
IY1667,PP_3755,192.17432999999997,16
IY1670,PP_3365,172.9925333333333,15
IY1672,PP_4678,165.54071,15
IY1674,PP_3578,167.82015333333334,15
IY1675,PP_5288,162.85548666666668,15
IY1676,PP_0597,163.79622333333333,15
IY1677,PP_4667,178.38226666666665,16
IY1679,PP_3123,128.87655333333333,13
IY1680,PP_2137,188.3646666666667,16
IY1682,PP_2471,187.6631766666667,16
IY1685,PP_2213,188.37735666666666,16
IY1686,PP_4487,191.39604666666665,16
IY1688,PP_0528,393.69971333333336,28
IY1690,PP_4636,175.91522333333333,15
IY2021,PP_5417,202.52673333333334,17
IY2024,PP_0168,196.2886,17
IY2026,PP_4120,161.99644333333333,15
IY2027,PP_4121,161.82982,15
IY2028,PP_4122,172.50571,15
IY2029,PP_4123,141.56888666666666,13
IY2033,PP_0999,148.29990999999998,14
IY2037,PP_4189,291.39538,22
IY2038,PP_4188,209.97075333333336,17
IY2040,PP_4116,143.07206666666667,13
IY2042,PP_4862,143.94409,13
IY2047,PP_1317,152.12504666666666,14
IY2048,PP_1318,156.35911000000002,14
IY2057,PP_4187,143.80407,13
IY2186,PP_1319,152.73424666666668,14
IY2187,PP_0812,244.10515666666666,19
IY2188,PP_0813,267.8045,21
IY2189,PP_0814,312.39591333333334,23
IY2190,PP_0815,258.9778,20
IY2193,PP_1769,275.54827,21
IY2196,PP_5186,110.43957666666665,12
IY2200,PP_0658,130.084,13
IY2201,PP_1506,233.57514,19
IY2202,PP_1620,86.72868333333334,10
IY2203,PP_4266,129.71256333333335,13
IY2204,PP_1457,177.55849,15
IY2205,PP_5203,132.1498366666667,13
IY2207,PP_0226,139.63549666666665,13
IY2208,PP_4651,137.42654666666667,13
IY2211,PP_4192,232.69030999999998,19
IY2212,PP_4191,358.43928999999997,26
IY2214,PP_0897,95.11941,11
IY2215,PP_0944,97.99140666666666,11
IY2216,PP_1755,114.75911333333333,12
IY2217,PP_0654,112.83022,12
IY2218,PP_0751,211.02548000000002,17
IY2219,PP_2925,93.03585,10
IY2222,PP_2339,101.58755666666667,11
IY2223,PP_4011,107.69807333333334,11
IY2225,PP_4185,114.94933333333334,12
IY2226,PP_4186,105.38607333333334,11
IY2239,PP_2095,131.85560333333333,13
