Line Name,Screen,Guide,Value,Units
PP_0368,KO,Non-Target,191.872,mg/L
PP_0751,KO,Non-Target,238.133,mg/L
PP_0812,KO,Non-Target,336.1871,mg/L
PP_0813,KO,Non-Target,412.9922,mg/L
PP_0814,KO,Non-Target,296.4604,mg/L
PP_1317,KO,Non-Target,94.0828,mg/L
Control,KO,Target,160.5556,mg/L
PP_0368,KO,Non-Target,167.367,mg/L
PP_0751,KO,Non-Target,362.4014,mg/L
PP_0812,KO,Non-Target,299.4838,mg/L
PP_0813,KO,Non-Target,389.6801,mg/L
PP_0814,KO,Non-Target,290.0816,mg/L
PP_1317,KO,Non-Target,92.3217,mg/L
Control,KO,Target,138.7685,mg/L
PP_0368,KO,Non-Target,172.4886,mg/L
PP_0751,KO,Non-Target,303.7573,mg/L
PP_0812,KO,Non-Target,292.5602,mg/L
PP_0813,KO,Non-Target,393.3061,mg/L
PP_0814,KO,Non-Target,292.3528,mg/L
PP_1317,KO,Non-Target,96.0542,mg/L
Control,KO,Target,150.1737,mg/L
PP_0368,KO,Target,228.226,mg/L
PP_0751,KO,Target,287.4712,mg/L
PP_0812,KO,Target,325.5487,mg/L
PP_0813,KO,Target,399.4451,mg/L
PP_0814,KO,Target,304.035,mg/L
PP_1317,KO,Target,135.4253,mg/L
Control,KO,Target,156.1927,mg/L
PP_0368,KO,Target,222.429,mg/L
PP_0751,KO,Target,314.1185,mg/L
PP_0812,KO,Target,329.0498,mg/L
PP_0813,KO,Target,392.9578,mg/L
PP_0814,KO,Target,287.5533,mg/L
PP_1317,KO,Target,116.9002,mg/L
Control,KO,Target,145.9214,mg/L
PP_0368,KO,Target,224.9668,mg/L
PP_0751,KO,Target,220.3692,mg/L
PP_0812,KO,Target,334.7021,mg/L
PP_0813,KO,Target,402.9973,mg/L
PP_0814,KO,Target,297.3073,mg/L
PP_1317,KO,Target,140.1178,mg/L
Control,KO,Target,159.4057,mg/L
PP_4120,KO,Non-Target,205.2649,mg/L
Control,KO,Target,127.6855,mg/L
PP_4120,KO,Non-Target,203.9816,mg/L
Control,KO,Target,126.062,mg/L
PP_4120,KO,Non-Target,200.8838,mg/L
Control,KO,Target,132.4897,mg/L
PP_4120,KO,Target,206.0419,mg/L
Control,KO,Target,142.5614,mg/L
PP_4120,KO,Target,206.8461,mg/L
Control,KO,Target,164.2308,mg/L
PP_4120,KO,Target,230.9106,mg/L
Control,KO,Target,155.3421,mg/L
Control,dCas9,Non-Target,177.337,mg/L
Control,dCas9,Non-Target,176.1350667,mg/L
Control,dCas9,Non-Target,192.6371333,mg/L
Control,dCas9,Non-Target,202.7048,mg/L
Control,dCas9,Non-Target,123.8465333,mg/L
Control,dCas9,Non-Target,177.1856,mg/L
Control,dCas9,Non-Target,168.0272,mg/L
Control,dCas9,Non-Target,150.8906667,mg/L
Control,dCas9,Non-Target,197.7911333,mg/L
Control,dCas9,Non-Target,184.3109333,mg/L
Control,dCas9,Non-Target,181.8837333,mg/L
Control,dCas9,Non-Target,169.4058,mg/L
Control,dCas9,Non-Target,161.6762,mg/L
Control,dCas9,Non-Target,136.4298667,mg/L
Control,dCas9,Non-Target,162.3184667,mg/L
Control,dCas9,Non-Target,162.1252667,mg/L
Control,dCas9,Non-Target,165.5256,mg/L
Control,dCas9,Non-Target,165.5533333,mg/L
PP_0368,dCas9,Target,227.0476,mg/L
PP_0368,dCas9,Target,246.3242,mg/L
PP_0368,dCas9,Target,236.6698,mg/L
PP_0751,dCas9,Target,212.7146667,mg/L
PP_0751,dCas9,Target,214.1004444,mg/L
PP_0751,dCas9,Target,206.2613333,mg/L
PP_0812,dCas9,Target,231.1432,mg/L
PP_0812,dCas9,Target,224.5483333,mg/L
PP_0812,dCas9,Target,252.7312,mg/L
PP_0812,dCas9,Target,251.6862667,mg/L
PP_0812,dCas9,Target,255.5218667,mg/L
PP_0812,dCas9,Target,249.0000667,mg/L
PP_0813,dCas9,Target,256.7417333,mg/L
PP_0813,dCas9,Target,216.197,mg/L
PP_0813,dCas9,Target,359.9358667,mg/L
PP_0813,dCas9,Target,197.1834,mg/L
PP_0813,dCas9,Target,354.3337333,mg/L
PP_0813,dCas9,Target,222.4352667,mg/L
PP_0814,dCas9,Target,306.4450667,mg/L
PP_0814,dCas9,Target,285.185,mg/L
PP_0814,dCas9,Target,345.5576667,mg/L
PP_1317,dCas9,Target,150.8716667,mg/L
PP_1317,dCas9,Target,153.2682,mg/L
PP_1317,dCas9,Target,152.2352667,mg/L
PP_4120,dCas9,Target,164.5404444,mg/L
PP_4120,dCas9,Target,162.44,mg/L
PP_4120,dCas9,Target,159.0088889,mg/L
