Strain,Type,Titer
PP_0368,CRISPRi,227.0476
PP_0368,CRISPRi,246.3242
PP_0368,CRISPRi,236.6698
PP_0751,CRISPRi,212.71467
PP_0751,CRISPRi,214.10044
PP_0751,CRISPRi,206.26133
PP_0812,CRISPRi,224.54833
PP_0812,CRISPRi,231.1432
PP_0812,CRISPRi,251.68627
PP_0812,CRISPRi,252.7312
PP_0812,CRISPRi,255.52187
PP_0812,CRISPRi,249.00007
PP_0813,CRISPRi,256.74173
PP_0813,CRISPRi,216.197
PP_0813,CRISPRi,359.93587
PP_0813,CRISPRi,197.1834
PP_0813,CRISPRi,354.33373
PP_0813,CRISPRi,222.43527
PP_0814,CRISPRi,306.44507
PP_0814,CRISPRi,285.185
PP_0814,CRISPRi,345.55767
PP_0815,CRISPRi,272.805
PP_0815,CRISPRi,248.58573
PP_0815,CRISPRi,255.54267
PP_1317,CRISPRi,150.87167
PP_1317,CRISPRi,153.2682
PP_1317,CRISPRi,152.23527
PP_2136,CRISPRi,232.3398
PP_2136,CRISPRi,234.2294
PP_2136,CRISPRi,235.8306
PP_4120,CRISPRi,164.54044
PP_4120,CRISPRi,162.44
PP_4120,CRISPRi,159.00889
PP_4189,CRISPRi,283.2782
PP_4189,CRISPRi,269.70547
PP_4189,CRISPRi,321.20247
PP_4191,CRISPRi,358.72587
PP_4191,CRISPRi,367.47564
PP_4191,CRISPRi,349.11636
Control,CRISPRi,167.7428
Control,CRISPRi,165.8016
Control,CRISPRi,160.7165
Control,CRISPRi,157.9641
Control,CRISPRi,157.7208
Control,CRISPRi,156.8139
PP_0368,Non-Target,182.4908
PP_0751,Non-Target,104.5402
PP_0812,Non-Target,271.1084
PP_0813,Non-Target,467.9667
PP_0814,Non-Target,300.6
PP_0815,Non-Target,254.3022
PP_0812-15,Non-Target,255.1032
PP_0368,Non-Target,204.6302
PP_0751,Non-Target,312.0283
PP_0812,Non-Target,301.2882
PP_0813,Non-Target,519.7242
PP_0814,Non-Target,389.3863
PP_0815,Non-Target,227.8252
PP_0812-15,Non-Target,204.8562
PP_0368,Non-Target,197.1067
PP_0751,Non-Target,120.1894
PP_0812,Non-Target,241.486
PP_0813,Non-Target,525.5313
PP_0814,Non-Target,314.0237
PP_0815,Non-Target,227.4597
PP_0812-15,Non-Target,217.4319
PP_0751 PP_0812,Non-Target,380.0222
PP_1317 PP_0812,Non-Target,326.9797
PP_0813-15 PP_1317,Non-Target,367.5621
IY1449 PP_0812-0815 PP_1317 PP_0368  PP_0751,Non-Target,8.2758
PP_0751 PP_0812,Non-Target,381.5086
PP_1317 PP_0812,Non-Target,345.9928
PP_0813-15 PP_1317,Non-Target,408.3648
IY1449 PP_0812-0815 PP_1317 PP_0368  PP_0751,Non-Target,8.9581
PP_0751 PP_0812,Non-Target,414.4412
PP_1317 PP_0812,Non-Target,391.9309
PP_0813-15 PP_1317,Non-Target,404.0003
IY1449 PP_0812-0815 PP_1317 PP_0368  PP_0751,Non-Target,11.5739
Control,Non-Target,157.5354
Control,Non-Target,152.7631
Control,Non-Target,164.3926
PP_1317,Non-Target,98.6023
PP_2136,Non-Target,332.0178
PP_4189,Non-Target,312.9791
PP_4191,Non-Target,8.1263
PP_0812-15 PP_1317 PP_0368,Non-Target,224.4257
PP_0812-0815 PP_0751 PP_0368,Non-Target,229.0386
Control,Non-Target,157.1542
PP_1317,Non-Target,115.7348
PP_2136,Non-Target,308.0843
PP_4189,Non-Target,325.632
PP_4191,Non-Target,6.8766
PP_0812-15 PP_1317 PP_0368,Non-Target,198.4902
PP_0812-0815 PP_0751 PP_0368,Non-Target,215.8144
Control,Non-Target,158.1055
PP_1317,Non-Target,101.8542
PP_2136,Non-Target,297.0437
PP_4189,Non-Target,313.1991
PP_4191,Non-Target,11.3554
PP_0812-15 PP_1317 PP_0368,Non-Target,205.2324
PP_0812-0815 PP_0751 PP_0368,Non-Target,200.1448
Control,Non-Target,153.7041
