,Strain,Time,Temperature,Titer
1,Control-1,Inoculation,24,0
2,Control-1,Inoculation,24,0
3,Control-1,Inoculation,24,0
4,ΔPP_0368,Inoculation,24,0
5,ΔPP_0368,Inoculation,24,0
6,ΔPP_0368,Inoculation,24,0
7,ΔPP_0751,Inoculation,24,0
8,ΔPP_0751,Inoculation,24,0
9,ΔPP_0751,Inoculation,24,0
10,ΔPP_0812,Inoculation,24,0
11,ΔPP_0812,Inoculation,24,0
12,ΔPP_0812,Inoculation,24,0
13,ΔPP_0813,Inoculation,24,0
14,ΔPP_0813,Inoculation,24,0
15,ΔPP_0813,Inoculation,24,0
16,ΔPP_0814,Inoculation,24,0
17,ΔPP_0814,Inoculation,24,0
18,ΔPP_0814,Inoculation,24,0
19,ΔPP_0815,Inoculation,24,0
20,ΔPP_0815,Inoculation,24,0
21,ΔPP_0815,Inoculation,24,0
22,ΔPP_0812-15,Inoculation,24,0
23,ΔPP_0812-15,Inoculation,24,0
24,ΔPP_0812-15,Inoculation,24,0
25,ΔPP_1317,Inoculation,24,0
26,ΔPP_1317,Inoculation,24,0
27,ΔPP_1317,Inoculation,24,0
28,ΔPP_2136,Inoculation,24,0
29,ΔPP_2136,Inoculation,24,0
30,ΔPP_2136,Inoculation,24,0
31,ΔPP_4120,Inoculation,24,0
32,ΔPP_4120,Inoculation,24,0
33,ΔPP_4120,Inoculation,24,0
34,ΔPP_4189,Inoculation,24,0
35,ΔPP_4189,Inoculation,24,0
36,ΔPP_4189,Inoculation,24,0
37,ΔPP_4191,Inoculation,24,0
38,ΔPP_4191,Inoculation,24,0
39,ΔPP_4191,Inoculation,24,0
40,ΔPP_0751 ΔPP_0812,Inoculation,24,0
41,ΔPP_0751 ΔPP_0812,Inoculation,24,0
42,ΔPP_0751 ΔPP_0812,Inoculation,24,0
43,ΔPP_1317 ΔPP_0812,Inoculation,24,0
44,ΔPP_1317 ΔPP_0812,Inoculation,24,0
45,ΔPP_1317 ΔPP_0812,Inoculation,24,0
46,ΔPP_0813-15 ΔPP_1317,Inoculation,24,0
47,ΔPP_0813-15 ΔPP_1317,Inoculation,24,0
48,ΔPP_0813-15 ΔPP_1317,Inoculation,24,0
49,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Inoculation,24,0
50,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Inoculation,24,0
51,ΔPP_0812-15 ΔPP_1317 ΔPP_0368,Inoculation,24,0
52,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Inoculation,24,0
53,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Inoculation,24,0
54,ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,Inoculation,24,0
55,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Inoculation,24,0
56,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Inoculation,24,0
57,IY1449 ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,Inoculation,24,0
58,ΔPP_0812-15 ΔPP_0368,Inoculation,24,0
59,ΔPP_0812-15 ΔPP_0368,Inoculation,24,0
60,ΔPP_0812-15 ΔPP_0368,Inoculation,24,0
61,PCK-1,Inoculation,24,0
62,PCK-1,Inoculation,24,0
63,PCK-1,Inoculation,24,0
64,PCK-2,Inoculation,24,0
65,PCK-2,Inoculation,24,0
66,PCK-2,Inoculation,24,0
67,PCK-3,Inoculation,24,0
68,PCK-3,Inoculation,24,0
69,PCK-3,Inoculation,24,0
70,PCK-4,Inoculation,24,0
71,PCK-4,Inoculation,24,0
72,PCK-4,Inoculation,24,0
73,PCK-5,Inoculation,24,0
74,PCK-5,Inoculation,24,0
75,PCK-5,Inoculation,24,0
76,PCK-6,Inoculation,24,0
77,PCK-6,Inoculation,24,0
78,PCK-6,Inoculation,24,0
79,PCK-7,Inoculation,24,0
80,PCK-7,Inoculation,24,0
81,PCK-7,Inoculation,24,0
82,PCK-8,Inoculation,24,0
83,PCK-8,Inoculation,24,0
84,PCK-8,Inoculation,24,0
85,PCK-9,Inoculation,24,0
86,PCK-9,Inoculation,24,0
87,PCK-9,Inoculation,24,0
88,PCK-10,Inoculation,24,0
89,PCK-10,Inoculation,24,0
90,PCK-10,Inoculation,24,0
91,PCK-Control,Inoculation,24,0
92,PCK-Control,Inoculation,24,0
93,PCK-Control,Inoculation,24,0
94,Control-1,Induction,24,17.1723
95,Control-1,Induction,24,19.723
96,Control-1,Induction,24,19.7512
97,ΔPP_0368,Induction,24,19.4436
98,ΔPP_0368,Induction,24,19.655
99,ΔPP_0368,Induction,24,18.122
100,ΔPP_0751,Induction,24,20.3019
101,ΔPP_0751,Induction,24,19.0405
102,ΔPP_0751,Induction,24,19.9975
103,ΔPP_0812,Induction,24,19.2019
104,ΔPP_0812,Induction,24,18.925
105,ΔPP_0812,Induction,24,18.9507
106,ΔPP_0813,Induction,24,15.4604
107,ΔPP_0813,Induction,24,16.8289
108,ΔPP_0813,Induction,24,17.1096
109,ΔPP_0814,Induction,24,16.7937
110,ΔPP_0814,Induction,24,18.1121
111,ΔPP_0814,Induction,24,16.9477
112,ΔPP_0815,Induction,24,17.0649
113,ΔPP_0815,Induction,24,19.405
114,ΔPP_0815,Induction,24,17.3707
115,ΔPP_0812-15,Induction,24,18.9615
116,ΔPP_0812-15,Induction,24,17.3801
117,ΔPP_0812-15,Induction,24,
118,ΔPP_1317,Induction,24,15.3425
119,ΔPP_1317,Induction,24,14.9396
120,ΔPP_1317,Induction,24,16.4161
121,ΔPP_2136,Induction,24,18.1701
122,ΔPP_2136,Induction,24,17.232
123,ΔPP_2136,Induction,24,16.622
124,ΔPP_4120,Induction,24,15.9862
125,ΔPP_4120,Induction,24,16.808
126,ΔPP_4120,Induction,24,17.8011
127,ΔPP_4189,Induction,24,17.6577
128,ΔPP_4189,Induction,24,17.4644
129,ΔPP_4189,Induction,24,15.6899
130,ΔPP_4191,Induction,24,14.91
131,ΔPP_4191,Induction,24,13.215
132,ΔPP_4191,Induction,24,16.5076
133,ΔPP_0751 ΔPP_0812,Induction,24,15.5603
134,ΔPP_0751 ΔPP_0812,Induction,24,16.418
135,ΔPP_0751 ΔPP_0812,Induction,24,15.3588
136,ΔPP_1317 ΔPP_0812,Induction,24,16.138
137,ΔPP_1317 ΔPP_0812,Induction,24,15.2549
138,ΔPP_1317 ΔPP_0812,Induction,24,16.0977
139,ΔPP_0813-15 ΔPP_1317,Induction,24,17.4171
140,ΔPP_0813-15 ΔPP_1317,Induction,24,16.0734
141,ΔPP_0813-15 ΔPP_1317,Induction,24,14.8397
