,Line Name,cycle,is_control,line_name_norep,number_of_grna,isoprenol,dCas9,dCas9_normtocontrol,target_1,target_2,target_3,target_4,target_1_value,target_2_value,target_3_value,target_4_value,target_1_control,target_2_control,target_3_control,target_4_control,target_1_norm,target_2_norm,target_3_norm,target_4_norm,has_missing_control,above_dcas9_thresh,target_1_belowthresh,target_2_belowthresh,target_3_belowthresh,target_4_belowthresh,all_targets_belowthresh,all_reps_belowthresh,all_reps_above_dcas9_thresh,to_keep,to_keep_improved
3,Control-R12,0,TRUE,Control,0,202.7048,26008612.7,1.179865233,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
8,Control-R17,0,TRUE,Control,0,197.79113,6601139,0.835350219,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
2,Control-R11,0,TRUE,Control,0,192.63713,24151481.4,1.095617577,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
9,Control-R18,0,TRUE,Control,0,184.31093,6277513.6,0.794396597,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
10,Control-R2,0,TRUE,Control,0,181.88373,24489896.2,1.054498188,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
0,Control-R1,0,TRUE,Control,0,177.337,23396190.6,1.007404865,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
5,Control-R14,0,TRUE,Control,0,177.1856,19880408.7,0.901862906,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
1,Control-R10,0,TRUE,Control,0,176.13507,28115139.4,1.275426562,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
11,Control-R3,0,TRUE,Control,0,169.4058,25059083.87,1.079006555,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
6,Control-R15,0,TRUE,Control,0,168.0272,10259545.21,1.298308267,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,,TRUE
