Line Name,cycle,is_control,number_of_grna,isoprenol,to_keep_improved,line_name_norep,global_median_isoprenol,global_max_isoprenol,color
PP_0751_PP_0813_PP_0815-R1,6,False,3,818.6499,True,PP_0751_PP_0813_PP_0815,509.1121,818.6499,max
PP_0751_PP_0813_PP_0815-R2,6,False,3,773.4597,True,PP_0751_PP_0813_PP_0815,509.1121,818.6499,max
PP_0528_PP_0751_PP_0812_PP_0815-R1,6,False,4,762.3653,True,PP_0528_PP_0751_PP_0812_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0812_PP_0815-R3,6,False,4,748.9053,True,PP_0528_PP_0751_PP_0812_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0815-R2,6,False,3,748.225,True,PP_0528_PP_0751_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0815-R3,6,False,3,746.4432,True,PP_0528_PP_0751_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0815-R1,6,False,3,736.2201,True,PP_0528_PP_0751_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0813_PP_0815-R1,6,False,4,724.6307,True,PP_0528_PP_0751_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0751_PP_0813_PP_0815-R3,6,False,3,721.3627,True,PP_0751_PP_0813_PP_0815,509.1121,818.6499,max
PP_0528_PP_0751_PP_0813_PP_0815-R2,6,False,4,719.4565,True,PP_0528_PP_0751_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0813_PP_0815-R3,6,False,4,714.812,True,PP_0528_PP_0751_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0751_PP_0812_PP_0815-R2,6,False,4,706.0525,True,PP_0528_PP_0751_PP_0812_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0814_PP_0815-R3,6,False,4,704.5033,True,PP_0368_PP_0751_PP_0814_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0813_PP_0815-R1,6,False,4,703.8658,True,PP_0368_PP_0751_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0813_PP_0815-R2,6,False,4,691.0291,True,PP_0368_PP_0751_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0813_PP_0815-R2,6,False,3,661.7207,True,PP_0528_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0814_PP_0815-R2,6,False,4,656.3714,True,PP_0368_PP_0751_PP_0814_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0813_PP_0815-R3,6,False,3,652.3416,True,PP_0528_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0813_PP_0815-R3,6,False,4,647.5868,True,PP_0368_PP_0751_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0813_PP_0814_PP_0815-R2,6,False,4,639.6017,True,PP_0368_PP_0813_PP_0814_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0813_PP_0814_PP_0815-R1,6,False,4,627.1498,True,PP_0368_PP_0813_PP_0814_PP_0815,509.1121,818.6499,normal
PP_0528_PP_0813_PP_0815-R1,6,False,3,613.9456,True,PP_0528_PP_0813_PP_0815,509.1121,818.6499,normal
PP_0812_PP_0813_PP_0815_PP_1506-R1,6,False,4,611.1875,False,PP_0812_PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0812_PP_0813_PP_0815_PP_1506-R3,6,False,4,606.8789,False,PP_0812_PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0813_PP_0814_PP_0815-R3,6,False,4,605.2812,True,PP_0368_PP_0813_PP_0814_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0814_PP_0815-R1,6,False,4,584.5668,True,PP_0368_PP_0751_PP_0814_PP_0815,509.1121,818.6499,normal
PP_0812_PP_0813_PP_0815_PP_1506-R2,6,False,4,584.029,False,PP_0812_PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815-R2,6,False,3,565.9666,False,PP_0751_PP_0812_PP_0815,509.1121,818.6499,normal
PP_0812_PP_0815_PP_1506-R3,6,False,3,557.0017,False,PP_0812_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0812_PP_0815_PP_1506-R1,6,False,3,552.4389,False,PP_0812_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815-R3,6,False,3,540.339,False,PP_0751_PP_0812_PP_0815,509.1121,818.6499,normal
PP_0812_PP_0815_PP_1506-R2,6,False,3,538.1355,False,PP_0812_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815-R1,6,False,3,529.8337,False,PP_0751_PP_0812_PP_0815,509.1121,818.6499,normal
PP_0813_PP_0815_PP_2136-R3,6,False,3,522.6864,True,PP_0813_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0815_PP_4191-R1,6,False,2,520.7546,True,PP_0815_PP_4191,509.1121,818.6499,normal
PP_0815_PP_4191-R3,6,False,2,518.4426,True,PP_0815_PP_4191,509.1121,818.6499,normal
PP_0815_PP_4191-R2,6,False,2,517.8298,True,PP_0815_PP_4191,509.1121,818.6499,normal
PP_0814_PP_0815_PP_4189-R1,6,False,3,509.1121,True,PP_0814_PP_0815_PP_4189,509.1121,818.6499,median
PP_0813_PP_0815_PP_2136-R1,6,False,3,506.602,True,PP_0813_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0814_PP_0815_PP_4189-R2,6,False,3,486.2498,True,PP_0814_PP_0815_PP_4189,509.1121,818.6499,median
PP_0814_PP_0815_PP_4189-R3,6,False,3,483.9948,True,PP_0814_PP_0815_PP_4189,509.1121,818.6499,median
PP_0813_PP_0815_PP_2136-R2,6,False,3,461.7207,True,PP_0813_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0751_PP_0815_PP_2136-R3,6,False,3,443.289,False,PP_0751_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0528_PP_2136-R1,6,False,2,435.4961,True,PP_0528_PP_2136,509.1121,818.6499,normal
PP_0751_PP_0815_PP_2136-R1,6,False,3,427.3335,False,PP_0751_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0812_PP_0815_PP_1769-R2,6,False,3,423.7996,False,PP_0812_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0815_PP_2136-R3,6,False,3,423.5372,True,PP_0368_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0528_PP_0815_PP_1769-R1,6,False,3,418.4216,False,PP_0528_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0812_PP_0815_PP_1769-R3,6,False,3,418.2505,False,PP_0812_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0528_PP_0815_PP_1769-R3,6,False,3,418.0413,False,PP_0528_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0815_PP_2136-R1,6,False,3,415.5475,True,PP_0368_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0751_PP_0815_PP_2136-R2,6,False,3,413.9613,False,PP_0751_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0528_PP_0815_PP_1769-R2,6,False,3,407.4656,False,PP_0528_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0528_PP_0815_PP_2136-R2,6,False,3,407.3949,True,PP_0528_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0814_PP_0815_PP_4120-R3,6,False,3,406.1429,True,PP_0814_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0812_PP_1506-R1,6,False,2,406.0365,False,PP_0812_PP_1506,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4189-R3,6,False,3,404.306,False,PP_0815_PP_1506_PP_4189,509.1121,818.6499,normal
PP_0528_PP_0815_PP_2136-R1,6,False,3,401.7451,True,PP_0528_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0812_PP_1506-R2,6,False,2,400.8658,False,PP_0812_PP_1506,509.1121,818.6499,normal
PP_0528_PP_0815_PP_2136-R3,6,False,3,398.6422,True,PP_0528_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0528_PP_2136-R3,6,False,2,392.853,True,PP_0528_PP_2136,509.1121,818.6499,normal
PP_0812_PP_0815_PP_1769-R1,6,False,3,390.287,False,PP_0812_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0813_PP_0815_PP_1769-R3,6,False,3,385.8689,False,PP_0813_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0813_PP_0815_PP_1769-R1,6,False,3,384.2869,False,PP_0813_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4189-R1,6,False,3,383.4839,False,PP_0815_PP_1506_PP_4189,509.1121,818.6499,normal
PP_0814_PP_0815_PP_4120-R1,6,False,3,378.7317,True,PP_0814_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0815_PP_2136-R2,6,False,3,378.3061,True,PP_0368_PP_0815_PP_2136,509.1121,818.6499,normal
PP_0813_PP_0815_PP_1769-R2,6,False,3,369.4348,False,PP_0813_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0528_PP_2136-R2,6,False,2,369.4184,True,PP_0528_PP_2136,509.1121,818.6499,normal
PP_0528_PP_4192-R3,6,False,2,368.1026,False,PP_0528_PP_4192,509.1121,818.6499,normal
PP_0528_PP_4192-R1,6,False,2,365.5649,False,PP_0528_PP_4192,509.1121,818.6499,normal
PP_0812_PP_1506-R3,6,False,2,365.2459,False,PP_0812_PP_1506,509.1121,818.6499,normal
PP_0528_PP_4192-R2,6,False,2,362.9127,False,PP_0528_PP_4192,509.1121,818.6499,normal
PP_0815_PP_1506_PP_4189-R2,6,False,3,360.6876,False,PP_0815_PP_1506_PP_4189,509.1121,818.6499,normal
PP_0528_PP_1769-R3,6,False,2,350.8494,False,PP_0528_PP_1769,509.1121,818.6499,normal
PP_0814_PP_0815_PP_4120-R2,6,False,3,350.3163,True,PP_0814_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0528_PP_1769-R1,6,False,2,343.8137,False,PP_0528_PP_1769,509.1121,818.6499,normal
PP_0528_PP_1769-R2,6,False,2,324.2522,False,PP_0528_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0815_PP_1506-R3,6,False,3,316.8816,False,PP_0368_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0815_PP_1506-R2,6,False,3,309.7973,False,PP_0368_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0815_PP_1506-R1,6,False,3,289.3695,False,PP_0368_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0815_PP_1506_PP_2136-R1,6,False,3,287.9215,False,PP_0815_PP_1506_PP_2136,509.1121,818.6499,normal
PP_0815_PP_1506_PP_2136-R3,6,False,3,287.891,False,PP_0815_PP_1506_PP_2136,509.1121,818.6499,normal
PP_0368_PP_0528_PP_0751_PP_0815-R3,6,False,4,279.7427,False,PP_0368_PP_0528_PP_0751_PP_0815,509.1121,818.6499,normal
PP_0751_PP_0815_PP_4120-R1,6,False,3,274.4607,False,PP_0751_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0815_PP_1506_PP_2136-R2,6,False,3,264.9655,False,PP_0815_PP_1506_PP_2136,509.1121,818.6499,normal
PP_0751_PP_0815_PP_4120-R2,6,False,3,264.2251,False,PP_0751_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0751_PP_0815_PP_1506-R2,6,False,3,260.1399,False,PP_0751_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0815_PP_4120-R3,6,False,3,255.2075,False,PP_0751_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0814_PP_0815_PP_1769-R3,6,False,4,255.0127,False,PP_0368_PP_0814_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0528_PP_0751_PP_0815-R1,6,False,4,254.7201,False,PP_0368_PP_0528_PP_0751_PP_0815,509.1121,818.6499,normal
PP_0368_PP_0815_PP_1769-R3,6,False,3,251.953,False,PP_0368_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0815_PP_1769-R2,6,False,3,248.2446,False,PP_0368_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0815_PP_1769-R1,6,False,3,245.5413,False,PP_0368_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0751_PP_0815_PP_1506-R1,6,False,3,245.3584,False,PP_0751_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0528_PP_0751_PP_0815-R2,6,False,4,236.3725,False,PP_0368_PP_0528_PP_0751_PP_0815,509.1121,818.6499,normal
PP_0751_PP_0815_PP_1506-R3,6,False,3,232.7355,False,PP_0751_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0812_PP_0815-R2,6,False,3,231.2582,False,PP_0368_PP_0812_PP_0815,509.1121,818.6499,max
PP_0368_PP_0812_PP_0815-R1,6,False,3,227.1785,False,PP_0368_PP_0812_PP_0815,509.1121,818.6499,max
PP_0368_PP_0751_PP_0815_PP_4120-R2,6,False,4,223.6769,False,PP_0368_PP_0751_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0812_PP_0815-R3,6,False,3,223.5996,False,PP_0368_PP_0812_PP_0815,509.1121,818.6499,max
PP_0368_PP_0814_PP_0815_PP_1769-R2,6,False,4,223.4386,False,PP_0368_PP_0814_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0814_PP_0815_PP_1769-R1,6,False,4,222.281,False,PP_0368_PP_0814_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0815_PP_1769_PP_4189-R1,6,False,3,221.2313,False,PP_0815_PP_1769_PP_4189,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815_PP_1506-R3,6,False,4,221.2184,False,PP_0751_PP_0812_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815_PP_1506-R1,6,False,4,219.5499,False,PP_0751_PP_0812_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0814_PP_0815_PP_1506-R1,6,False,4,218.8145,False,PP_0368_PP_0814_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_4120-R1,6,False,4,217.9585,False,PP_0368_PP_0751_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_1506-R3,6,False,2,217.7908,False,PP_0368_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815_PP_1506-R2,6,False,4,215.5602,False,PP_0751_PP_0812_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0814_PP_0815_PP_1769-R2,6,False,4,214.8926,False,PP_0751_PP_0814_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0751_PP_0814_PP_0815_PP_1769-R1,6,False,4,213.8424,False,PP_0751_PP_0814_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815_PP_1769-R1,6,False,4,212.9101,False,PP_0751_PP_0812_PP_0815_PP_1769,509.1121,818.6499,normal
PP_0368_PP_0751_PP_0815_PP_4120-R3,6,False,4,212.8255,False,PP_0368_PP_0751_PP_0815_PP_4120,509.1121,818.6499,normal
PP_0368_PP_0814_PP_0815_PP_1506-R3,6,False,4,212.8029,False,PP_0368_PP_0814_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_0813_PP_0815_PP_1506-R1,6,False,4,211.8573,False,PP_0368_PP_0813_PP_0815_PP_1506,509.1121,818.6499,normal
PP_0368_PP_1506-R2,6,False,2,209.275,False,PP_0368_PP_1506,509.1121,818.6499,normal
PP_0751_PP_0815_PP_4191-R1,6,False,3,208.7299,False,PP_0751_PP_0815_PP_4191,509.1121,818.6499,normal
PP_0751_PP_0812_PP_0815_PP_1769-R3,6,False,4,208.5632,False,PP_0751_PP_0812_PP_0815_PP_1769,509.1121,818.6499,normal
