Source_Well,Volume,Destination_Well
A17,2.0,A1
A1,5.0,A1
A6,5.0,A1
B10,2.0,A1
A10,5.0,A10
A4,5.0,A10
A21,4.0,A10
A10,5.0,A11
A22,4.0,A11
A4,5.0,A11
A24,3.5,A12
A10,5.0,A12
A4,5.0,A12
B10,0.5,A12
A20,3.1,A13
A10,5.0,A13
A4,5.0,A13
B10,0.8999999999999999,A13
A10,5.0,A14
A4,5.0,A14
B10,0.5,A14
A23,3.5,A14
A10,5.0,A15
A4,5.0,A15
B4,1.2,A15
B10,2.8,A15
A4,5.0,A16
A10,5.0,A16
B7,4.0,A16
A10,5.0,A17
B1,4.0,A17
A4,5.0,A17
A5,5.0,A18
A11,5.0,A18
A19,3.1,A18
B10,0.8999999999999999,A18
A18,2.0,A19
A5,5.0,A19
B10,2.0,A19
A11,5.0,A19
B10,0.8999999999999999,A2
A6,5.0,A2
A20,3.1,A2
A1,5.0,A2
A11,5.0,A20
A5,5.0,A20
B8,3.6,A20
B10,0.3999999999999999,A20
A11,5.0,A21
A5,5.0,A21
B2,2.2,A21
B10,1.7999999999999998,A21
B10,1.7999999999999998,A22
A11,5.0,A22
A5,5.0,A22
B3,2.2,A22
B5,4.0,A23
A5,5.0,A23
A11,5.0,A23
B10,0.5,A24
A24,3.5,A24
A8,5.0,A24
A13,5.0,A24
A1,5.0,A3
A21,4.0,A3
A6,5.0,A3
A1,5.0,A4
A19,3.1,A4
B10,0.8999999999999999,A4
A6,5.0,A4
B10,2.0,A5
A1,5.0,A5
A18,2.0,A5
A6,5.0,A5
A23,3.5,A6
A6,5.0,A6
B10,0.5,A6
A1,5.0,A6
A1,5.0,A7
A6,5.0,A7
A22,4.0,A7
A1,5.0,A8
A6,5.0,A8
A24,3.5,A8
B10,0.5,A8
A2,5.0,A9
B1,4.0,A9
A7,5.0,A9
A8,5.0,B1
A13,5.0,B1
B6,4.0,B1
A12,5.0,B10
A16,5.0,B10
B10,2.8,B10
B4,1.2,B10
B10,1.7999999999999998,B11
A12,5.0,B11
A16,5.0,B11
B3,2.2,B11
B10,1.2999999999999998,B12
B9,2.7,B12
A3,5.0,B12
A8,5.0,B12
A12,5.0,B13
B10,1.2999999999999998,B13
B9,2.7,B13
A3,5.0,B13
A15,5.0,B14
B9,2.7,B14
A3,5.0,B14
B10,1.2999999999999998,B14
A22,4.0,B2
A13,5.0,B2
A8,5.0,B2
A8,5.0,B3
A13,5.0,B3
A21,4.0,B3
B4,1.2,B4
B10,2.8,B4
A13,5.0,B4
A8,5.0,B4
B1,4.0,B5
A13,5.0,B5
A8,5.0,B5
A23,3.5,B6
A8,5.0,B6
B10,0.5,B6
A13,5.0,B6
A13,5.0,B7
A8,5.0,B7
B2,2.2,B7
B10,1.7999999999999998,B7
B3,2.2,B8
A14,5.0,B8
A9,5.0,B8
B10,1.7999999999999998,B8
A12,5.0,B9
B10,0.5,B9
A24,3.5,B9
A16,5.0,B9
