Line Name,Measurement Type,Time,Value,Units
Control-R16,Total Biomass Input,0.011111111,2.37,n/a
Control-R16,Total Biomass Input,0.177777778,2.41,n/a
Control-R16,Total Biomass Input,0.344444444,2.38,n/a
Control-R16,Total Biomass Input,0.511111111,2.41,n/a
Control-R16,Total Biomass Input,0.677777778,2.4,n/a
Control-R16,Total Biomass Input,0.844444444,2.39,n/a
Control-R16,Total Biomass Input,1.011111111,2.43,n/a
Control-R16,Total Biomass Input,1.177777778,2.4,n/a
Control-R16,Total Biomass Input,1.344444444,2.42,n/a
Control-R16,Total Biomass Input,1.511111111,2.37,n/a
Control-R16,Total Biomass Input,1.677777778,2.4,n/a
Control-R16,Total Biomass Input,1.844444444,2.38,n/a
Control-R16,Total Biomass Input,2.011111111,2.37,n/a
Control-R16,Total Biomass Input,2.177777778,2.43,n/a
Control-R16,Total Biomass Input,2.344444444,2.38,n/a
Control-R16,Total Biomass Input,2.511111111,2.41,n/a
Control-R16,Total Biomass Input,2.677777778,2.43,n/a
Control-R16,Total Biomass Input,2.844444444,2.46,n/a
Control-R16,Total Biomass Input,3.011111111,2.46,n/a
Control-R16,Total Biomass Input,3.177777778,2.49,n/a
Control-R16,Total Biomass Input,3.344444444,2.5,n/a
Control-R16,Total Biomass Input,3.511111111,2.57,n/a
Control-R16,Total Biomass Input,3.677777778,2.59,n/a
Control-R16,Total Biomass Input,3.844444444,2.59,n/a
Control-R16,Total Biomass Input,4.011111111,2.64,n/a
Control-R16,Total Biomass Input,4.177777778,2.69,n/a
Control-R16,Total Biomass Input,4.344444444,2.72,n/a
Control-R16,Total Biomass Input,4.511111111,2.78,n/a
Control-R16,Total Biomass Input,4.677777778,2.8,n/a
Control-R16,Total Biomass Input,4.844444444,2.84,n/a
Control-R16,Total Biomass Input,5.011111111,2.9,n/a
Control-R16,Total Biomass Input,5.177777778,2.94,n/a
Control-R16,Total Biomass Input,5.344444444,3,n/a
Control-R16,Total Biomass Input,5.511111111,3.08,n/a
Control-R16,Total Biomass Input,5.677777778,3.07,n/a
Control-R16,Total Biomass Input,5.844444444,3.19,n/a
Control-R16,Total Biomass Input,6.011111111,3.25,n/a
Control-R16,Total Biomass Input,6.177777778,3.3,n/a
Control-R16,Total Biomass Input,6.344444444,3.41,n/a
Control-R16,Total Biomass Input,6.511111111,3.41,n/a
Control-R16,Total Biomass Input,6.677777778,3.58,n/a
Control-R16,Total Biomass Input,6.844444444,3.56,n/a
Control-R16,Total Biomass Input,7.011111111,3.71,n/a
Control-R16,Total Biomass Input,7.177777778,3.75,n/a
Control-R16,Total Biomass Input,7.344444444,3.88,n/a
Control-R16,Total Biomass Input,7.511111111,3.87,n/a
Control-R16,Total Biomass Input,7.677777778,4,n/a
Control-R16,Total Biomass Input,7.844444444,4.16,n/a
