Targets,Min production,Max production,Min OD,Max OD,Subsystem,Ratio
PP_0104,879.31728,930.39425,4.018,4.548,['S_Oxidative_Phosphorylation'],1.157629162
PP_0105,906.71676,949.42319,4.172,4.478,['S_Oxidative_Phosphorylation'],1.67768964
PP_0225,862.33693,925.09061,3.5,3.6,['S_Transport__ABC_system'],0.764675394
PP_0277,923.57067,936.04407,4.1,4.28,N.A.,1.713088287
PP_0654,1020.28299,1060.98584,4.12,4.18,['S_TCA_Cycle'],3.971139852
PP_0813,983.63405,1004.63467,4.06,4.08,['S_Oxidative_Phosphorylation'],3.023721991
PP_0814,882.17429,997.24297,4.06,4.1,['S_Oxidative_Phosphorylation'],0.816738795
PP_0944,932.83242,961.39752,4.14,4.2,['S_TCA_Cycle'],2.065722911
PP_0999,876.10346,987.06481,4.286,4.712,['S_Glutamate_Metabolism'],0.773751942
PP_1023,877.09306,920.24787,4.02,4.14,['S_Glycolysis'],1.078687748
PP_1031,920.34062,945.23753,4.4354,4.572,['S_Purine_Metabolism'],1.773839195
PP_1610,965.12247,978.16642,3.9,3.98,['S_Pyrimidine_Metabolism'],2.565500013
PP_1755,958.58427,975.49962,4.18,4.28,['S_TCA_Cycle'],2.47172613
PP_4043,948.91862,970.14909,3.984,4.536,['S_Pentose_Phosphate_Pathway'],2.318752148
PP_4123,884.87233,888.18476,4.47,4.56,['S_Oxidative_Phosphorylation'],0.831301549
PP_4185,1013.98703,1077.33261,4.02,4.04,['S_TCA_Cycle'],3.156214609
PP_4188,1491.77339,1498.20409,3.876,4.376,"['S_Lysine_Metabolism', 'S_TCA_Cycle']",13.22840639
PP_4189,1348.40747,1357.5334,4.084,4.514,"['S_Lysine_Metabolism', 'S_TCA_Cycle']",10.33484682
PP_4192,959.64206,1033.06412,4.1,4.18,['S_TCA_Cycle'],2.051502164
PP_4266,949.67108,978.33775,4.16,4.18,['S_Purine_Metabolism'],2.409837812
PP_4635,880.36968,1021.62889,4.08,4.28,['S_Fatty_Acid__Biosynthesis'],0.74523785
PP_4679,927.49447,997.88488,3.8285,3.994,"['S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis', 'S_Valine__Leucine__and_Isoleucine_Metabolism']",1.661619814
PP_4679,927.49447,997.88488,3.8285,3.994,"['S_Cofactor_and_Prosthetic_Group_Biosynthesis__Pantothenate_and_CoA_Biosynthesis', 'S_Valine__Leucine__and_Isoleucine_Metabolism']",1.661619814
PP_5186,918.50166,1028.1361,4.16,4.2,"['S_Arginine_and_Proline_Metabolism', 'S_Urea_cycleamino_group_metabolism']",1.163788541
PP_5419,907.30009,967.74931,3.996,4.24,['S_Oxidative_Phosphorylation'],1.518582456
