Destination_Well,Volume,Source_Well,Category
A1,1.0,A17,Plasmid
A1,3.0,A17,Water
A1,5.0,A17,Suffix
A1,5.0,A17,Prefix
A10,5.0,A21,Prefix
A10,5.0,A21,Suffix
A10,3.0,A21,Water
A10,1.0,A21,Plasmid
A11,2.1,A22,Plasmid
A11,5.0,A22,Prefix
A11,1.9,A22,Water
A11,5.0,A22,Suffix
A12,1.4,A24,Plasmid
A12,2.6,A24,Water
A12,5.0,A24,Suffix
A12,5.0,A24,Prefix
A13,5.0,A20,Prefix
A13,1.5,A20,Plasmid
A13,2.5,A20,Water
A13,5.0,A20,Suffix
A14,1.4,A23,Plasmid
A14,2.6,A23,Water
A14,5.0,A23,Suffix
A14,5.0,A23,Prefix
A15,3.0,B4,Water
A15,5.0,B4,Suffix
A15,5.0,B4,Prefix
A15,1.0,B4,Plasmid
A16,2.2,B7,Plasmid
A16,1.7999999999999998,B7,Water
A16,5.0,B7,Suffix
A16,5.0,B7,Prefix
A17,1.1,B1,Plasmid
A17,2.9,B1,Water
A17,5.0,B1,Suffix
A17,5.0,B1,Prefix
A18,0.7000000000000002,A19,Water
A18,5.0,A19,Suffix
A18,5.0,A19,Prefix
A18,3.3,A19,Plasmid
A19,2.3,A18,Plasmid
A19,1.7000000000000002,A18,Water
A19,5.0,A18,Suffix
A19,5.0,A18,Prefix
A2,5.0,A20,Prefix
A2,5.0,A20,Suffix
A2,2.5,A20,Water
A2,1.5,A20,Plasmid
A20,2.4,B8,Plasmid
A20,5.0,B8,Prefix
A20,5.0,B8,Suffix
A20,1.6,B8,Water
A21,1.3,B2,Plasmid
A21,5.0,B2,Prefix
A21,5.0,B2,Suffix
A21,2.7,B2,Water
A22,5.0,B3,Prefix
A22,5.0,B3,Suffix
A22,2.7,B3,Water
A22,1.3,B3,Plasmid
A23,5.0,B5,Prefix
A23,1.1,B5,Plasmid
A23,2.9,B5,Water
A23,5.0,B5,Suffix
A24,1.4,A24,Plasmid
A24,5.0,A24,Suffix
A24,5.0,A24,Prefix
A24,2.6,A24,Water
A3,3.0,A21,Water
A3,1.0,A21,Plasmid
A3,5.0,A21,Prefix
A3,5.0,A21,Suffix
A4,5.0,A19,Prefix
A4,3.3,A19,Plasmid
A4,5.0,A19,Suffix
A4,0.7000000000000002,A19,Water
A5,2.3,A18,Plasmid
A5,1.7000000000000002,A18,Water
A5,5.0,A18,Suffix
A5,5.0,A18,Prefix
A6,5.0,A23,Prefix
A6,5.0,A23,Suffix
A6,1.4,A23,Plasmid
A6,2.6,A23,Water
A7,1.9,A22,Water
A7,5.0,A22,Suffix
A7,5.0,A22,Prefix
A7,2.1,A22,Plasmid
A8,1.4,A24,Plasmid
A8,2.6,A24,Water
A8,5.0,A24,Suffix
A8,5.0,A24,Prefix
A9,5.0,B1,Suffix
A9,1.1,B1,Plasmid
A9,2.9,B1,Water
A9,5.0,B1,Prefix
B1,5.0,B6,Suffix
B1,5.0,B6,Prefix
B1,1.9,B6,Water
B1,2.1,B6,Plasmid
B10,3.0,B4,Water
B10,5.0,B4,Suffix
B10,5.0,B4,Prefix
B10,1.0,B4,Plasmid
B11,1.3,B3,Plasmid
B11,2.7,B3,Water
B11,5.0,B3,Suffix
B11,5.0,B3,Prefix
B12,3.1,B9,Plasmid
B12,0.8999999999999999,B9,Water
B12,5.0,B9,Prefix
B12,5.0,B9,Suffix
B13,3.1,B9,Plasmid
B13,0.8999999999999999,B9,Water
B13,5.0,B9,Suffix
B13,5.0,B9,Prefix
B14,3.1,B9,Plasmid
B14,0.8999999999999999,B9,Water
B14,5.0,B9,Suffix
B14,5.0,B9,Prefix
B2,2.1,A22,Plasmid
B2,1.9,A22,Water
B2,5.0,A22,Suffix
B2,5.0,A22,Prefix
B3,5.0,A21,Prefix
B3,1.0,A21,Plasmid
B3,3.0,A21,Water
B3,5.0,A21,Suffix
B4,3.0,B4,Water
B4,1.0,B4,Plasmid
B4,5.0,B4,Suffix
B4,5.0,B4,Prefix
B5,5.0,B1,Prefix
B5,2.9,B1,Water
B5,1.1,B1,Plasmid
B5,5.0,B1,Suffix
B6,5.0,A23,Suffix
B6,2.6,A23,Water
B6,1.4,A23,Plasmid
B6,5.0,A23,Prefix
B7,1.3,B2,Plasmid
B7,5.0,B2,Prefix
B7,5.0,B2,Suffix
B7,2.7,B2,Water
B8,5.0,B3,Prefix
B8,5.0,B3,Suffix
B8,1.3,B3,Plasmid
B8,2.7,B3,Water
B9,5.0,A24,Suffix
B9,2.6,A24,Water
B9,1.4,A24,Plasmid
B9,5.0,A24,Prefix
