Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance,Type
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,R1,2722596.667,0.058931605,-1.229651729,0812_0815_NONTARGET
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,R2,3120000,0.066985007,-1.174022391,0812_0815_NONTARGET
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,0812_0815-Control,R3,3032576.333,0.065750942,-1.182098019,0812_0815_NONTARGET
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,R1,3990000,0.086365016,-1.063662142,0812_0815_NONTARGET
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,R2,3240656.933,0.069575458,-1.157543927,0812_0815_NONTARGET
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,0812_0815-Control,R3,4092519,0.088732138,-1.051919056,0812_0815_NONTARGET
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,R1,1926666.667,0.041703408,-1.379828454,0812_0815_NONTARGET
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,R2,2086666.667,0.044799802,-1.348723907,0812_0815_NONTARGET
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,0812_0815-Control,R3,2166666.667,0.046976682,-1.328117659,0812_0815_NONTARGET
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,R1,2152538.667,0.04659249,-1.331684076,0812_0815_NONTARGET
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,R2,2458821.667,0.052789804,-1.277449954,0812_0815_NONTARGET
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,0812_0815-Control,R3,1230253.367,0.026673795,-1.573915199,0812_0815_NONTARGET
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,R1,421722.4667,0.009128338,-2.039608299,0812_0815_NONTARGET
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,R2,837625.6,0.017983448,-1.745127043,0812_0815_NONTARGET
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,0812_0815-Control,R3,1001024.667,0.021703762,-1.663464982,0812_0815_NONTARGET
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,R1,14357.2,0.000310767,-3.507565287,0812_0815_NONTARGET
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,R2,15985.4,0.000343199,-3.464453477,0812_0815_NONTARGET
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,0812_0815-Control,R3,11843.1,0.000256777,-3.590444364,0812_0815_NONTARGET
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,R1,403853.4,0.008741555,-2.058411294,0812_0815_NONTARGET
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,R2,246090.4667,0.005283452,-2.277082195,0812_0815_NONTARGET
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,0812_0815-Control,R3,229244.7,0.004970379,-2.303610457,0812_0815_NONTARGET
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,R1,1191858.667,0.025798219,-1.588410279,0812_0815_NONTARGET
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,R2,975328.4667,0.020939867,-1.679026085,0812_0815_NONTARGET
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,0812_0815-Control,R3,1013038,0.02196423,-1.658284024,0812_0815_NONTARGET
