Protein.Group,_30C_Culture_Tubes_abundance,Biolector_abundance,log2_change,p_value,log10_p_value
A0A140FVX0,0.08307827406060606,0.05895213233333334,-0.49492724743065675,1.2742908088771802e-05,4.894731449333227
A0A140FVX4,0.012880952333333334,0.015395163833333335,0.2572379596103549,0.3390478933533846,0.46973894973216473
A0A140FVZ0,0.05268179484848485,0.042994283351851854,-0.29315965096597274,1.0322558749955956e-08,7.986212636696508
A0A140FVZ1,0.08953392593939394,0.03423288624074074,-1.3870515139751618,1.4448009922420124e-18,17.840191968771236
A0A140FW22,0.04059753003030303,0.01954548472222222,-1.054556592466803,7.082303847173246e-08,7.149825444943064
A0A140FW35,0.010848866545454547,0.018001951296296295,0.7306089715154225,0.00013728460227443854,3.8623781701357403
A0A140FW37,0.0025477815454545455,,,,
A0A140FW57,0.005653961121212122,0.008871357611111111,0.6498929387927723,0.057394904767865594,1.241126660379363
A0A140FW85,0.0010619620909090909,,,,
A0A140FW92,0.0036975096666666666,0.014734819518518518,1.9946035653359468,0.00010341298695583172,3.9854249176339125
A0A140FWC7,0.01754718212121212,0.015562058555555557,-0.17320645539503068,0.24742906181689095,0.6065492915886387
A0A140FWL3,0.020184305818181817,0.03213848488888889,0.6710679470742077,0.00012572749071770362,3.9005697520543006
A0A140FWM3,0.022444882393939394,0.00908875874074074,-1.3042313539442292,7.731216167579487e-15,14.111752183530045
A0A140FWP7,0.032667009727272725,0.016495640074074076,-0.9857496400634617,6.638072559790523e-15,14.177958004692645
A0A140FWQ8,0.026769583333333333,0.03384071548148148,0.33816538742990904,0.24454908524166616,0.6116339573580932
A0A140FWS3,0.06802668066666667,0.07881273262962962,0.2123280286868577,0.006245276935191831,2.2044482988816774
A0A140FWS4,0.030547139666666664,0.012564154518518519,-1.281723706169187,3.316420599161093e-09,8.479330396001362
A0A140FWS5,0.012461743787878787,0.005128040574074073,-1.2810263786615816,9.78433012383009e-22,21.009468902605146
A0A140FWT6,0.0007728221818181819,,,,
A0A140FWU0,0.04002373172727273,0.03870818805555555,-0.04821691119145031,0.7712282191356321,0.1128170880384798
MM_1762,2.327025792151515,0.9830734622592593,-1.2431160671223473,1.0765091284477842e-41,40.96798228314872
PP_0001,0.02456119027272727,0.0190434425,-0.36708617811972666,0.004162736476789604,2.3806210813780777
PP_0002,0.0014510812121212122,,,,
PP_0004,0.017706329727272728,0.03656066009259259,1.0460269253695766,0.00011273152426990447,3.947954620759257
PP_0005,0.01352160790909091,0.0075883607777777785,-0.8334065421558168,0.0009823541572642753,3.0077319126032513
PP_0006,0.016378885515151514,0.03503095087037037,1.0967929552031581,6.524848963894039e-21,20.185429536848925
PP_0010,0.0697777873030303,0.03793334561111111,-0.8793012307381591,0.007275201620384623,2.138154966409802
PP_0011,0.01417791290909091,0.06129585590740741,2.1121443663258854,1.748223923857616e-34,33.757402940885065
PP_0013,0.033452663151515155,0.04148734235185185,0.3105501744593072,0.009610337755856069,2.0172613487594613
PP_0018,0.0838138486969697,0.024094898333333333,-1.7984609286975033,7.314833347593682e-52,51.13579556387154
PP_0030,0.008073114181818183,,,,
PP_0052,0.006428562515151516,0.015113894833333332,1.2333074102286647,0.0001234307509643084,3.908576628711399
PP_0060,0.11217546366666667,0.1094520878888889,-0.035457671890377,0.3700625169751044,0.43172490165244104
PP_0061,0.06803186012121212,0.04202596337037037,-0.6949296446365016,4.383987684408232e-09,8.358130674551301
PP_0063,0.004430600515151515,0.006184648703703704,0.48118939835620916,0.0986543734123167,1.0058836574291654
PP_0065,0.02343082418181818,0.02177081748148148,-0.10601212115094172,0.6545150894486635,0.18408033660176903
PP_0066,0.004049689636363637,0.0025508554814814813,-0.6668301802360875,0.04286009005946902,1.3679469207349426
PP_0067,0.061467228181818184,0.01378697661111111,-2.1565113108319003,2.8178266057742666e-22,21.55008573460221
PP_0070,0.01629376127272727,,,,
PP_0072,0.07618184412121212,0.03876016212962963,-0.9748726059972125,1.99067420101966e-20,19.70099981193506
PP_0073,0.022535637303030303,0.02709737614814815,0.26594491175439455,0.0011272014297870393,2.94799846902199
PP_0074,0.023778886636363638,0.0072501114814814815,-1.7136060834495894,1.0928225453051154e-31,30.96145035392553
PP_0082,0.07098286112121213,0.061215681259259254,-0.21356945966271973,6.268470558387044e-05,4.202838409580556
