Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
atpD,-0.19831814021598249,-0.4271798604662203,-0.1571616947698542,-0.19121953292682353,0.1953670371092023,0.15930486285177256,,-0.15627205477068126,-0.3212478280028725,,-0.25667256244767545,,,,-0.260785359658853
atpF,0.10697656452712233,,,0.23076835817106078,0.5825825330995904,0.5912705751815635,0.44911678962264145,,,0.3737212072868129,,0.3934662936052552,,0.516882429092813,0.18129830413427747
fliI,1.1387711280424886,,1.1804662885484303,-2.00466346268481,,,1.5700041941771241,,,,,-1.7177223605914957,-1.8180348416278382,-1.8603361659817215,-2.495353481224379
nuoB,0.2832075009164462,0.3562236168506709,,0.2947284899430409,-0.3742026873868106,-0.25262358516370753,,,,,,-7.202450349175263,,0.2895432516399652,
nuoC,0.20202178542786023,,,,-0.6828812341980927,-0.23484472335807077,,,0.26530622528580183,0.5818845035562155,,-8.002694869564978,0.06883255987006989,0.2601900385733728,0.27489696386055457
nuoG,0.17580756787216079,,0.08832633401373359,,-0.5762561743471842,-0.5753180178936473,-0.382435021381769,-0.24725578821855768,,-1.0790714704757685,,-7.820566931737068,,-0.27561135269068304,
nuoH,0.8843291903193634,,0.88630630148686,,,-0.7486802737968794,-0.3497683751143501,,,,,-5.919801566043871,,,
nuoI,0.17060124202590032,,,,-0.6314987545417641,-0.5506219383301275,-0.3311330737262933,,,-0.3925874970381917,,-6.647691300530326,,,0.14965489758543918
atpA,,-0.2903648052581553,,0.2889077552188772,0.6578051571779112,0.6647207922930719,0.5550508554262087,0.35447749235831205,,0.43882268963592364,,0.30969691365744473,,0.5539290764336567,0.3449669538935723
cyoB,,-0.24223105591598423,,-0.1298981140631532,-3.8648264572987805,-4.436787216279758,-7.97839800551319,0.26499213552575646,0.257996828436299,,,,0.1447736853739511,-4.742766811487924,0.521048976992888
nuoE,,-0.5868924314185908,,,-0.46881977048945,-0.4578258539832073,-0.2626783393882792,-0.3413188042668475,,-1.4304642442027578,,-6.10810605260787,,,
petA,,0.77660357268539,0.24820787935317012,,,0.40040081118382714,0.6081997704354049,0.8988928837435759,-6.956784518141201,,,0.25712017389734143,-0.8910155535548987,1.3628283307523583,0.6831399004426959
petC,,0.531637924499935,,0.3239781438684618,0.4281720718766234,0.40147564027019533,0.6945404534047473,0.9354212449531991,-4.359719809581982,,,,-0.595605996600764,1.3260823304050648,0.7640774420244286
atpG,,,0.1389426065276995,0.23645559699807564,0.6896739769280082,0.6561095490536896,0.5228071394175704,0.17673073473337347,0.11600964970728805,,,0.38661963850866365,0.230904066047058,0.6254172660627062,0.25896322820956796
ccoN-I,,,-1.9857394763002372,-2.6012858249026687,1.3079862446236334,,1.5831436446408715,2.203967969156062,-2.1885118434137145,,,-2.644101665701674,-2.127068200277724,2.680152669463332,
cyoA,,,-0.20185920790122436,,-3.020402508100569,-3.159749023766969,-3.525572572393772,-1.1976939255782015,0.2889018669547253,,,,,-6.730275713925735,0.41097997772564415
atpH,,,,0.2258123227193179,0.7064093630431257,0.6398704103332727,0.4230612791735601,0.24292269376397638,,0.34180060046423855,,0.4601207676869939,,0.5300351183321571,
atpC,,,,,0.8942266986502566,0.7391192987729155,,,,,,0.5355913874241999,,,
ccoO-I,,,,,0.9575235948124354,0.946488278771952,1.4439744474510368,1.8192608823868197,,,,,-0.8642983136727345,2.2458967419470244,1.4471528814222259
nuoF,,,,,-0.7415962357034557,-0.3311652164919193,-0.7372272442063804,,,-0.5951305812074417,,-7.3562465944308695,,,
atpE,,,,,,-3.7467315517081374,-4.262214260413468,-2.800539595361103,,-4.184900590946234,,,-6.1365600499793125,-4.708977266459163,-7.573406520099878
