Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
PP_4379,0.23442097512829252,0.2291157700762321,,-0.21398661922370488
accC,0.4011679049956301,,0.8260468104305576,
accD,0.1772859768995494,0.41338420067054144,0.2217697700345691,
bioA,0.42633767669884065,1.5543660897607425,,
fabD,-0.4933855418673748,-0.2593490168041587,,
accA,,0.333605480063225,,
bioD,,0.25968819407321686,,0.29471637352761015
fabG,,0.3405517352595931,0.43210355247114557,
fabZ,,0.3218732509293083,0.18713060330213482,
PP_0581,,,1.264382163185174,0.4256992530187542
fabF,,,-0.7752162886339297,-0.21760838367939134
fabV,,,-0.2887190693794185,
