Protein.Group,PP_5417_log2_FC,PP_1770_log2_FC,PP_1240_log2_FC,PP_0548_log2_FC
PP_0763,0.32304533970033283,,0.9144223429837837,0.6029531433061267
PP_4379,0.23442097512829252,0.2291157700762321,,-0.21398661922370488
PP_4545,0.09412790625139451,,0.23672838863710735,
accD,0.1772859768995494,0.41338420067054144,0.2217697700345691,
bioA,0.42633767669884065,1.5543660897607425,,
fabD,-0.4933855418673748,-0.2593490168041587,,
fadA,0.7064934354378923,0.7642501004783894,0.9824996020599885,
fadBA,-0.49766679833728356,-1.5258105133543838,-0.9757052963227708,
PP_0368,,0.48821346435947494,0.5141575901702409,
PP_2213,,-3.6611483803642515,-3.548491262634717,
accA,,0.333605480063225,,
bioD,,0.25968819407321686,,0.29471637352761015
fabG,,0.3405517352595931,0.43210355247114557,
fabZ,,0.3218732509293083,0.18713060330213482,
fadB,,0.756980050864154,,
PP_0581,,,1.264382163185174,0.4256992530187542
fabF,,,-0.7752162886339297,-0.21760838367939134
fabV,,,-0.2887190693794185,
fadE,,,1.1663063091250263,
bktB,,,,0.6900161120232294
