Protein.Group,PP_0368_log2_FC,PP_0437_log2_FC,PP_0528_log2_FC,PP_0751_log2_FC,PP_0812_log2_FC,PP_0813_log2_FC,PP_0814_log2_FC,PP_0815_log2_FC,PP_1317_log2_FC,PP_1506_log2_FC,PP_2136_log2_FC,PP_4120_log2_FC,PP_4189_log2_FC,PP_4191_log2_FC,PP_4192_log2_FC
aceA,-3.3689248841834445,-2.528723563723342,0.5552924218058821,0.4290891872272095,0.6762059054777383,1.056459091756218,,-0.7464057854191614,-0.8956137012987618,-1.6193986403121519,-2.8699406322328556,0.6479220091135994,-2.0219891956876466,-2.776216481143956,
idh,0.6325530345613293,0.4444865480215206,,-0.30569738271024877,,-0.26839342554279144,,,0.26233840308722917,,0.5074296733628518,-0.4683357744175116,1.054641032668804,-0.3127768095434474,
lpdG,-0.2134768512413625,,,0.1523306933038396,-0.7203529147466408,-0.5260996317540272,-0.7882792626819177,-0.637924617775454,-0.47930152846267443,-0.7873393831856228,-0.2531014588338541,-0.5678963399714363,-2.5166047129587916,-0.38711295881336977,-0.7346878079816686
mqo2,0.5229136418263234,1.4047292417391415,,,,,,1.2524988996152082,,,-1.1369311847125172,,,0.9438094752966375,
sucB,0.30596907963800063,0.4662810649554453,-0.28667104509554364,,-0.9208709138261583,-0.9148979693279654,-0.9377071576781267,-0.5880770020616036,,-0.2927993564438007,,-0.29776376844118047,-3.087832921299664,-0.2914369390419137,-0.49571576249738497
sucC,-1.1997811039515838,0.15002105077044414,,,-1.5961631887724073,-1.485354902590602,-1.684811381039793,-1.0394793874600052,-0.12972444952940995,-1.0949198286114652,,-0.08461068521153918,-1.4522293163538664,-2.7756724926021055,-0.6566051462502984
sucD,-1.2198911065534812,,,,-1.191671799036021,-1.1739494813495184,-1.1868287529755652,-0.8248644786551964,,-0.8877059740900409,-0.17350456935413028,0.13536096746630275,-1.1415533978929788,-2.820372863824032,-0.5390729758826333
glcB,,0.388385696922101,0.2393081757957683,,0.2461195038917831,,0.4435949554686355,,,,,,,,
icd,,1.097073262097004,,-0.5714604610628989,-0.6247321340382882,-0.5897835174544899,,0.6748697089122435,0.531353459420993,,,-1.2965520991195627,,1.1750977666838227,
mqo1,,0.39663674177537667,,-4.2036776466364705,,,-0.4738927132529254,,0.5311143651266735,,,,,0.7537680529756764,0.6462534572425667
mqo3,,1.5605459496128444,1.5511297500363064,-4.193083452292365,-1.068923515490111,-2.8066634912544677,0.8297856663112195,,,,,-2.2911863800370957,-3.5774328676784966,,-4.396184467263962
sucA,,0.29052384281554217,-0.18836481240302325,,-0.6614384092770947,-0.5518005988305429,-0.773128550368412,,,,,,-2.754804671983996,-0.34316414265637524,-0.3592552389098409
