Protein.Group,PP_0812_PP_0813_log2_FC_x,PP_0812_PP_0813_log10_pval_x,PP_0812_PP_0813_log2_FC_y,PP_0812_PP_0813_log10_pval_y,PP_0812_PP_0814_log2_FC_x,PP_0812_PP_0814_log10_pval_x,PP_0812_PP_0813_PP_0814_log2_FC_x,PP_0812_PP_0813_PP_0814_log10_pval_x,PP_0813_PP_0814_log2_FC_x,PP_0813_PP_0814_log10_pval_x,PP_0812_log2_FC_x,PP_0812_log10_pval_x,PP_0813_log2_FC_x,PP_0813_log10_pval_x,PP_0814_log2_FC_x,PP_0814_log10_pval_x,PP_0812_PP_0813_log2_FC,PP_0812_PP_0813_log10_pval,PP_0812_PP_0814_log2_FC_y,PP_0812_PP_0814_log10_pval_y,PP_0812_PP_0813_PP_0814_log2_FC_y,PP_0812_PP_0813_PP_0814_log10_pval_y,PP_0813_PP_0814_log2_FC_y,PP_0813_PP_0814_log10_pval_y,PP_0812_log2_FC_y,PP_0812_log10_pval_y,PP_0813_log2_FC_y,PP_0813_log10_pval_y,PP_0814_log2_FC_y,PP_0814_log10_pval_y
PP_0002,-1.4295882898977268,8.099932735569956,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0004,3.0773399208225114,1.6159211378549185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0089,-2.084785049311393,1.6047408719285425,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0091,3.6204817508615625,1.3060565506738302,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0096,1.1436330341261445,9.359705029749229,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0111,1.208755527261185,4.534051596027576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0112,1.1100861033891116,1.8299913543199078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0120,-1.9262134382848046,1.7632450697115465,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0154,5.504595695182536,2.2490156878822525,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0155,3.619246808655809,2.6297697063091383,,,4.408070476513799,3.6178134857367423,,,3.859678809909122,3.1212021733047646,,,4.012281673368657,3.0535417191453953,,,,,4.408070476513799,3.6178134857367423,,,3.859678809909122,3.1212021733047646,,,4.012281673368657,3.0535417191453953,,
PP_0166,1.3655692873717176,2.8199392276504742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0173,1.850493543509276,2.509614816382169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0196,-2.33191016957021,1.8833339013007513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0215,-1.1839428618453531,3.4773473253457947,,,,,,,,,-2.414622275102301,5.0347628665331765,,,,,,,,,,,,,-2.414622275102301,5.0347628665331765,,,,
PP_0226,-2.229611364179816,2.4998603683807548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0227,1.9434803277941015,2.834153121068008,,,,,1.6864679432869032,3.078269903102588,,,,,,,,,,,,,1.6864679432869032,3.078269903102588,,,,,,,,
PP_0285,-1.7140741344812669,1.8533352271721726,,,,,,,1.639432178178116,3.1022350262460816,,,,,,,,,,,,,1.639432178178116,3.1022350262460816,,,,,,
PP_0293,-1.8601315053817655,1.5502781437037705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0321,2.0512999415667394,4.032108122849677,2.0512999415667394,4.032108122849677,,,,,,,,,,,,,2.0512999415667394,4.032108122849677,,,,,,,,,,,,
PP_0346,1.5908433330672924,2.384256714661259,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0359,1.2002707884177979,2.2973692306842595,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0370,1.3239204665140325,14.289639691635573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0375,-1.4020912704365165,2.2348872433072646,,,-3.657576076104224,8.439908084438828,-2.0395530393208343,5.688345782164223,-1.6645571878990282,4.574856217135631,,,,,,,,,-3.657576076104224,8.439908084438828,-2.0395530393208343,5.688345782164223,-1.6645571878990282,4.574856217135631,,,,,,
PP_0376,-1.304489321984879,3.370479014348127,,,-3.5256974023955636,5.463016720918478,,,,,,,,,,,,,-3.5256974023955636,5.463016720918478,,,,,,,,,,
PP_0378,-1.05136680805084,4.903982926212001,,,-1.7696518755266135,6.476531667113934,,,,,,,,,,,,,-1.7696518755266135,6.476531667113934,,,,,,,,,,
PP_0379,-1.2374740773355837,1.3604931725473264,,,-2.046034643965386,5.642299010372076,,,,,,,,,,,,,-2.046034643965386,5.642299010372076,,,,,,,,,,
PP_0382,1.1276023477194117,3.7940519198165887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0401,-1.1212243484252797,2.5503501757393976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0406,-1.7708286737309054,1.547308103482694,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0408,4.117593958534638,1.624137846432141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0427,3.1836923538556126,1.9519839887058965,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0430,-2.7280728891925228,5.314533350214791,-2.7280728891925228,5.314533350214791,-2.094167335555058,3.3923233331802254,,,,,,,,,,,-2.7280728891925228,5.314533350214791,-2.094167335555058,3.3923233331802254,,,,,,,,,,
PP_0440,1.6413571163514582,2.9482872708647205,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0449,-1.0229280853544362,4.308695069159701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0458,-1.227291827750307,2.045880755527943,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0463,-1.0878470057330674,3.9857784959879643,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0480,-1.030120066837451,9.573353995053314,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0504,2.4043083335786184,1.4086591386786875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0512,2.0416930210571502,2.70338911884186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0521,-1.8739983248353245,2.9341905551364658,,,,,,,,,-2.193289277212032,5.647432927978922,-1.6192494580931966,4.625073761487933,,,,,,,,,,,-2.193289277212032,5.647432927978922,-1.6192494580931966,4.625073761487933,,
PP_0536,2.183001642760057,3.8494447473625937,2.183001642760057,3.8494447473625937,,,,,,,,,,,,,2.183001642760057,3.8494447473625937,,,,,,,,,,,,
PP_0538,-1.1382423467974256,3.2561561686216676,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP_0578,-3.4916561039201626,5.030627956187473,-3.4916561039201626,5.030627956187473,,,,,-1.6171250735191551,3.2854691328044754,,,,,,,-3.4916561039201626,5.030627956187473,,,,,-1.6171250735191551,3.2854691328044754,,,,,,
PP_0599,1.5455846781082938,8.016296068224136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
