Protein.Group,PP_0368_log2_FC,PP_0368_log10_pval,PP_0437_log2_FC,PP_0437_log10_pval,PP_0528_log2_FC,PP_0528_log10_pval,PP_0812_log2_FC,PP_0812_log10_pval,PP_0813_log2_FC,PP_0813_log10_pval,PP_0814_log2_FC,PP_0814_log10_pval,PP_0815_log2_FC,PP_0815_log10_pval,PP_1317_log2_FC,PP_1317_log10_pval,PP_1506_log2_FC,PP_1506_log10_pval,PP_2136_log2_FC,PP_2136_log10_pval,PP_4120_log2_FC,PP_4120_log10_pval,PP_4189_log2_FC,PP_4189_log10_pval,PP_4191_log2_FC,PP_4191_log10_pval,PP_4192_log2_FC,PP_4192_log10_pval
PP_1025,,,0.3381965887684944,1.5555027662944667,,,-0.2752444859533018,2.8645970333159863,-0.13995118035591864,1.437668120623815,-0.49041110038379954,10.377390414403196,,,,,-0.8999793982805793,6.291281916410814,,,-0.29014457918124864,1.9377305799579303,-0.7554590680790249,5.11126749467381,-0.16556142973033433,2.1353363554183336,,
PP_4678,,,-0.2567623559882938,3.573652306125565,-0.3514991344570194,3.3246753064102452,-0.5304861938185422,8.54112407276873,-0.43741964759785573,6.202552831561531,-0.8076556422999793,10.555033712351014,-0.8939092343233557,4.511891259230725,-0.3289349208753733,3.5655693797215307,-1.2478651586184495,3.584588190128411,,,-0.38129538022266785,1.7809249949215478,,,-0.4826564257480293,7.278903954751005,-0.2253911440357217,3.964133973208749
PP_5149,,,0.29695208679971286,1.5137659928534062,,,,,,,,,,,0.7065762804218656,1.4137265117312268,,,,,,,0.36294428807345225,2.230396031395785,,,,
PP_3511,,,,,0.28379072428264845,6.860950272030104,0.3344016033690655,2.773836020855841,0.21840908263202571,2.461042563378225,0.34100270032694585,4.932724957981452,,,0.17111015876014524,1.6405330550625647,,,,,,,,,,,,
PP_1985,,,,,,,-0.20345683253462,3.163243556905565,,,,,,,,,,,,,0.3366504220638432,3.2389164759145115,,,,,,
PP_1988,,,,,,,-0.17812697238831898,2.4698331932172177,-0.20273014538700135,1.8051555190243695,,,-0.28275786464417724,2.81943419819458,-0.2690793341100967,1.5739576815914018,,,,,0.27325689000661746,1.327749947884298,,,,,-0.626327910726271,1.7626371938243917
PP_4679,,,,,,,-1.1672734671147242,3.830451490961041,-1.3863183585231462,9.647492397599061,-1.4786864305059144,2.2046324568158293,-1.479584965962292,6.101609044759872,-0.519083871811201,3.5008991676666943,-1.8211470234864073,1.6159453029235662,,,-0.8605701902520112,2.580846600791477,-1.4785688867403866,2.0532768921110724,-1.5782572847697556,3.3418953370454814,-1.6707805706025045,14.202078568601978
PP_4680,,,,,,,-0.6536643828168832,2.7784753260136132,-0.9080699918033338,6.277150463985736,-1.0960355002526736,11.494331685683319,-0.8077309842013087,1.993266878187193,,,-2.072436035347223,14.346717241929566,,,-0.9475075830903709,6.45440930879573,-1.2168624415818485,4.252856638294229,-1.0326000073544037,2.356470987439112,-0.894622705925517,4.436786315579391
PP_1986,,,,,,,,,-0.1666904824008962,2.8474253828083436,,,-0.3027730202343867,2.5667219046988143,-0.3030226221523905,1.6116347268307447,,,,,0.38767539016092695,1.5111794164952772,,,,,,
PP_5128,,,,,,,,,,,-0.14776351210416117,1.9247024364899836,-0.31112986568161877,3.4414450664905507,0.3735271834991561,2.759096136522021,,,,,,,,,-0.2713066319308167,4.3058538698467,,
