Strain,Type,Time,Titer
Control,Aqueous,0,0.4261
Strain_1,Aqueous,0,0.3883
Strain_2,Aqueous,0,0.3924
Strain_3,Aqueous,0,0.3163
Strain_5_FB,Aqueous,0,0.3211
Strain_5,Aqueous,0,0.2913
Control,Aqueous,0,0.2272
Strain_1,Aqueous,0,0.3956
Strain_2,Aqueous,0,0.33
Strain_3,Aqueous,0,0.234
Strain_5_FB,Aqueous,0,0.365
Strain_5,Aqueous,0,0.378
Control,Aqueous,6,3.4078
Strain_1,Aqueous,6,2.5569
Strain_2,Aqueous,6,3.8783
Strain_3,Aqueous,6,3.4393
Strain_5_FB,Aqueous,6,2.4053
Strain_5,Aqueous,6,4.026
Control,Aqueous,6,3.719
Strain_1,Aqueous,6,2.6053
Strain_2,Aqueous,6,3.6079
Strain_3,Aqueous,6,3.0589
Strain_5_FB,Aqueous,6,3.6285
Strain_5,Aqueous,24,4.1893
Control,Aqueous,24,111.798
Strain_1,Aqueous,24,78.2751
Strain_2,Aqueous,24,129.9733
Strain_3,Aqueous,24,120.7919
Strain_5_FB,Aqueous,24,42.1002
Strain_5,Aqueous,24,104.0441
Control,Aqueous,24,99.6015
Strain_1,Aqueous,24,75.8101
Strain_2,Aqueous,24,88.6545
Strain_3,Aqueous,24,89.2236
Strain_5_FB,Aqueous,24,76.3047
Strain_5,Aqueous,30,82.0372
Control,Aqueous,30,128.8766
Strain_1,Aqueous,30,138.9214
Strain_2,Aqueous,30,136.2753
Strain_3,Aqueous,30,137.5419
Strain_5_FB,Aqueous,30,82.2212
Strain_5,Aqueous,30,153.1052
Control,Aqueous,30,103.5262
Strain_1,Aqueous,30,135.8652
Strain_2,Aqueous,30,116.132
Strain_3,Aqueous,30,128.1026
Strain_5_FB,Aqueous,30,132.7268
Strain_5,Aqueous,48,141.381
Control,Aqueous,48,135.4507
Strain_1,Aqueous,48,229.1915
Strain_2,Aqueous,48,164.395
Strain_3,Aqueous,48,171.6056
Strain_5_FB,Aqueous,48,374.5602
Strain_5,Aqueous,48,235.4393
Control,Aqueous,48,109.9878
Strain_1,Aqueous,48,216.7085
Strain_2,Aqueous,48,162.963
Strain_3,Aqueous,48,189.4469
Strain_5_FB,Aqueous,48,454.4365
Strain_5,Aqueous,54,242.3579
Control,Aqueous,54,138.7656
Strain_1,Aqueous,54,240.7065
Strain_2,Aqueous,54,179.3377
Strain_3,Aqueous,54,186.9172
Strain_5_FB,Aqueous,54,429.3661
Strain_5,Aqueous,54,267.8095
Control,Aqueous,54,121.9684
Strain_1,Aqueous,54,238.7184
Strain_2,Aqueous,54,179.2757
Strain_3,Aqueous,54,190.9475
Strain_5_FB,Aqueous,54,460.4922
Strain_5,Aqueous,72,243.3304
Control,Aqueous,72,139.2978
Strain_1,Aqueous,72,228.1211
Strain_2,Aqueous,72,174.4993
Strain_3,Aqueous,72,184.8316
Strain_5_FB,Aqueous,72,219.2126
Strain_5,Aqueous,72,263.6723
Control,Aqueous,72,124.4567
Strain_1,Aqueous,72,222.7858
Strain_2,Aqueous,72,179.5863
Strain_3,Aqueous,72,196.5928
Strain_5_FB,Aqueous,72,220.8299
Strain_5,Aqueous,72,263.4359
Control,Organic,48,38.76
Strain_1,Organic,48,50.73
Strain_2,Organic,48,42.92
Strain_3,Organic,48,43.36
Strain_5_FB,Organic,48,53.92
Strain_5,Organic,48,58.88
Control,Organic,48,40.38
Strain_1,Organic,48,44.2
Strain_2,Organic,48,43.89
Strain_3,Organic,48,43.47
Strain_5_FB,Organic,48,59.29
Strain_5,Organic,48,67.69
Control,Organic,72,90.3
Strain_1,Organic,72,108
Strain_2,Organic,72,91.05
Strain_3,Organic,72,100.78
Strain_5_FB,Organic,72,214.18
Strain_5,Organic,72,138.35
Control,Organic,72,80.8
Strain_1,Organic,72,106.69
Strain_2,Organic,72,89.84
Strain_3,Organic,72,118.58
Strain_5_FB,Organic,72,294.46
Strain_5,Organic,72,153.4
