Strain,Type,Titer
Control,Non-Target,210.568
?PP_0368,Non-Target,182.4908
?PP_0751,Non-Target,104.5402
?PP_0812,Non-Target,271.1084
?PP_0813,Non-Target,467.9667
?PP_0814,Non-Target,300.6
?PP_0815,Non-Target,254.3022
?PP_1317,Non-Target,255.1032
Control,Non-Target,227.7101
?PP_0368,Non-Target,204.6302
?PP_0751,Non-Target,312.0283
?PP_0812,Non-Target,301.2882
?PP_0813,Non-Target,519.7242
?PP_0814,Non-Target,389.3863
?PP_0815,Non-Target,227.8252
?PP_1317,Non-Target,204.8562
Control,Non-Target,216.9007
?PP_0368,Non-Target,197.1067
?PP_0751,Non-Target,120.1894
?PP_0812,Non-Target,241.486
?PP_0813,Non-Target,525.5313
?PP_0814,Non-Target,314.0237
?PP_0815,Non-Target,227.4597
?PP_1317,Non-Target,217.4319
Control,Target,213.6481
?PP_0368,Target,294.6134
?PP_0751,Target,150.9114
?PP_0812,Target,279.7719
?PP_0813,Target,440.7988
?PP_0814,Target,9.447
?PP_0815,Target,587.4626
?PP_1317,Target,383.3879
Control,Target,218.6709
?PP_0368,Target,276.1064
?PP_0751,Target,357.4545
?PP_0812,Target,337.1268
?PP_0813,Target,508.5971
?PP_0814,Target,6.4781
?PP_0815,Target,515.6529
?PP_1317,Target,338.3292
Control,Target,255.8172
?PP_0368,Target,278.998
?PP_0751,Target,449.5876
?PP_0812,Target,362.2989
?PP_0813,Target,554.4844
?PP_0814,Target,8.7944
?PP_0815,Target,609.4419
?PP_1317,Target,402.3302
?PP_0751 ?PP_0812,Non-Target,380.0222
?PP_1317 ?PP_0812,Non-Target,326.9797
?PP_0813-15 ?PP_1317,Non-Target,367.5621
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Non-Target,8.2758
?PP_0751 ?PP_0812,Non-Target,381.5086
?PP_1317 ?PP_0812,Non-Target,345.9928
?PP_0813-15 ?PP_1317,Non-Target,408.3648
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Non-Target,8.9581
?PP_0751 ?PP_0812,Non-Target,414.4412
?PP_1317 ?PP_0812,Non-Target,391.9309
?PP_0813-15 ?PP_1317,Non-Target,404.0003
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Non-Target,11.5739
?PP_0751 ?PP_0812,Target,310.2663
?PP_1317 ?PP_0812,Target,363.8357
?PP_0813-15 ?PP_1317,Target,287.9086
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Target,4.8139
Control,Non-Target,157.5354
?PP_0751 ?PP_0812,Target,315.2779
?PP_1317 ?PP_0812,Target,357.1102
?PP_0813-15 ?PP_1317,Target,337.8964
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Target,7.3206
Control,Non-Target,152.7631
?PP_0751 ?PP_0812,Target,335.6701
?PP_1317 ?PP_0812,Target,345.8313
?PP_0813-15 ?PP_1317,Target,347.9492
IY1449 ?PP_0812-0815 ?PP_1317 ?PP_0368  ?PP_0751,Target,8.2999
Control,Non-Target,164.3926
?PP_1317,Non-Target,98.6023
?PP_2136,Non-Target,332.0178
?PP_4189,Non-Target,312.9791
?PP_4191,Non-Target,8.1263
?PP_0812-15 ?PP_1317 ?PP_0368,Non-Target,224.4257
?PP_0812-0815 ?PP_0751 ?PP_0368,Non-Target,229.0386
Control,Non-Target,157.1542
?PP_1317,Non-Target,115.7348
?PP_2136,Non-Target,308.0843
?PP_4189,Non-Target,325.632
?PP_4191,Non-Target,6.8766
?PP_0812-15 ?PP_1317 ?PP_0368,Non-Target,198.4902
?PP_0812-0815 ?PP_0751 ?PP_0368,Non-Target,215.8144
Control,Non-Target,158.1055
?PP_1317,Non-Target,101.8542
?PP_2136,Non-Target,297.0437
?PP_4189,Non-Target,313.1991
?PP_4191,Non-Target,11.3554
?PP_0812-15 ?PP_1317 ?PP_0368,Non-Target,205.2324
?PP_0812-0815 ?PP_0751 ?PP_0368,Non-Target,200.1448
Control,Non-Target,153.7041
?PP_1317,Target,146.4483
?PP_2136,Target,315.2101
?PP_4189,Target,6.728
?PP_4191,Target,7.3117
?PP_0812-15 ?PP_1317 ?PP_0368,Target,293.0915
?PP_0812-0815 ?PP_0751 ?PP_0368,Target,378.656
?PP_1317,Target,132.9527
?PP_2136,Target,354.6784
?PP_4189,Target,6.1987
?PP_4191,Target,5.9466
?PP_0812-15 ?PP_1317 ?PP_0368,Target,302.839
?PP_0812-0815 ?PP_0751 ?PP_0368,Target,402.7917
?PP_1317,Target,152.9362
?PP_2136,Target,351.6181
?PP_4189,Target,5.6419
?PP_4191,Target,5.4266
?PP_0812-15 ?PP_1317 ?PP_0368,Target,366.3893
?PP_0812-0815 ?PP_0751 ?PP_0368,Target,397.0035
