Strain,Titer
Control,209.507
Control,234.2461
Control,203.9889
Control,180.3052
Control,194.5483
Control,237.8756
ΔPP_0368,171.8878
ΔPP_0368,156.5999
ΔPP_0368,167.8015
ΔPP_0751,393.2613
ΔPP_0751,374.2296
ΔPP_0751,317.7946
ΔPP_0812,315.9944
ΔPP_0812,278.1398
ΔPP_0812,328.1203
ΔPP_0813,229.8952
ΔPP_0813,258.5412
ΔPP_0813,254.5392
ΔPP_0814,324.4378
ΔPP_0814,321.0776
ΔPP_0814,336.7005
ΔPP_0815,269.6158
ΔPP_0815,249.9184
ΔPP_0815,266.1542
ΔPP_0812-15,313.4688
ΔPP_0812-15,319.7392
ΔPP_0812-15,321.0467
ΔPP_1317,151.6851
ΔPP_1317,163.0706
ΔPP_1317,161.7443
ΔPP_2136,209.0272
ΔPP_2136,303.5279
ΔPP_2136,210.4441
ΔPP_4120,158.4718
ΔPP_4120,167.6894
ΔPP_4120,198.5926
ΔPP_4189,297.8831
ΔPP_4189,278.5232
ΔPP_4189,327.0474
ΔPP_4191,7.3117
ΔPP_4191,5.9466
ΔPP_4191,5.4266
ΔPP_0751 ΔPP_0812,273.6245
ΔPP_0751 ΔPP_0812,271.0768
ΔPP_0751 ΔPP_0812,269.5798
ΔPP_1317 ΔPP_0812,398.2392
ΔPP_1317 ΔPP_0812,381.9921
ΔPP_1317 ΔPP_0812,402.9186
ΔPP_0813-15 ΔPP_1317,382.8219
ΔPP_0813-15 ΔPP_1317,371.289
ΔPP_0813-15 ΔPP_1317,379.2705
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,316.3014
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,299.7072
ΔPP_0812-15 ΔPP_1317 ΔPP_0368,311.8296
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,260.2304
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,245.9487
ΔPP_0812-0815 ΔPP_0751 ΔPP_0368,306.1252
ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,354.9824
ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,384.33
ΔPP_0812-0815 ΔPP_1317 ΔPP_0368  ΔPP_0751,419.8247
ΔPP_0812-15 ΔPP_0368,525.4467
ΔPP_0812-15 ΔPP_0368,568.4124
ΔPP_0812-15 ΔPP_0368,496.4205
