Strain,Type,Titer
Control,KO,209.507
Control,KO,234.2461
Control,KO,203.9889
Control,KO,180.3052
Control,KO,194.5483
Control,KO,237.8756
PP_0368,KO,171.8878
PP_0368,KO,156.5999
PP_0368,KO,167.8015
PP_0751,KO,393.2613
PP_0751,KO,374.2296
PP_0751,KO,317.7946
PP_0812,KO,315.9944
PP_0812,KO,278.1398
PP_0812,KO,328.1203
PP_0813,KO,229.8952
PP_0813,KO,258.5412
PP_0813,KO,254.5392
PP_0814,KO,324.4378
PP_0814,KO,321.0776
PP_0814,KO,336.7005
PP_0815,KO,269.6158
PP_0815,KO,249.9184
PP_0815,KO,266.1542
PP_0812-15,KO,313.4688
PP_0812-15,KO,319.7392
PP_0812-15,KO,321.0467
PP_1317,KO,151.6851
PP_1317,KO,163.0706
PP_1317,KO,161.7443
PP_2136,KO,209.0272
PP_2136,KO,303.5279
PP_2136,KO,210.4441
PP_4120,KO,158.4718
PP_4120,KO,167.6894
PP_4120,KO,198.5926
PP_4189,KO,297.8831
PP_4189,KO,278.5232
PP_4189,KO,327.0474
PP_4191,KO,79.6276
PP_4191,KO,81.431
PP_4191,KO,80.0977
PP_0751 PP_0812,KO,273.6245
PP_0751 PP_0812,KO,271.0768
PP_0751 PP_0812,KO,269.5798
PP_1317 PP_0812,KO,398.2392
PP_1317 PP_0812,KO,381.9921
PP_1317 PP_0812,KO,402.9186
PP_0813-15 PP_1317,KO,382.8219
PP_0813-15 PP_1317,KO,371.289
PP_0813-15 PP_1317,KO,379.2705
PP_0812-15 PP_1317 PP_0368,KO,316.3014
PP_0812-15 PP_1317 PP_0368,KO,299.7072
PP_0812-15 PP_1317 PP_0368,KO,311.8296
PP_0812-0815 PP_0751 PP_0368,KO,260.2304
PP_0812-0815 PP_0751 PP_0368,KO,245.9487
PP_0812-0815 PP_0751 PP_0368,KO,306.1252
PP_0812-0815 PP_1317 PP_0368  PP_0751,KO,354.9824
PP_0812-0815 PP_1317 PP_0368  PP_0751,KO,384.33
PP_0812-0815 PP_1317 PP_0368  PP_0751,KO,419.8247
PP_0812-15 PP_0368,KO,525.4467
PP_0812-15 PP_0368,KO,568.4124
PP_0812-15 PP_0368,KO,496.4205
PP_0368,CRISPRi,227.0476
PP_0368,CRISPRi,246.3242
PP_0368,CRISPRi,236.6698
PP_0751,CRISPRi,212.71467
PP_0751,CRISPRi,214.10044
PP_0751,CRISPRi,206.26133
PP_0812,CRISPRi,224.54833
