Line Name,Measurement Type,Time,Value,Units
PP_0226_PP_0897_PP_5288-R1,Optical Density,0.01138888888888889,3.65,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,0.17777777777777778,3.82,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,0.34444444444444444,3.7,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,0.5111111111111111,3.6,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,0.6777777777777778,3.65,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,0.8444444444444444,3.6,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,1.011111111111111,3.56,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,1.1777777777777778,3.64,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,1.3444444444444446,3.4,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,1.511111111111111,3.4,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,1.6777777777777778,3.51,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,1.8444444444444446,3.52,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,2.011111111111111,3.4,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,2.1777777777777776,3.41,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,2.3444444444444446,3.46,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,2.511111111111111,3.5,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,2.6777777777777776,3.45,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,2.8444444444444446,3.43,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,3.011111111111111,3.5,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,3.1777777777777776,3.51,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,3.3444444444444446,3.49,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,3.511111111111111,3.59,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,3.6777777777777776,3.63,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,3.8444444444444446,3.62,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,4.011111111111111,3.55,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,4.177777777777778,3.61,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,4.344444444444444,3.61,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,4.511111111111111,3.71,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,4.677777777777778,3.78,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,4.844444444444444,3.76,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,5.011111111111111,3.77,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,5.177777777777778,3.73,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,5.344444444444444,3.9,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,5.511111111111111,3.95,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,5.677777777777778,4.02,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,5.844444444444444,3.88,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,6.011111111111111,4.05,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,6.177777777777778,4.12,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,6.344444444444444,4.07,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,6.511111111111111,4.08,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,6.677777777777778,4.22,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,6.844444444444444,4.33,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,7.011111111111111,4.48,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,7.177777777777778,4.47,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,7.344444444444444,4.53,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,7.511111111111111,4.45,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,7.677777777777778,4.71,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,8.063611111111111,4.75,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,8.230277777777777,4.94,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,8.396944444444445,5.13,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,8.563611111111111,5.31,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,8.730277777777777,5.2,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,8.896944444444445,5.55,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,9.063611111111111,5.65,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,9.230277777777777,5.63,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,9.396944444444445,5.98,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,9.563611111111111,6.25,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,9.730277777777777,6.27,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,9.896944444444445,6.4,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,10.063611111111111,6.45,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,10.230277777777777,6.36,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,10.396944444444445,6.64,n/a
PP_0226_PP_0897_PP_5288-R1,Optical Density,10.563611111111111,6.49,n/a
