strain,value
PP_0751_PP_0813_PP_0815,818.6499
PP_0751_PP_0813_PP_0815,773.4597
PP_0528_PP_0751_PP_0812_PP_0815,762.3653
PP_0528_PP_0751_PP_0812_PP_0815,748.9053
PP_0528_PP_0751_PP_0815,748.225
PP_0528_PP_0751_PP_0815,746.4432
PP_0528_PP_0751_PP_0815,736.2201
PP_0528_PP_0751_PP_0813_PP_0815,724.6307
PP_0368_PP_0751_PP_0815,722.3746
PP_0751_PP_0813_PP_0815,721.3627
PP_0528_PP_0751_PP_0813_PP_0815,719.4565
PP_0528_PP_0751_PP_0813_PP_0815,714.812
PP_0368_PP_0812_PP_0815,713.6108
PP_0528_PP_0751_PP_0812_PP_0815,706.0525
PP_0368_PP_0751_PP_0814_PP_0815,704.5033
PP_0368_PP_0751_PP_0813_PP_0815,703.8658
PP_0368_PP_0751_PP_0813_PP_0815,691.0291
PP_0368_PP_0814_PP_0815,680.3604
PP_0368_PP_0814_PP_0815,676.6958
PP_0368_PP_0751_PP_0815,673.4893
PP_0368_PP_0751_PP_0812_PP_0815,672.8971
PP_0368_PP_0812_PP_0815,664.3135
PP_0528_PP_0813_PP_0815,661.7207
PP_0368_PP_0812_PP_0815,661.5642
PP_0812_PP_0813_PP_0815,660.8518
PP_0368_PP_0814_PP_0815,659.0132
PP_0751_PP_0815,658.5824
PP_0368_PP_0751_PP_0812_PP_0815,657.2571
PP_0368_PP_0751_PP_0814_PP_0815,656.3714
PP_0528_PP_0813_PP_0815,652.3416
PP_0814_PP_0815,648.9361
PP_0368_PP_0751_PP_0815,648.4851
PP_0368_PP_0751_PP_0813_PP_0815,647.5868
PP_0528_PP_0812_PP_0815,645.0948
PP_0812_PP_0813_PP_0815,641.6425
PP_0368_PP_0813_PP_0814_PP_0815,639.6017
PP_0528_PP_0812_PP_0815,637.3932
PP_0812_PP_0813_PP_0815,631.0712
PP_0751_PP_0815,630.8271
PP_0368_PP_0812_PP_0813_PP_0815,628.5783
PP_0368_PP_0813_PP_0814_PP_0815,627.1498
PP_0814_PP_0815,625.5433
PP_0368_PP_0751_PP_0812_PP_0815,622.206
PP_0813_PP_0814_PP_0815,619.0211
PP_0437_PP_0815_PP_1317,618.2326
PP_0751_PP_0815,614.5642
PP_0813_PP_0814_PP_0815,614.2366
PP_0528_PP_0812_PP_0815,613.9505
PP_0528_PP_0813_PP_0815,613.9456
PP_0812_PP_0813_PP_0815_PP_1506,611.1875
PP_0812_PP_0813_PP_0815_PP_1506,606.8789
PP_0368_PP_0813_PP_0814_PP_0815,605.2812
PP_0815_PP_2136,603.5013
PP_0813_PP_0814_PP_0815,600.8576
PP_0368_PP_0815,599.5551
PP_0368_PP_0815,596.7597
PP_0528_PP_0815,594.7115
PP_0368_PP_0812_PP_0815_PP_2136,594.634
PP_0814_PP_0815,590.8884
PP_0368_PP_0751_PP_0814_PP_0815,584.5668
PP_0812_PP_0813_PP_0815_PP_1506,584.029
PP_0368_PP_0815,578.1195
PP_0368_PP_0812_PP_0813_PP_0815,577.7701
PP_0368_PP_0751_PP_0812,576.6218
PP_0437_PP_0815_PP_1317,575.3111
PP_0437_PP_0815_PP_1317,574.7462
PP_0528_PP_0815,573.7308
PP_0815_PP_2136,571.5046
PP_0528_PP_0815,570.1604
PP_0368_PP_0812_PP_0815_PP_2136,569.5938
PP_0751_PP_0812_PP_0815,565.9666
PP_0813_PP_0815,562.1718
PP_0368_PP_0751_PP_0812,561.7775
PP_0368_PP_0751_PP_0812,560.4283
PP_0368_PP_0812_PP_0813_PP_0815,560.0963
PP_0815_PP_2136,558.6375
PP_0815_PP_1317_PP_1506,557.6157
PP_0812_PP_0815_PP_1506,557.0017
PP_0812_PP_0815_PP_1506,552.4389
PP_0815_PP_4189,552.4192
PP_0368_PP_0813_PP_0815,550.8589
PP_0812_PP_0814_PP_0815,549.6663
