"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Amino acid metabolism","ppu00220","Arginine biosynthesis - Pseudomonas putida KT2440","13/157","31/1824",0.419354838709677,4.8719950688309,6.67115234215306,4.61994645367497e-07,3.88075502108697e-05,3.2582780252234e-05,"PP_2845/PP_2453/PP_0999/PP_1000/PP_1001/PP_5186/PP_2843/PP_2080/PP_2844/PP_1346/PP_1872/PP_5046/PP_0432",13
"Metabolism","Global and overview maps","ppu01110","Biosynthesis of secondary metabolites - Pseudomonas putida KT2440","57/157","387/1824",0.147286821705426,1.71115390312546,4.83577468077576,3.76499805071206e-06,0.000158129918129906,0.000132765720735636,"PP_2793/PP_0581/PP_2453/PP_1251/PP_4011/PP_2925/PP_0999/PP_1444/PP_3668/PP_1000/PP_1001/PP_5041/PP_5186/PP_1616/PP_4699/PP_3768/PP_3754/PP_2324/PP_3839/PP_1358/PP_1755/PP_3590/PP_3999/PP_0515/PP_4700/PP_1346/PP_3578/PP_0398/PP_0691/PP_1972/PP_0228/PP_5150/PP_2168/PP_5231/PP_0967/PP_4890/PP_2339/PP_4248/PP_2137/PP_4680/PP_3511/PP_1872/PP_1237/PP_1457/PP_4571/PP_2913/PP_1362/PP_5095/PP_2217/PP_1037/PP_4725/PP_1303/PP_4012/PP_5046/PP_0432/PP_0838/PP_0338",57
"Metabolism","Global and overview maps","ppu01230","Biosynthesis of amino acids - Pseudomonas putida KT2440","27/157","149/1824",0.181208053691275,2.10524515880819,4.3193630662497,8.14982539114083e-05,0.00228195110951943,0.00191592386388223,"PP_2112/PP_4011/PP_1000/PP_5186/PP_3768/PP_2324/PP_3590/PP_1346/PP_0691/PP_1972/PP_0228/PP_5150/PP_2168/PP_0967/PP_4890/PP_2339/PP_4680/PP_3511/PP_1872/PP_1237/PP_4571/PP_1362/PP_5095/PP_4725/PP_4012/PP_5046/PP_0432",27
"Metabolism","Amino acid metabolism","ppu00350","Tyrosine metabolism - Pseudomonas putida KT2440","7/157","16/1824",0.4375,5.0828025477707,5.03262436629952,0.000180535214158878,0.00353834507193195,0.00297079097518096,"PP_2488/PP_1616/PP_3839/PP_3590/PP_1972/PP_0967/PP_0213",7
"Metabolism","Global and overview maps","ppu01120","Microbial metabolism in diverse environments - Pseudomonas putida KT2440","45/157","320/1824",0.140625,1.63375796178344,3.83045054902992,0.000210615778091188,0.00353834507193195,0.00297079097518096,"PP_2845/PP_2112/PP_1251/PP_2209/PP_4011/PP_2925/PP_0999/PP_2488/PP_1505/PP_2843/PP_1616/PP_1379/PP_3754/PP_3755/PP_2080/PP_2844/PP_3839/PP_1755/PP_3999/PP_2338/PP_3383/PP_3578/PP_0398/PP_3384/PP_0228/PP_5150/PP_2168/PP_3443/PP_2339/PP_2137/PP_0774/PP_1237/PP_5118/PP_5085/PP_0490/PP_4571/PP_2913/PP_1362/PP_2217/PP_4725/PP_1303/PP_4012/PP_5046/PP_0213/PP_0338",45
"Metabolism","Global and overview maps","ppu01210","2-Oxocarboxylic acid metabolism - Pseudomonas putida KT2440","11/157","42/1824",0.261904761904762,3.04276615104641,4.10927124254594,0.000552326208863864,0.0077325669240941,0.00649225543752261,"PP_2112/PP_4011/PP_5186/PP_1346/PP_2339/PP_4680/PP_3511/PP_1872/PP_4012/PP_0432/PP_0338",11
"Metabolism","Global and overview maps","ppu01200","Carbon metabolism - Pseudomonas putida KT2440","23/157","134/1824",0.171641791044776,1.994105903603,3.66789639924356,0.000672853690403997,0.00807424428484796,0.00677912740707786,"PP_2112/PP_1251/PP_4011/PP_2925/PP_0999/PP_1505/PP_1616/PP_3754/PP_3755/PP_1755/PP_2338/PP_0228/PP_5150/PP_2168/PP_3443/PP_2339/PP_0774/PP_5085/PP_0490/PP_4571/PP_1362/PP_4012/PP_0338",23
"Metabolism","Carbohydrate metabolism","ppu00620","Pyruvate metabolism - Pseudomonas putida KT2440","12/157","54/1824",0.222222222222222,2.58174097664544,3.62010338021168,0.00152815290989614,0.0160456055539095,0.0134718743372423,"PP_1389/PP_1251/PP_2925/PP_1505/PP_1616/PP_3754/PP_3839/PP_1755/PP_0774/PP_5085/PP_1362/PP_0338",12
"Metabolism","Lipid metabolism","ppu00071","Fatty acid degradation - Pseudomonas putida KT2440","7/157","22/1824",0.318181818181818,3.69658367110596,3.90412045008819,0.00172428588222013,0.0160933349007212,0.0135119478489764,"PP_2793/PP_1893/PP_1616/PP_3754/PP_3839/PP_2137/PP_2217",7
"Metabolism","Carbohydrate metabolism","ppu00020","Citrate cycle (TCA cycle) - Pseudomonas putida KT2440","8/157","30/1824",0.266666666666667,3.09808917197452,3.55507453953231,0.00285424880113337,0.0239756899295203,0.0201299652290459,"PP_2112/PP_1251/PP_4011/PP_2925/PP_1755/PP_2339/PP_4012/PP_0338",8
"Metabolism","Metabolism of other amino acids","ppu00480","Glutathione metabolism - Pseudomonas putida KT2440","8/157","31/1824",0.258064516129032,2.99815081158825,3.44266152971284,0.00357054312430376,0.0272659656765015,0.0228924774476892,"PP_4011/PP_1686/PP_1894/PP_1347/PP_1821/PP_4012/PP_0777/PP_0980",8
