Strain,Type,Titer
PP_0368,CRISPRi,246.3242
PP_0368,CRISPRi,236.6698
PP_0368,CRISPRi,227.0476
PP_0751,CRISPRi,214.10044
PP_0751,CRISPRi,212.71467
PP_0751,CRISPRi,206.26133
PP_0812,CRISPRi,252.7312
PP_0812,CRISPRi,249.00007
PP_0812,CRISPRi,231.1432
PP_0813,CRISPRi,222.43527
PP_0813,CRISPRi,216.197
PP_0813,CRISPRi,197.1834
PP_0814,CRISPRi,345.55767
PP_0814,CRISPRi,306.44507
PP_0814,CRISPRi,285.185
PP_0815,CRISPRi,272.805
PP_0815,CRISPRi,255.54267
PP_0815,CRISPRi,248.58573
PP_1317,CRISPRi,153.2682
PP_1317,CRISPRi,152.23527
PP_1317,CRISPRi,150.87167
PP_2136,CRISPRi,235.8306
PP_2136,CRISPRi,234.2294
PP_2136,CRISPRi,232.3398
PP_4120,CRISPRi,164.54044
PP_4120,CRISPRi,162.44
PP_4120,CRISPRi,159.00889
PP_4189,CRISPRi,321.20247
PP_4189,CRISPRi,283.2782
PP_4189,CRISPRi,269.70547
PP_4191,CRISPRi,367.47564
PP_4191,CRISPRi,358.72587
PP_4191,CRISPRi,349.11636
PP_0368,Target,228.226
PP_0368,Target,222.429
PP_0368,Target,224.9668
PP_0751,Target,287.4712
PP_0751,Target,314.1185
PP_0751,Target,220.3692
PP_0812,Target,325.5487
PP_0812,Target,329.0498
PP_0812,Target,334.7021
PP_0812-15,Target,510.9244
PP_0812-15,Target,538.4633
PP_0812-15,Target,589.4584
PP_0813,Target,399.4451
PP_0813,Target,392.9578
PP_0813,Target,402.9973
PP_0814,Target,304.035
PP_0814,Target,287.5533
PP_0814,Target,297.3073
PP_0815,Target,422.4448
PP_0815,Target,495.3173
PP_0815,Target,464.3335
PP_1317,Target,135.4253
PP_1317,Target,116.9002
PP_1317,Target,140.1178
PP_2136,Target,315.2101
PP_2136,Target,354.6784
PP_2136,Target,351.6181
PP_4120,Target,206.0419
PP_4120,Target,206.8461
PP_4120,Target,230.9106
PP_4189,Target,305.9202
PP_4189,Target,313.085
PP_4189,Target,328.6474
PP_4191,Target,7.3117
PP_4191,Target,5.9466
PP_4191,Target,5.4266
PP_0368,Non-target,191.872
PP_0368,Non-target,167.367
PP_0368,Non-target,172.4886
PP_0751,Non-target,238.133
PP_0751,Non-target,362.4014
PP_0751,Non-target,303.7573
PP_0812,Non-target,336.1871
PP_0812,Non-target,299.4838
PP_0812,Non-target,292.5602
PP_0812-15,Non-target,332.5798
PP_0812-15,Non-target,332.0093
PP_0812-15,Non-target,332.6969
PP_0813,Non-target,412.9922
PP_0813,Non-target,389.6801
PP_0813,Non-target,393.3061
PP_0814,Non-target,296.4604
PP_0814,Non-target,290.0816
PP_0814,Non-target,292.3528
PP_0815,Non-target,298.0681
PP_0815,Non-target,309.4453
PP_0815,Non-target,293.9713
PP_1317,Non-target,94.0828
PP_1317,Non-target,92.3217
PP_1317,Non-target,96.0542
PP_2136,Non-target,332.0178
PP_2136,Non-target,308.0843
PP_2136,Non-target,297.0437
PP_4120,Non-target,205.2649
PP_4120,Non-target,203.9816
PP_4120,Non-target,200.8838
PP_4189,Non-target,312.9791
PP_4189,Non-target,325.632
PP_4189,Non-target,313.1991
PP_4191,Non-target,8.1263
PP_4191,Non-target,6.8766
PP_4191,Non-target,11.3554
