DBTL_Cycle,Line_name,Line,Replicate,mvaE,mvaS,MK,PMD*,AphA,dCas9
0,Control-R1,Control,R1,1.475315592,0.877158175,1.035255701,2.42272993,0.441732919,0.04025723
0,Control-R10,Control,R10,2.13205352,0.825546852,1.016788037,2.543356506,0.369206399,0.051404521
0,Control-R11,Control,R11,2.101718405,0.870911151,1.067357275,2.852720883,0.418925354,0.045655806
0,Control-R12,Control,R12,2.093783585,0.82061234,1.101741097,2.657792941,0.301817164,0.043949576
0,Control-R13,Control,R13,2.150279853,0.759694037,0.964572966,2.612845811,0.304724875,0.038798846
0,Control-R14,Control,R14,1.867907203,0.674256564,0.966389301,2.58775136,0.34122873,0.039545164
0,Control-R15,Control,R15,0.632890359,0.804200012,0.879319752,2.497958178,0.449447028,0.040277006
0,Control-R16,Control,R16,0.380005231,0.50298653,0.84208,2.752387013,0.456438204,0.028736869
0,Control-R17,Control,R17,0.520631126,0.663011647,0.899998771,2.609471753,0.400190554,0.028372493
0,Control-R18,Control,R18,0.513275388,0.596270902,0.941350692,2.732497648,0.481114626,0.026810599
0,Control-R2,Control,R2,1.260780588,0.749897726,0.849618609,2.236048946,0.361135612,0.042869402
0,Control-R3,Control,R3,1.345454065,0.848412438,1.066740796,2.951097531,0.268683896,0.044549124
0,Control-R4,Control,R4,1.207622517,0.753167446,1.067471709,2.123932199,0.345311858,0.036058065
0,Control-R5,Control,R5,1.18923816,0.771652551,0.819043431,2.193450422,0.350725819,0.047156551
0,Control-R6,Control,R6,1.342041231,0.898885141,0.723598457,1.87547598,0.192411286,0.052741126
0,Control-R7,Control,R7,1.983165216,1.054631213,0.870900858,2.530098718,0.360733186,0.041813972
0,Control-R8,Control,R8,1.972143807,0.772932163,1.324619398,2.533094114,0.354358237,0.040131742
0,Control-R9,Control,R9,2.119908127,0.892330473,1.062785115,2.416277496,0.301274565,0.039800063
1,Control_P1-R1,Control_P1,R1,1.227951229,0.638301111,0.803717109,2.085936552,0.437204235,0.022203712
1,Control_P1-R2,Control_P1,R2,1.133349823,0.630543778,0.838070949,2.173884007,0.467084587,0.021770385
1,Control_P1-R3,Control_P1,R3,1.241514866,0.633695217,0.841021832,2.122969897,0.435913757,0.032242494
1,Control_P2-R1,Control_P2,R1,1.348260193,0.702596621,0.835230539,2.278855366,0.513185478,0.02221701
1,Control_P2-R2,Control_P2,R2,1.343822633,0.767150178,0.895266841,2.491821512,0.576261672,0.02766186
1,Control_P2-R3,Control_P2,R3,1.239928749,0.564113812,0.770705129,2.287337849,0.399468386,0.028660932
1,Control_P3-R1,Control_P3,R1,1.109022883,0.522364079,0.794557746,2.422966769,0.608988905,0.021785436
1,Control_P3-R2,Control_P3,R2,1.04694982,0.503164687,0.735621904,2.461293665,0.590383121,0.021472204
1,Control_P3-R3,Control_P3,R3,1.025273742,0.460542716,0.778802523,2.525231392,0.524629243,0.038662439
1,Control_P4-R1,Control_P4,R1,1.356015622,0.747607836,0.88224395,2.391770388,0.6014877,0.046734932
1,Control_P4-R2,Control_P4,R2,1.26100943,0.805122107,0.90654658,2.530817294,0.677906628,0.041697196
1,Control_P4-R3,Control_P4,R3,1.302955334,0.755608343,0.909459071,2.541210842,0.629338257,0.034644373
2,Control_P1-R1,Control_P1,R1,0.763098276,0.765627611,0.82764663,2.291474238,0.951197358,0.072112385
2,Control_P1-R2,Control_P1,R2,0.756321752,0.835419416,0.836702481,2.225545315,0.915059474,0.067139864
2,Control_P1-R3,Control_P1,R3,0.675615178,0.785471869,0.836063073,2.340115678,1.037237199,0.064688083
2,Control_P2-R1,Control_P2,R1,0.518025982,0.542469259,0.78121761,2.274087816,0.818454662,0.047711521
2,Control_P2-R2,Control_P2,R2,0.560833838,0.52403018,0.752483219,2.278018081,0.540578402,0.046464903
