Strain,Replicate,Inducer concentration,Isoprenol
pSTABL1 (PP_2208-09),R1,1000,181.146
pSTABL1 (PP_2208-09),R2,1000,179.317
pSTABL1 (PP_2208-09),R3,1000,168.754
pSTABL1 (PP_2208-09),R1,500,184.32
pSTABL1 (PP_2208-09),R2,500,192.658
pSTABL1 (PP_2208-09),R3,500,162.967
pSTABL1 (PP_2208-09),R1,250,182.104
pSTABL1 (PP_2208-09),R2,250,192.395
pSTABL1 (PP_2208-09),R3,250,186.21
pSTABL1 (PP_2208-09),R1,125,205.104
pSTABL1 (PP_2208-09),R2,125,203.608
pSTABL1 (PP_2208-09),R3,125,197.384
pSTABL1 (PP_2208-09),R1,62.5,209.376
pSTABL1 (PP_2208-09),R2,62.5,218.636
pSTABL1 (PP_2208-09),R3,62.5,223.218
pSTABL1 (PP_2208-09),R1,31.25,196.986
pSTABL1 (PP_2208-09),R2,31.25,223.745
pSTABL1 (PP_2208-09),R3,31.25,221.192
pSTABL1 (PP_2208-09),R1,0,275.901
pSTABL1 (PP_2208-09),R2,0,268.856
pSTABL1 (PP_2208-09),R3,0,261.917
Control,R1,0,254.598
Control,R2,0,255.252
Control,R3,0,248.764
