Sample,Protein.Group,mean,std,Control_Mean,Control_Std,Ratio,Ratio_Std,Target_Mean,Target_Std,Target_Ratio,Target_Ratio_Std
PP_0378,PP_0378,0.0007397380000000001,0.0012639432922136973,0.08640567366666667,0.005908625665634721,0.008561220214007475,0.014639723076080352,0.018541662666666667,0.0026546290476283734,0.21458848568435634,0.03404735290381292
PP_0379,PP_0379,1e-05,0.0,0.03829264533333333,0.0040386158755843955,0.00026114675319375516,2.754240178824991e-05,0.009172281999999999,0.006640399483623557,0.23953116636775226,0.17524235015636866
PP_0977_1,PP_0977,0.09961375633333332,0.009857060581177196,0.097184745,0.004144653332051914,1.0249937511626266,0.1104448616923233,0.021560451999999997,0.01292780488915067,0.22185016794559678,0.13335902812904027
PP_0977_2,PP_0977,0.09188765233333333,0.0065235582086665975,0.097184745,0.004144653332051914,0.9454946075470315,0.07830534446059069,0.021560451999999997,0.01292780488915067,0.22185016794559678,0.13335902812904027
PP_0977_3,PP_0977,0.09041794033333334,0.018274441218936472,0.097184745,0.004144653332051914,0.9303717402698678,0.1921787520351629,0.021560451999999997,0.01292780488915067,0.22185016794559678,0.13335902812904027
PP_0986,PP_0986,1e-05,0.0,0.04329690866666667,0.002828760644893332,0.00023096337147272548,1.508976312059242e-05,0.03003376066666667,0.005019682762768015,0.6936698621578264,0.12447949968854895
PP_1018,PP_1018,0.020310017333333333,0.008192831347710164,0.16149245733333334,0.010783958711246829,0.125764494941159,0.05142239166635205,0.06292125566666666,0.003767648570498096,0.389623495150564,0.03494603034324043
PP_1593,PP_1593,0.0005513323333333333,0.0005161985398335928,0.031755956,0.0031907104001566784,0.017361541039209567,0.01634850522102562,0.019469262666666667,0.013302864976252911,0.6130901134472748,0.4234142822578169
PP_1638_1,PP_1638,0.064955953,0.005862293743253405,0.07757867133333333,0.007052010960593607,0.8372913828454585,0.10725236053390838,0.05133261866666666,0.0014234389177763568,0.6616846845198612,0.0628844330946308
PP_1638_2,PP_1638,0.04601012666666667,0.006816402610364671,0.07757867133333333,0.007052010960593607,0.5930770129972236,0.1030854260193209,0.05133261866666666,0.0014234389177763568,0.6616846845198612,0.0628844330946308
PP_1638_3,PP_1638,0.04699878033333333,0.006963670781061833,0.07757867133333333,0.007052010960593607,0.6058208980067863,0.10530927842035759,0.05133261866666666,0.0014234389177763568,0.6616846845198612,0.0628844330946308
PP_1982,PP_1982,0.00031070800000000003,0.000520841534242422,0.172665329,0.012523427809072238,0.0017994811222350263,0.0030193023919079733,0.034720348000000005,0.004929296236095373,0.2010846543488763,0.032058019967011804
PP_2664,PP_2664,0.0002661373333333334,0.0002218222598418232,0.010529885000000001,0.004453416071528574,0.025274476723471658,0.023622820367304592,0.001597226,0.002204065894144728,0.15168503739594497,0.21892558015817135
PP_2665,PP_2665,0.00069062,0.00017093826210360275,0.008870825,0.004168679473479821,0.07785296181584012,0.04135002562192196,0.0005572376666666667,0.0004019451777846493,0.06281689320516036,0.054078530995041445
PP_2680,PP_2680,0.01264941466666667,0.016300725458813555,0.5924080463333333,0.10088112019759346,0.02135253689574155,0.027755252141221615,0.01885599233333333,0.00448698095598815,0.03182939943176182,0.00931377650387706
PP_3379,PP_3379,0.0006562376666666667,0.0005670338577230934,0.057388370999999994,0.0018558021152051737,0.01143502865182681,0.009887557495459354,0.019124313,0.009890626006234337,0.3332436984489419,0.1726820520399034
PP_3416,PP_3416,0.0019248286666666665,0.0024463730487187217,0.10973955333333334,0.007524531773518961,0.01753997176223243,0.02232495488541554,0.05466465366666667,0.00046857631996968324,0.49813081980225543,0.03442128871893103
PP_5313,PP_5313,0.000925458,9.452493244112897e-05,0.014931984333333334,0.0016205584764340754,0.061978232721156754,0.009236815622558603,0.007528751333333333,0.0031080897850045025,0.5042030024453324,0.21522247565307978
