Protein.Group,Group_with_PP_0815_Mean,Group_without_PP_0815_Mean,T-Statistic,P-Value
PP_5185,0.018947177626984127,0.018319895502983803,1.6068412284312579,0.10863208499113716
PP_0010,0.0317832382989418,0.03164777123103154,0.08751774755706544,0.9302880095776929
PP_0011,0.06412270352380953,0.07116123906138108,-6.96780299371612,5.660799097956511e-12
PP_0003,0.02078183799082569,0.019795007113680155,2.861728744420379,0.0043847625006932745
PP_2471,0.046550862912698415,0.03575924299573743,9.80464319532054,4.620871790815408e-21
PP_1773,0.002417912568627451,0.002078621713768116,1.3248696224823233,0.19029263674390026
PP_1224,0.016475230592592593,0.01144325599488491,9.518011314777427,3.7996772119538143e-20
PP_1506,0.13614603495502647,0.12841959195737426,3.227505516802877,0.00129520036358475
PP_1223,0.55283140060582,0.47664931157800516,9.282176155504505,1.0356272268223482e-19
PP_0006,0.0396595713994709,0.043238957083546456,-6.362160553257628,3.882135896493266e-10
PP_0951,0.09113615008465607,0.11364271021653878,-10.87502112322095,1.0993362502148144e-25
PP_0002,0.009072991526315789,0.012341605339321358,-7.27343321232653,3.798836538601727e-12
PP_0001,0.018811863439153437,0.019564799126172205,-1.5871412393251054,0.11301432004119148
PP_0446,1.057448088473545,1.0623415093171353,-0.12031059819128342,0.9042772754257735
PP_0389,0.21331786973280426,0.25675299052685424,-12.80382829616323,2.4639489004498667e-34
PP_0952,0.02842425702380952,0.021361405625745948,10.777537064314158,1.6637525002856755e-24
PP_1222,0.07837699657936509,0.07005516466751918,9.364401711710443,1.2229654999107775e-19
PP_0005,0.011209460864864863,0.009495031073878628,3.9371491139900057,0.00010349882450150371
b4055 JW4015,0.7325209548333332,0.6154642850358056,5.215487233241689,2.572850321290535e-07
YNR043W,2.9680662550317463,2.6498565486368286,6.595025870403079,9.826078129178661e-11
PP_4288,0.010734027680180181,0.009501128869832894,4.199294456609385,3.506372716582303e-05
PP_5289,0.046816694772486775,0.054966903757885766,-8.110998999939133,2.2293373679982825e-15
PP_3633,0.0031124858095238094,0.005122133350340136,-2.498018196013296,0.013354568679995788
PP_4481,0.07066276090476191,0.07168864209889173,-0.6017077647780325,0.5475864090733762
PP_0396,0.037562515962962964,0.03446532320716113,4.6026238118383125,5.116193292952877e-06
PP_0477,0.26194623897354496,0.3109216496862745,-12.247699355551946,2.09467233543954e-31
PP_0823,0.007191798448484848,0.006549927906705539,2.0488400243085305,0.04106660042549743
PP_0966,0.05621319565343915,0.047487676314578,11.236775800845248,1.768440708933099e-26
PP_1352,0.033042047484126987,0.03436804321824382,-2.1237930650743935,0.033987556997010164
PP_1088,0.25400100033597883,0.21980839378175618,9.40994964796131,1.497734524767748e-19
PP_1346,0.04667302221693122,0.054663910427962495,-6.324125904686502,4.5064567429483076e-10
PP_0184,0.07812635094444444,0.07177439318243818,5.175212439365057,3.0024741155570336e-07
PP_4007,0.06429088601351352,0.07035282249868074,-3.258072005235637,0.0012527559053322037
PP_1342,0.04241341440740741,0.04128658978772379,1.9181876315139164,0.055509685551565956
EF_1364,1.195079108748538,1.1156288863383232,1.9092944600296524,0.05741930556004065
PP_1157 PP_3365,0.06938245266931216,0.08298314715345269,-5.404302953896854,7.972708120490685e-08
PP_5417,0.22588555882539682,0.1879230643026428,10.378015935681947,4.610182315178589e-23
PP_5416,0.07796990478042329,0.08081897764620631,-2.1292318756861923,0.03356399077226504
PP_5415,0.4430301548492064,0.4223934007237852,4.013146564971167,6.591713872745369e-05
PP_5414,0.10805181048677251,0.11052894487468029,-1.3025758218806422,0.1932133001699064
PP_5413,0.5147894120291006,0.5374004548712703,-3.085502079912825,0.0021168710383875065
PP_5412,0.08908090968253969,0.07652300484654731,9.200024263127336,4.756778535038099e-19
PP_5411,0.031523799166666665,0.03274306186700767,-1.3313288072507428,0.18367927548994192
PP_5409,0.02529157552380952,0.01981626785251492,11.397960608278602,3.347206430938576e-27
PP_5400,0.01063619462745098,0.005359657714795009,5.4679067641025805,9.025515563516338e-07
PP_5395,0.03476563892328042,0.030497907877237846,6.498791006524429,1.8976711645672198e-10
PP_5392,0.024312300661375658,0.014931972340153452,16.19888301593075,4.796794227273913e-50
PP_5391,0.011660188325203252,0.004041102572261072,10.745351888400574,4.650183048741035e-20
PP_5380,0.005995710990825688,0.004403448298651253,4.641305325459655,4.50173632262735e-06
PP_5379,0.014291952243386242,0.012574482268542199,3.8567650903755504,0.00012634095878103196
PP_5366,0.015837465412844035,0.006735695828516377,14.168740946697035,8.47401006500014e-37
PP_5365,0.016908622124338624,0.01708710198635976,-0.27846292468228157,0.7807368282320197
PP_5353,0.016484165526455027,0.014579410352088663,5.058970529064026,5.340639495741855e-07
PP_5352,0.02138683953968254,0.02316198598806479,-3.0515598122636276,0.0023614669220266443
PP_5351,0.003414599701754386,0.0020565013273453094,6.401484344286496,1.0084207951433614e-09
PP_5350,0.005956110649122807,0.003949226869261477,4.94767591128395,1.5609190673445709e-06
PP_5347,0.13361793258465607,0.13400828302642795,-0.1320928942817314,0.8949557000430671
PP_5346,0.12766627053174603,0.12957668442540496,-0.6474966644978952,0.5175295034165068
PP_5345,0.03584926592682927,0.009810418134032634,9.128836115817194,1.0578599985814376e-15
PP_5341,0.00641811422072072,0.004941780871591909,3.3247725477272616,0.0009883920766838952
PP_5340,0.004600877166666667,0.005223336271721959,-1.1155668183315974,0.26606565384242614
PP_5338,0.01825781115079365,0.009549214000852515,12.794761632898641,1.2170664509964597e-32
PP_5336,0.04554113516666666,0.0464009843998295,-1.373211846851675,0.17009144367706966
PP_5335,0.03409370685714286,0.0388136328286445,-8.03238463918794,5.486095965263667e-15
PP_5332,0.014414077162162163,0.011675585430958663,5.560970898712327,6.165811822864418e-08
PP_5331,0.007069105119047618,0.004808730034722222,4.569924023181961,8.036567692694218e-06
PP_5329,0.008531167899082568,0.008612801979768787,-0.1740599423167994,0.8618994938221105
PP_5326,0.0016587885555555554,0.0014362531144278608,0.17038523400147346,0.8688502743513139
PP_5325,0.004822939383597883,0.004625638609548167,1.0023127492754316,0.3166103675633844
PP_5324,0.029027009444444446,0.023718569688832056,8.989907380002766,3.479674208498873e-18
PP_5322,0.01633774684920635,0.0061367908508158505,15.022212246232332,1.8318819729722403e-32
PP_5320,0.0022973363333333337,0.0026727919906542057,-0.5793323639214104,0.6186060431771657
PP_5319,0.026985664945945946,0.008155040015831134,8.421443403980263,3.0382966070356006e-15
PP_5314,0.010677013813455658,0.007371387756262043,10.029010854313123,1.958243543429843e-21
PP_5313,0.009903784785714286,0.012257945139812446,-5.6067674605309,2.94485388991434e-08
PP_5311,0.023853281500000004,0.0206992960571185,7.266726653381133,1.2373970200033962e-12
PP_5310,0.00449908605882353,0.004835718987318841,-0.4496052656425119,0.6538795297484749
PP_5309,0.02229056122751323,0.0224652116112532,-0.36651343177943624,0.7140931567763553
PP_5306,0.013498789210526312,0.003938578795392954,5.332286410820284,1.6756001675127605e-06
PP_5305,0.007113066637426901,0.004408415928143713,8.383405639609633,5.088619214410866e-15
PP_5304,0.026888176804232805,0.02753853486445013,-1.402724671532367,0.161161054951424
PP_5303,0.10575851655555556,0.09866310955754476,3.4645171643938473,0.0005652597256536573
PP_5302,0.06252284658994708,0.02961648932907076,16.769272305017086,1.3215972213798488e-49
PP_5301,0.03634054827217126,0.04459536705684007,-11.669216494641534,1.9099318077974282e-28
PP_5296,0.006791490288359787,0.009875232886615517,-14.116908370155453,1.3639265300427805e-40
PP_5295,0.026280502214285715,0.023423452663256607,5.649928853084553,2.5298118056344305e-08
PP_5294,0.01113504614864865,0.010784408734388743,1.1411052486394733,0.25473089176038893
PP_5292,0.03449852661904762,0.03228009358908781,3.6713843742379235,0.00026583567434072705
PP_5291,0.046522212002645495,0.049568712469735716,-3.6548431561954455,0.00028384267037645955
PP_5288,0.010821357698412701,0.012160509811594205,-4.277738950385827,2.1583277911031234e-05
PP_5286,0.00725595859090909,0.012831231446050095,-13.304762179156253,9.154471018356667e-37
PP_5285,0.029906083349206348,0.025949256726342712,4.2874474355226395,2.1734453238446505e-05
PP_5283,0.03171548735978836,0.02389555889599318,10.177485717284615,1.505818576771331e-22
PP_5282,0.17982216064285717,0.2158244482233589,-11.845518989518638,1.9116736398669124e-29
PP_5281,0.06417908679629629,0.07126248818073315,-3.948317109987315,8.692284526989571e-05
PP_5278,0.022037238005291,0.02549729475703325,-6.152143433702997,1.3069102469053644e-09
PP_5273,0.006895260396396397,0.006789646753737907,0.3418864170865345,0.7326877368809119
PP_5271,0.007573808309941521,0.006646144631736527,3.3167046814546794,0.001051425791032309
PP_5270,0.012652674798941799,0.007799247838874681,6.312535850213145,6.470401148754673e-10
PP_5269,0.0044506097094801226,0.0032352162273603085,3.961821625558763,8.602508872922734e-05
PP_5267,0.027539896232804235,0.01404538012446718,7.12864085915334,3.665155426049553e-12
PP_5265,0.022138147306878304,0.029422951022165387,-12.930670793512721,7.827214464070237e-34
PP_5264,,0.00048137394791666666,,
PP_5260,0.002623085536231884,0.004798399555555556,-3.0212183127260186,0.002694155505667154
PP_5258,0.013393298846846848,0.007005357102022868,10.362251689454531,2.2523738541004484e-21
