Protein.Group,Group_with_PP_1317_Mean,Group_without_PP_1317_Mean,T-Statistic,P-Value
PP_5185,0.016169437840579712,0.018697726925690022,-4.78945139514611,3.650513097234635e-06
PP_0010,0.04377378910869565,0.03049972882802548,4.703956505011942,5.652459422817091e-06
PP_0011,0.06865169609420291,0.06952341209483369,-0.48751667045507147,0.6265135411458351
PP_0003,0.017684298216216216,0.02023917169457735,-4.6295855046011924,8.922355046842263e-06
PP_2471,0.03557429305072463,0.03866423621656051,-2.7040405901433076,0.007432759879495207
PP_1773,0.0020490726666666666,0.0021120151559139784,-0.275135244002465,0.7842452152105983
PP_1224,0.013850540260869565,0.012554283007784856,1.5300220407726002,0.12796350614420812
PP_1506,0.13892007963768116,0.1294610131556971,2.723720643458889,0.007077959663495979
PP_1223,0.6052013172173912,0.4844742605336164,9.447437776866007,1.8100182760552263e-17
PP_0006,0.03867673816666667,0.04272698144444445,-5.074148039251975,1.0211810142308358e-06
PP_0951,0.10245556536956522,0.1087144343913659,-1.9436370121980662,0.053571107111556146
PP_0002,0.009590480666666668,0.012102850044256121,-4.533078125947139,1.2064764413428918e-05
PP_0001,0.015138171217391305,0.019795701434536444,-6.572288250493915,6.514016815738995e-10
PP_0446,0.9051597283188405,1.0763835282123142,-2.135613640212423,0.034336935049211065
PP_0389,0.23562677192753625,0.24719668656829444,-2.111349075047472,0.036179734293417885
PP_0952,0.01936609252898551,0.023445702183297945,-6.397390665673998,1.10715351610993e-09
PP_1222,0.07019986176811595,0.07226725544090587,-1.691882066764292,0.09243787475121816
PP_0005,0.00910364706521739,0.00985098062899263,-1.581851894262595,0.11552639438818271
b4055 JW4015,0.8280574742463768,0.6260159913857042,6.802435880082433,1.7095483981154206e-10
YNR043W,2.4467496719637682,2.754819052527955,-5.8703012344128656,1.9001776493385126e-08
PP_4288,0.009924901210144927,0.009677396644553644,0.6655044267699013,0.5066518107762448
PP_5289,0.05375759691304348,0.052904699474876145,0.5650016348888476,0.5728126489469108
PP_3633,0.003365284864583334,0.005074596271604938,-2.0119388162962526,0.0459287971494194
PP_4481,0.08794160992753623,0.0698268638598726,4.922246949122789,2.2644634462009364e-06
PP_0396,0.03562151126811594,0.03518095300849257,0.41015034660117045,0.6822493685637042
PP_0477,0.29354277203623186,0.29951724761004955,-0.853929327688868,0.3944084980580209
PP_0823,0.0073263855777777765,0.006661776676122931,1.263488553310838,0.20939916458579527
PP_0966,0.047418788978260865,0.04982861952937013,-2.388557436930739,0.018000659204744297
PP_1352,0.033611480000000006,0.03408720764614296,-0.42893639027404384,0.6685370055977145
PP_1088,0.2253000034057971,0.2284191249561217,-0.49951335733213253,0.6181361291596112
PP_1346,0.04411770613043478,0.05355621081670205,-5.639728849948777,6.371987267574382e-08
PP_0184,0.06815086913043479,0.07382753285208776,-2.752641135947774,0.0065926009671459646
PP_4007,0.07086089101449275,0.06919322925143324,0.6296390505476293,0.5298556823910097
PP_1342,0.039124017978260865,0.04179923990516631,-3.2892223127461264,0.0012153049539974945
EF_1364,1.0375915619009008,1.136578162274953,-2.314301904335144,0.022004775614789553
PP_1157 PP_3365,0.06880374236956521,0.08072956990304317,-2.7800653601466854,0.006024265906851294
PP_5417,0.1972987124347826,0.1971629676907289,0.03222011055625487,0.9743321905438977
PP_5416,0.08542498523188405,0.07960696165888181,2.8911142655279183,0.004335339646956098
PP_5415,0.46200773297826087,0.42404514538641186,4.263194302006774,3.416929786512947e-05
PP_5414,0.11802611031159421,0.10913406474097664,3.4707328063351577,0.0006569745768648221
PP_5413,0.5892648999057971,0.5262863235130927,5.389589016976062,2.452681333860538e-07
PP_5412,0.08935861415942029,0.07862886043241331,4.836281606815816,3.0552526493880142e-06
PP_5411,0.03706876139855072,0.03199442220948337,5.207805906497577,5.165152747013965e-07
PP_5409,0.021278079652173914,0.021138232658881814,0.19096021218915116,0.8487966805173592
PP_5400,0.010701890882352941,0.00535368532798574,5.489700148980626,8.398410416466896e-07
PP_5395,0.034407475014492754,0.031257767799716916,3.464580657855005,0.0006798179438867134
PP_5392,0.020798767231884056,0.016868381689313518,4.378068820668397,2.083996903067063e-05
PP_5391,0.010532690380952382,0.004616459343137255,6.951272350114795,1.5560998293625882e-09
PP_5380,0.007902439900900901,0.004508936203349283,7.441244548520158,1.1239621734643883e-11
PP_5379,0.014642641673913043,0.012831946990799717,2.363314592246385,0.01933123652310395
PP_5366,0.007166967702702702,0.009070948999202551,-3.218421057313299,0.0015691325285434549
PP_5365,0.02111221956521739,0.016646244510261858,4.728736979840014,4.689734311205513e-06
PP_5353,0.014315616166666666,0.015114726030431704,-1.6666376925735906,0.09723160622016885
PP_5352,0.01783894574637681,0.023206978341825904,-8.844499679464688,2.85231507765208e-16
PP_5351,0.003088554981981983,0.0021673081694915256,3.270830900195617,0.0013922518861983198
PP_5350,0.006147871675675675,0.004042567314500941,3.993372644859265,0.00011159406165613559
PP_5347,0.10990546923188405,0.13625784837438074,-7.323310362018348,8.020874205559451e-12
PP_5346,0.10326517100724636,0.1316353202356688,-7.7648532835406225,5.275416166435677e-13
PP_5345,0.014702794936507935,0.01296353201198257,0.6812214886023021,0.49792317178190737
PP_5341,0.005776634471014493,0.005115848199017199,1.2272565521583116,0.22140410606724784
PP_5340,0.0033120026000000003,0.00528103458008658,-3.4190511134859984,0.000964354450963706
PP_5338,0.015465881398550726,0.011301053789808918,5.210144411803142,5.219873770151342e-07
PP_5336,0.043840130905797095,0.04642106562561925,-2.492161728370256,0.013683956836642428
PP_5335,0.036424225137681156,0.0377843378846426,-1.7235802380002578,0.08660118291054725
PP_5332,0.012109148920289855,0.012124490756756758,-0.030993868692641802,0.9753089807849431
PP_5331,0.005912433720430107,0.005157281696855346,1.2418397977823925,0.21689768498141662
PP_5329,0.008415911063063062,0.008608942767145134,-0.3484436795792582,0.7280446039616739
PP_5326,0.0010186431666666666,0.0014436928481848185,-0.6903366567999467,0.5179585290577366
PP_5325,0.00553388281884058,0.004589716452229299,2.9963617129668707,0.003175343212265207
PP_5324,0.023203594557971014,0.025188956663835808,-2.5202596935465227,0.012637940585990118
PP_5322,0.012749945625,0.0071708603237179485,4.765994583610766,1.5744514156207027e-05
PP_5320,0.0031911060000000004,0.0026644390031152643,0.5768454618374362,0.6211567415386119
PP_5319,0.02499033981884058,0.009676028846027846,5.350451922555533,3.259036278226082e-07
PP_5314,0.008051476234234236,0.008173181934609251,-0.31314036862878825,0.7546396032609944
PP_5313,0.012465469579710144,0.011607901978768577,1.0676897956963265,0.2873160660090565
PP_5311,0.020385701782608696,0.021573664427459307,-2.1795414568136646,0.030630008002510575
PP_5310,0.004740567488888889,0.004812624969534051,-0.09199479362694954,0.9269108093960285
PP_5309,0.01953268311594203,0.022704893909412598,-4.132558764209195,5.7158289077551715e-05
PP_5306,0.013874153145833332,0.0040296422824631865,4.97917821838618,8.538838579767699e-06
PP_5305,0.006725019936936938,0.004601779606403012,4.993559863222499,1.8726967325582958e-06
PP_5304,0.026435580927536232,0.02747227322009908,-1.303578536829827,0.19426444405316698
PP_5303,0.10884618063768116,0.0995667189249823,2.6014202501867327,0.010167378691993486
PP_5302,0.03977786705797102,0.037427057565463544,1.0979355093374596,0.2736754463302859
PP_5301,0.03761441127927928,0.04306072618660287,-5.034377176030919,1.4931697983911745e-06
PP_5296,0.006960186898550724,0.009334979273177637,-7.960955040578896,1.4713947799626415e-13
PP_5295,0.023457468369565217,0.024184436784147206,-0.9737754274427969,0.3316159707470837
PP_5294,0.010543210666666667,0.010875421706797707,-0.7895265113385898,0.43098269521008115
PP_5292,0.03136051800724638,0.03296336967940552,-1.9239348139998906,0.05611372813871109
PP_5291,0.040652087601449276,0.049624563181174794,-10.759875544358396,2.3564424502797572e-21
PP_5288,0.0116947553115942,0.011847752997876859,-0.35683063058035064,0.7216439614931607
PP_5286,0.007719703958333333,0.011770591977987422,-6.8327944676907135,2.560756513277905e-10
PP_5285,0.023761752108695654,0.027221412494692142,-2.8892406516840454,0.004388382342235704
PP_5283,0.03061818123188406,0.025330952439490448,4.543027441444801,1.0711781389559476e-05
PP_5282,0.20018010540579712,0.20772116061075727,-1.663509804609538,0.09805506567758682
PP_5281,0.07477101011594203,0.06902490732413305,1.964843583874803,0.051139439742231334
PP_5278,0.02431307241304348,0.024687331014154282,-0.42602913492900607,0.6706393747648811
PP_5273,0.005937928115942029,0.006905112274365274,-2.6463448999989496,0.008933335265126133
PP_5271,0.006926731405405405,0.00676618734086629,0.5408894549252841,0.5893953384958301
PP_5270,0.009282640869565217,0.008952741931351732,0.4339344757251961,0.6648522426534382
PP_5269,0.003088589432432433,0.0035651279043062206,-1.2101132293809311,0.22834482078948076
PP_5267,0.02900421647101449,0.016194430140835103,5.461166508890689,1.705345783989852e-07
PP_5265,0.02779761735507246,0.027632887498938434,0.18192318824695222,0.855871902217947
PP_5264,,0.00048137394791666666,,
PP_5260,0.0014081245555555555,0.004617359479674796,-5.036741140376634,1.3928675519942542e-06
PP_5258,0.010016366956521739,0.007826490359541359,3.3110826654738843,0.0011391205253333825
PP_5252,0.0024272422619047622,0.0013130682462462462,2.615990298875213,0.011943642075934452
PP_5249,,0.0008173366718749999,,
PP_5235,0.016626085899999997,0.011155218326474623,6.545701660437481,1.0402649362327045e-08
PP_5234,0.48247594352898554,0.2855665062016985,9.301657280426276,1.2822088671371364e-16
PP_5233,0.05370369719791666,0.044988033148584905,4.341284110358155,3.240667972331704e-05
PP_5231,0.01547190827536232,0.015017324289455061,0.7311839498049514,0.46572351835738235
PP_5229,0.011265193507246378,0.009928961518754421,2.177474760065441,0.030837627493441457
PP_5228,0.012115940601449274,0.012522297673218673,-0.7466446497706337,0.45635929896105554
PP_5227,0.03553740721014492,0.0325729166383581,4.098940137804818,6.42138661559849e-05
PP_5225,0.01541295466666667,0.016414832919831222,-0.9063149199350307,0.36905156302047115
PP_5223,0.010754194768115942,0.008972314248407644,3.0263685150858817,0.002918428364466518
PP_5220,0.02776453765217391,0.026479882452229302,1.4366596678747166,0.1526393247136102
PP_5217,0.032194891152173916,0.03199175944444445,0.20034568681737075,0.8414638763513398
PP_5216,0.023319689101449274,0.022907957856334038,0.6953699035085056,0.4877540865050669
PP_5215,0.14829205063043477,0.12349262144090588,4.767328710604515,4.264855790511218e-06
PP_5214,0.1206334909782609,0.12376224339136588,-1.4307355062933198,0.15436967419356473
PP_5213,0.01887287834782609,0.01749223197593772,1.8781612639871808,0.06201944612382101
PP_5212,0.0079550345,0.008215261224422442,-0.6984349306790515,0.5100971808840182
PP_5207,0.0009464448939393939,0.0010483078975409837,-0.6198760744118712,0.537077136064336
PP_5206,0.022579807862318838,0.019979940742392076,2.890372069461331,0.004346374097313236
PP_5203,0.0009574123333333334,0.0016924691806853584,-1.1336738043402954,0.3716890101448558
PP_5202,0.003029860885416667,0.002931379045244691,0.28214274045389187,0.7783858683389842
PP_5201,0.02999512911594203,0.03387587050106157,-3.063710291087469,0.002544210372268071
PP_5200,0.017886231094202898,0.011048087381457891,4.95031279259894,1.951820073309488e-06
PP_5199,0.005532224793650795,0.004733948641612201,1.016081573052803,0.31317416870827414
PP_5197,0.00905645856756757,0.008044503509569378,1.564576883135137,0.12020096826214081
PP_5196,0.00541322785,0.00341628001920439,3.7207823471138393,0.00032810963786827354
PP_5194,0.009845219540540542,0.00992255806060606,-0.14510814738873917,0.884853985519795
PP_5193,0.051007876978260876,0.04944634869568295,0.6284454167688,0.5305955254119905
PP_5192,0.009858157869565218,0.007779447935598018,3.435584944548873,0.0007553626211097761
PP_5187,0.026320402623188403,0.02955563084854919,-3.606997974157516,0.0004183017383447209
PP_5186,0.014420500249999997,0.010648475721296298,6.651702534583897,6.73502159296087e-10
PP_5184,0.02818050696376812,0.02711580990799717,1.3917704883541726,0.16583518987455123
PP_5183,0.031206210036231887,0.04262194485562632,-11.290471231352951,5.276021338179128e-23
PP_5182,0.00849012808108108,0.010558170590111642,-4.308895019118875,2.950234187710196e-05
PP_5181,0.14896116370289852,0.12661233258811042,6.633987717542196,4.888491621906131e-10
PP_5180,0.059545869355072466,0.047434895729653224,6.313099886018709,2.6414519583846662e-09
