Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of_protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812,R1,3356666.667,0.070651003,-1.150881667
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812,R2,3726131.667,0.083782121,-1.076848651
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812,R3,4202826.667,0.08476574,-1.071779641
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812,R1,2239116.073,0.047128837,-1.326713275
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812,R2,3074801.4,0.069136951,-1.160289778
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812,R3,2789644.9,0.056263637,-1.249772196
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R1,2113333.333,0.044481366,-1.35182188
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R2,2080000,0.046768828,-1.330043513
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812,R3,2043333.333,0.041211469,-1.3849819
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R1,1535734.037,0.032324077,-1.490473873
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R2,1239271.333,0.027865033,-1.554940444
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812,R3,2558733.667,0.051606447,-1.287296037
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R1,772868.37,0.016267307,-1.788684349
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R2,777290.1333,0.017477379,-1.757523693
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812,R3,531162.2333,0.010712876,-1.970093932
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R1,93687.40667,0.001971929,-2.705108665
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R2,14404.2,0.000323879,-3.489617705
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812,R3,10591.7,0.000213621,-3.670355449
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R1,154321.0733,0.003248145,-2.488364648
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R2,59086.13333,0.001328553,-2.876621278
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812,R3,268907.9,0.005423535,-2.265717559
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R1,697157.37,0.014673744,-1.83345906
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R2,1021468.067,0.022967723,-1.638882054
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812,R3,997996,0.020128327,-1.69619232
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R1,1077507,0.02267933,-1.644369783
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R2,750611,0.016877498,-1.772691923
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812,R3,920962,0.018574648,-1.731079409
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R1,1465154.037,0.030838511,-1.510906597
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R2,1169276.067,0.026291188,-1.580189788
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812,R3,1417186.333,0.02858287,-1.543894165
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R1,11565.48,0.00024343,-3.613626221
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R2,613309.8,0.013790279,-1.860426944
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812,R3,771624.4667,0.015562697,-1.80791513
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R1,360882.0367,0.007595833,-2.119424618
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R2,342104.7333,0.00769223,-2.113947765
A0A140FWA3,A0A140FWA3_PSEPK,Pp_5550,DUF4325 domain-containing protein,PP_0812,R3,484953.2333,0.009780898,-2.009621261
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R1,333554.37,0.007020641,-2.153623248
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R2,303214.0667,0.006817772,-2.166357503
A0A140FWA4,A0A140FWA4_PSEPK,Pp_5551,Uncharacterized protein,PP_0812,R3,425641.9,0.008584663,-2.066276747
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R1,590401.0733,0.012426741,-1.905642744
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R2,313892.5333,0.007057878,-2.151325863
A0A140FWC7,A0A140FWC7_PSEPK,Pp_5576,Uncharacterized protein,PP_0812,R3,624588.8,0.012597172,-1.899726928
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R1,214518.0733,0.004515169,-2.345325995
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R2,219902.8,0.004944517,-2.305876089
A0A140FWJ5,A0A140FWJ5_PSEPK,Pp_5643,Uncharacterized protein,PP_0812,R3,496252,0.01000878,-1.99961885
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R1,566838.7033,0.011930801,-1.923330387
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R2,283997.0667,0.006385678,-2.194792994
A0A140FWK0,A0A140FWK0_PSEPK,Pp_5648,Lipoprotein,PP_0812,R3,686215.9,0.013840114,-1.858860344
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R1,208179.0367,0.004381745,-2.358352888
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R2,142288.4667,0.003199358,-2.494937149
A0A140FWK7,A0A140FWK7_PSEPK,Pp_5658,Uncharacterized protein,PP_0812,R3,220780.1333,0.004452858,-2.351361129
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R1,135227.74,0.002846269,-2.545724093
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R2,57123.13333,0.001284414,-2.891294826
A0A140FWL0,A0A140FWL0_PSEPK,Ldcc,Lysine decarboxylase,PP_0812,R3,10591.7,0.000213621,-3.670355449
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R1,1612979.333,0.033949933,-1.46916108
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R2,2114408.333,0.0475425,-1.322917986
A0A140FWL3,A0A140FWL3_PSEPK,Pp_5661,Lipoprotein,PP_0812,R3,1468454.333,0.029616881,-1.528460675
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R1,680398.6667,0.014321007,-1.844026429
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R2,726316,0.016331225,-1.786981237
A0A140FWM3,A0A140FWM3_PSEPK,Cych,Cytochrome c-type biogenesis protein,PP_0812,R3,822673.3333,0.016592289,-1.7800937
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R1,667835.7033,0.014056583,-1.85212025
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R2,581955.4,0.013085275,-1.883217146
A0A140FWP7,A0A140FWP7_PSEPK,Rlub,Pseudouridine synthase,PP_0812,R3,659706.5667,0.013305454,-1.875970313
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R1,538915.0733,0.011343066,-1.945269552
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R2,464034.1333,0.010433814,-1.98155692
A0A140FWQ2,A0A140FWQ2_PSEPK,Pp_5700,Ribosomal subunit interface protein,PP_0812,R3,259153.3667,0.005226798,-2.281764265
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812,R1,1395168.703,0.029365462,-1.532163157
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812,R2,1374241.467,0.030899838,-1.510043799
A0A140FWQ5,A0A140FWQ5_PSEPK,Pp_5703,Type 3 effector HopPmaJ,PP_0812,R3,1147376.467,0.023141144,-1.635615182
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812,R1,6299558.037,0.132592878,-0.877479801
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812,R2,5965589.067,0.134136351,-0.872453514
A0A140FWQ8,A0A140FWQ8_PSEPK,Trub,tRNA pseudouridine synthase B,PP_0812,R3,5343530.567,0.107772307,-0.967492822
A0A140FWQ9,A0A140FWQ9_PSEPK,Secg,Protein-export membrane protein SecG,PP_0812,R1,733550.0733,0.015439736,-1.811360118
