Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
neo,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,3.3525587937777774,1.0
MVD1,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,2.5071659682777776,2.0
groEL,CH60_PSEPK,Grol,60 kDa chaperonin,2.283662603333333,3.0
aacC1,AACC1_PSEAI,Aacc1,Gentamicin 3-N-acetyltransferase,1.9737175727222223,4.0
tufB,EFTU2_PSEPK,Tufb,Elongation factor Tu-B,1.8135643483333332,5.0
EF_1364,Q835L3_ENTFA,Ef_1364,"Acetyl-CoA acetyltransferase/hydroxymethylglutaryl-CoA reductase, degradative",1.4604563318333335,6.0
rplL,RL7_PSEPK,Rpll,50S ribosomal protein L7/L12,1.334310207611111,7.0
dnaK,DNAK_PSEPK,Dnak,Chaperone protein DnaK,1.0946688158888889,8.0
rplA,RL1_PSEPK,Rpla,50S ribosomal protein L1,1.0378501584444446,9.0
sucC,SUCC_PSEPK,Succ,Succinyl-CoA ligase [ADP-forming] subunit beta,0.991579094,10.0
mvk,Q8PW39_METMA,Mvk,Mevalonate kinase,0.9722017758333332,11.0
rplE,RL5_PSEPK,Rple,50S ribosomal protein L5,0.7936782494444444,12.0
mvaS,HMGCS_ENTFL,Mvas,Hydroxymethylglutaryl-CoA synthase,0.7853642978333334,13.0
rpsQ,RS17_PSEPK,Rpsq,30S ribosomal protein S17,0.7753103344444444,14.0
hupB,Q88KI7_PSEPK,Hupb,DNA-binding protein HU-beta,0.7636716247222223,15.0
sucD,Q88FB3_PSEPK,Sucd,Succinyl-CoA ligase [ADP-forming] subunit alpha,0.7482130173333333,16.0
ilvC,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase,0.7080887082777778,17.0
fusA,EFG1_PSEPK,Fusa,Elongation factor G 1,0.6993390223888889,18.0
groES,CH10_PSEPK,Gros,10 kDa chaperonin,0.6673051615555555,19.0
rpsJ,RS10_PSEPK,Rpsj,30S ribosomal protein S10,0.6022360327222223,20.0
tsf,EFTS_PSEPK,Tsf,Elongation factor Ts,0.6003274598888889,21.0
rpsG,RS7_PSEPK,Rpsg,30S ribosomal protein S7,0.577883489,22.0
rplP,RL16_PSEPK,Rplp,50S ribosomal protein L16,0.5569315073888889,23.0
rpsA,Q88M03_PSEPK,Rpsa,30S ribosomal protein S1,0.5558152980000001,24.0
rplD,RL4_PSEPK,Rpld,50S ribosomal protein L4,0.540606766,25.0
rpsP,RS16_PSEPK,Rpsp,30S ribosomal protein S16,0.5373351269444444,26.0
atpD,ATPB_PSEPK,Atpd,ATP synthase subunit beta,0.5287377389444444,27.0
rplB,RL2_PSEPK,Rplb,50S ribosomal protein L2,0.523977727611111,28.0
rpsI,RS9_PSEPK,Rpsi,30S ribosomal protein S9,0.5173279592222222,29.0
oprD,Q88NK1_PSEPK,Oprd,Porin D,0.5008446336666666,30.0
eda,Q88P29_PSEPK,Eda,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,0.4990158402777778,31.0
tsaA,Q88NW9_PSEPK,Pp_1084,"Antioxidant, AhpC/Tsa family",0.49254032705555556,32.0
rplJ,RL10_PSEPK,Rplj,50S ribosomal protein L10,0.4868794742222222,33.0
oprF,Q88L46_PSEPK,Oprf,Outer membrane protein OprF,0.48506271455555555,34.0
cspA-II,Q88K29_PSEPK,Cspa-2,Cold shock protein CspA,0.47931377411111115,35.0
sucB,Q88FB0_PSEPK,Kgdb,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,0.4789607308888889,36.0
aldB-II,Q88JG9_PSEPK,Pp_2680,Aldehyde dehydrogenase family protein,0.4697934292222222,37.0
rplC,RL3_PSEPK,Rplc,50S ribosomal protein L3,0.46622277511111115,38.0
glnA,Q88CY3_PSEPK,Glna,Glutamine synthetase,0.46398625561111106,39.0
rpsC,RS3_PSEPK,Rpsc,30S ribosomal protein S3,0.4442027531111111,40.0
rpsH,RS8_PSEPK,Rpsh,30S ribosomal protein S8,0.44184436205555555,41.0
rplF,RL6_PSEPK,Rplf,50S ribosomal protein L6,0.44128107911111114,42.0
lpdG,Q88FB1_PSEPK,Lpdg,Dihydrolipoyl dehydrogenase,0.44092671583333337,43.0
rpsD,RS4_PSEPK,Rpsd,30S ribosomal protein S4,0.42196901772222223,44.0
aceE,Q88QZ5_PSEPK,Acee,Pyruvate dehydrogenase E1 component,0.4084324202222222,45.0
efp,EFP_PSEPK,Efp,Elongation factor P,0.4064203203333333,46.0
rplX,RL24_PSEPK,Rplx,50S ribosomal protein L24,0.39986232094444446,47.0
PP_1366,Q88N50_PSEPK,Pp_1366,"Transcriptional regulator MvaT, P16 subunit",0.3964596635,48.0
rplO,RL15_PSEPK,Rplo,50S ribosomal protein L15,0.39600905766666666,49.0
rplM,RL13_PSEPK,Rplm,50S ribosomal protein L13,0.3946114901666667,50.0
rpoA,RPOA_PSEPK,Rpoa,DNA-directed RNA polymerase subunit alpha,0.394270263,51.0
rplI,RL9_PSEPK,Rpli,50S ribosomal protein L9,0.3931287683333333,52.0
rpsB,RS2_PSEPK,Rpsb,30S ribosomal protein S2,0.38567696116666667,53.0
rpsF,RS6_PSEPK,Rpsf,30S ribosomal protein S6,0.3834928986111111,54.0
rpsE,RS5_PSEPK,Rpse,30S ribosomal protein S5,0.3755808705,55.0
rpsL,RS12_PSEPK,Rpsl,30S ribosomal protein S12,0.3741791905,56.0
ndk,NDK_PSEPK,Ndk,Nucleoside diphosphate kinase,0.3688044653888889,57.0
capB,Q88NV5_PSEPK,Pp_1099,Cold-shock domain family protein,0.36395565644444444,58.0
rplY,RL25_PSEPK,Rply,50S ribosomal protein L25,0.3629425132222222,59.0
aphA,APHA_ECOLI,Apha,Class B acid phosphatase,0.36108112844444445,60.0
oprI,Q88KG8_PSEPK,Opri,Outer membrane lipoprotein OprI,0.36014887411111113,61.0
rpsR,RS18_PSEPK,Rpsr,30S ribosomal protein S18,0.3573739659444445,62.0
atpA,ATPA_PSEPK,Atpa,ATP synthase subunit alpha,0.35178202805555553,63.0
acnB,Q88KF1_PSEPK,Acnb,Aconitate hydratase B,0.35046813361111107,64.0
rplU,RL21_PSEPK,Rplu,50S ribosomal protein L21,0.34997390133333334,65.0
aceA,Q88FI0_PSEPK,Acea,Isocitrate lyase,0.34974637783333334,66.0
qedH-I,Q88JH5_PSEPK,Qedh,Quinoprotein ethanol dehydrogenase,0.34914279138888893,67.0
rplR,RL18_PSEPK,Rplr,50S ribosomal protein L18,0.34607166472222217,68.0
rpsM,RS13_PSEPK,Rpsm,30S ribosomal protein S13,0.34080083922222226,69.0
rpsN,RS14_PSEPK,Rpsn,30S ribosomal protein S14,0.32205528666666666,70.0
idh,Q88FS1_PSEPK,Pp_4012,"Isocitrate dehydrogenase, NADP-dependent, monomeric-type",0.3131550060555555,71.0
rpmC,RL29_PSEPK,Rpmc,50S ribosomal protein L29,0.3100867012222222,72.0
