Locus number,Protein name,Source (Flux-RETAP or Heuristic),RbTn-Seq Essential?,Mean isoprenol titer (mg/L),dCas9/control,Target/control,Passed DBTL0 filter?,Used after DBTL2/3?
PP_0001,Probable chromosome-partitioning protein ParB,FR,N,58.03,1.04,0.08,False,False
PP_0103,Cytochrome c oxidase subunit 2 (EC 7.1.1.9),FR,N,183.52,0.2,,False,False
PP_0104,Cytochrome c oxidase subunit 1 (EC 7.1.1.9),FR,N,130.41,1.11,,False,False
PP_0105,Cytochrome c oxidase assembly protein CtaG,FR,N,144.84,0.96,,False,False
PP_0106,cytochrome-c oxidase (EC 7.1.1.9) (Cytochrome aa3 subunit 3) (Cytochrome c oxidase polypeptide III),FR,N,125.03,1.09,,False,False
PP_0168,Surface adhesion protein,H,N,196.29,1.13,0.03,True,False
PP_0225,Sulfur compound ABC transporter-ATP-binding subunit,FR,N,119.72,1.79,,False,False
PP_0226,Sulfur compound ABC transporter-permease subunit,FR,N,139.64,1.13,0.06,True,False
PP_0277,Lipoprotein,H,Y,126.66,0.92,,False,False
PP_0338,Acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12),H,Y,211.49,0.02,0.82,False,False
PP_0362,Biotin synthase (EC 2.8.1.6),H,N,215.79,0.03,,False,False
PP_0368,Acyl-CoA dehydrogenase,H,N,236.68,0.94,0.03,True,True
PP_0437,Bifunctional ligase/repressor BirA (Biotin operon repressor) (Biotin--[acetyl-CoA-carboxylase] ligase) (EC 6.3.4.15) (Biotin--protein ligase) (Biotin-[acetyl-CoA carboxylase] synthetase),H,Y,225.59,0.85,0.04,True,True
PP_0528,"Farnesyl diphosphate synthase (EC 2.5.1.1, EC 2.5.1.10)",H,Y,393.7,0.89,0.14,True,True
PP_0548,Flavin prenyltransferase UbiX (EC 2.5.1.129),H,Y,304.89,0.95,,False,False
PP_0582,Thiolase family protein,H,N,165.48,0.68,0.62,False,False
PP_0597,Methylmalonate-semialdehyde dehydrogenase (EC 1.2.1.27),H,N,163.8,1.11,0.02,True,False
PP_0654,Probable malate dehydrogenase (EC 1.1.1.37),H,N,112.83,0.83,0.2,True,False
PP_0658,Homocysteine S-methyltransferase family protein,FR,N,130.08,0.97,0.01,True,False
PP_0691,Glutamate 5-kinase (EC 2.7.2.11) (Gamma-glutamyl kinase) (GK),FR,N,155.04,0.06,0.96,False,False
PP_0751,Probable malate:quinone oxidoreductase 1 (EC 1.1.5.4) (MQO 1) (Malate dehydrogenase [quinone] 1),H,Y,211.03,1.13,0.04,True,True
PP_0774,Phosphate acetyltransferase (EC 2.3.1.8) (Phosphotransacetylase),H,N,142.33,0.49,0.08,True,False
PP_0806,Surface adhesion protein,H,N,212.08,1.0,,False,False
PP_0812,Ubiquinol oxidase subunit 2,FR,Y,244.11,0.68,0.24,True,True
PP_0813,Cytochrome bo(3) ubiquinol oxidase subunit 1 (EC 7.1.1.3) (Cytochrome o ubiquinol oxidase subunit 1) (Oxidase bo(3) subunit 1) (Ubiquinol oxidase polypeptide I) (Ubiquinol oxidase subunit 1),FR,Y,267.8,0.91,0.17,True,True
PP_0814,Cytochrome bo(3) ubiquinol oxidase subunit 3 (Cytochrome o ubiquinol oxidase subunit 3) (Oxidase bo(3) subunit 3) (Ubiquinol oxidase polypeptide III) (Ubiquinol oxidase subunit 3),FR,Y,312.4,0.03,,True,True
PP_0815,Cytochrome bo(3) ubiquinol oxidase subunit 4 (Cytochrome o ubiquinol oxidase subunit 4) (Oxidase bo(3) subunit 4) (Ubiquinol oxidase polypeptide IV) (Ubiquinol oxidase subunit 4),FR,Y,258.98,0.36,,True,True
PP_0897,Fumarate hydratase class I (EC 4.2.1.2),H,Y,95.12,0.25,0.63,True,False
PP_0944,Fumarate hydratase class II (Fumarase C) (EC 4.2.1.2) (Aerobic fumarase) (Iron-independent fumarase),H,N,97.99,0.74,0.69,True,False
PP_0999,Carbamate kinase,FR,N,148.3,0.58,0.07,True,False
PP_1023,6-phosphogluconolactonase (6PGL) (EC 3.1.1.31),FR,Y,132.64,0.07,0.9,False,False
PP_1031,Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205),FR,Y,119.89,0.79,0.89,False,False
PP_1157,Acetolactate synthase,H,Y,167.83,0.94,,False,False
