Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,2683333.333,0.061379178,-1.211978935
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,3250000,0.079719562,-1.098435096
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,2726666.667,0.074077085,-1.130316116
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,648630.4333,0.01483692,-1.828656239
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,1514597.4,0.037151705,-1.43002125
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,1007657.267,0.027375665,-1.562635324
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,1850000,0.042317321,-1.373481833
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,2016666.667,0.04946701,-1.305684337
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,1218765.633,0.03311098,-1.480027966
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,1895953.333,0.043368468,-1.362825918
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,2373083,0.058209581,-1.235005528
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,2472027.667,0.067159145,-1.172894838
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,547509.7333,0.012523862,-1.902261717
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,781908.0333,0.019179497,-1.717162781
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,902098.9667,0.024507896,-1.61069398
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,12442.1,0.000284603,-3.545759874
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,23156.36667,0.000568005,-3.245648039
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,21102.23333,0.000573298,-3.241619745
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,464215.0333,0.01061856,-1.97393436
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,171908.7333,0.004216766,-2.375020516
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,296755.6333,0.008062149,-2.093549193
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,1318409,0.030157588,-1.520603402
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,398213.4,0.009767815,-2.010202586
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,766556.9667,0.02082554,-1.68140373
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,891184.3333,0.020385153,-1.690686018
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,841573.3333,0.020643033,-1.685226491
A0A140FW35,A0A140FW35_PSEPK,Rluc,Pseudouridine synthase,PP_0812_15,738765.6333,0.020070515,-1.697441481
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,377789.7333,0.008641648,-2.06340341
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,632320.1,0.01551024,-1.809381469
A0A140FW57,A0A140FW57_PSEPK,Rmf,Ribosome modulation factor,PP_0812_15,16296.9,0.000442748,-3.353843165
A0A140FW92,A0A140FW92_PSEPK,Pp_5538,"ABC transporter, substrate-binding protein",PP_0812_15,16589.46667,0.000379471,-3.420821137
