Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,BL_241101_PP_0812_15,398748.8667,0.070351727,-1.15272524
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,BL_241101_PP_0812_15,236845.8067,0.043820157,-1.358326068
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,BL_241101_PP_0812_15,672138,0.101658508,-0.992856271
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,BL_241101_PP_0812_15,535575.2,0.094492156,-1.024604243
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,BL_241101_PP_0812_15,296108.1067,0.054784604,-1.261341471
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,BL_241101_PP_0812_15,223971.6667,0.033874927,-1.470121638
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,BL_241101_PP_0812_15,40011.86667,0.00705934,-2.151235889
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,BL_241101_PP_0812_15,3712.22,0.000686818,-3.163158062
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,BL_241101_PP_0812_15,306269.6667,0.046322209,-1.334210734
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,BL_241101_PP_0812_15,207658.6667,0.03663746,-1.436074641
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,BL_241101_PP_0812_15,204753.3333,0.037882551,-1.421560787
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,BL_241101_PP_0812_15,126751.3333,0.019170693,-1.717362183
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,BL_241101_PP_0812_15,102324.3333,0.018053201,-1.743445778
