From,Locus,Source,To,Letter,Func
P0A151,PP_0001,FluxRETAP,COG3312,F,Phosphoribosylaminoimidazole carboxylase (NCAIR synthetase)
Q88RM6,PP_0103,FluxRETAP,COG0776,F,Formate-dependent phosphoribosylglycinamide formyltransferase (GAR transformylase)
Q88RM5,PP_0104,FluxRETAP,COG0563,E H,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
Q88RM4,PP_0105,FluxRETAP,COG1475,E H,Acetolactate synthase large subunit or other thiamine pyrophosphate-requiring enzyme
Q88RM3,PP_0106,FluxRETAP,COG0028,G,Phosphoglucomutase/phosphomannomutase
Q88RG2,PP_0168,Heuristics,COG0356,C,Malate/lactate dehydrogenase
Q88RG2,PP_0168,Heuristics,COG0711,C,"Succinyl-CoA synthetase, beta subunit"
Q88RA8,PP_0225,FluxRETAP,COG0712,E H,Ketol-acid reductoisomerase
Q88RA7,PP_0226,FluxRETAP,COG0026,C,"Succinyl-CoA synthetase, alpha subunit"
Q88QZ6,PP_0338,Heuristics,COG1109,E,Prephenate dehydratase
Q88QX2,PP_0362,Heuristics,COG0212,C,Fumarate hydratase class II
Q88QW6,PP_0368,Heuristics,COG0624,C,Fumarate hydratase class II
Q88QQ1,PP_0437,Heuristics,COG0129,E,Isopropylmalate/homocitrate/citramalate synthases
Q88QQ1,PP_0437,Heuristics,COG2303,E,5-enolpyruvylshikimate-3-phosphate synthase
Q88QG6,PP_0528,Heuristics,COG1923,G E,Dihydroxyacid dehydratase/phosphogluconate dehydratase
Q88QE6,PP_0548,Heuristics,COG4221,H,Geranylgeranyl pyrophosphate synthase
Q88QB2,PP_0582,Heuristics,COG0247,F,Phosphoribosylaminoimidazole-succinocarboxamide synthase
Q88Q97,PP_0597,Heuristics,COG0277,H,Flavin prenyltransferase UbiX
Q88Q44,PP_0654,Heuristics,COG0479,F,Dihydroorotate dehydrogenase
Q88Q40,PP_0658,FluxRETAP,COG0365,I,Acetyl-CoA acetyltransferase
Q88Q07,PP_0691,FluxRETAP,COG0440,I,Acetyl-CoA acetyltransferase
Q88PU7,PP_0751,Heuristics,COG0059,I,Acetyl-CoA acetyltransferase
Q88PS4,PP_0774,Heuristics,COG1012,I,Acetyl-CoA acetyltransferase
Q88PS4,PP_0774,Heuristics,COG1271,I,Acetyl-CoA acetyltransferase
Q88PP2,PP_0806,Heuristics,COG1294,I,Acetyl-CoA acetyltransferase
Q88PP2,PP_0806,Heuristics,COG0183,H,5-formyltetrahydrofolate cyclo-ligase
Q88PP2,PP_0806,Heuristics,COG3007,C,"Fe-S cluster-containing oxidoreductase, includes glycolate oxidase subunit GlcF"
Q88PP2,PP_0806,Heuristics,COG0318,E,Glutamate 5-kinase
Q88PN7,PP_0812,FluxRETAP,COG0318,C,FAD/FMN-containing lactate dehydrogenase/glycolate oxidase
Q88PN6,PP_0813,FluxRETAP,COG0365,C,"Phosphotransacetylase (includes Pta, EutD and phosphobutyryltransferase)"
Q88PN5,PP_0814,FluxRETAP,COG0503,E,Prephenate dehydrogenase
Q88PN4,PP_0815,FluxRETAP,COG0372,F,Folate-dependent phosphoribosylglycinamide formyltransferase PurN
Q88PF3,PP_0897,Heuristics,COG2009,I Q,3-oxoacyl-(acyl-carrier-protein) synthase
Q88PF3,PP_0897,Heuristics,COG2142,I,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)
Q88PA6,PP_0944,Heuristics,COG1053,I,O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)
Q88P54,PP_0999,FluxRETAP,COG0567,H,Biotin-protein ligase
Q88P30,PP_1023,FluxRETAP,COG0508,C,"FoF1-type ATP synthase, membrane subunit a"
Q88P22,PP_1031,FluxRETAP,COG1249,G,6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase
Q88P22,PP_1031,FluxRETAP,COG0045,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q877U6,PP_1157,Heuristics,COG0074,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88NG9,PP_1240,FluxRETAP,COG0304,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88NF9,PP_1251,Heuristics,COG0764,I,Acyl-coenzyme A synthetase/AMP-(fatty) acid ligase
Q88N95,PP_1317,FluxRETAP,COG2060,C,Citrate synthase
Q88N94,PP_1318,FluxRETAP,COG2156,C,NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase
Q88N93,PP_1319,FluxRETAP,COG1008,E,"Acetolactate synthase, small subunit"
Q88N22,PP_1394,Heuristics,COG0713,C,"Succinate dehydrogenase/fumarate reductase, Fe-S protein subunit"
Q88MX4,PP_1444,Heuristics,COG1894,L,Broad specificity polyphosphatase and 5'/3'-nucleotidase SurE
Q88MW1,PP_1457,FluxRETAP,COG1905,H,Biotin synthase or related enzyme
P0A136,PP_1506,FluxRETAP,COG0649,F,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein
Q88MG4,PP_1607,Heuristics,COG0852,F,CTP synthase (UTP-ammonia lyase)
Q88MG1,PP_1610,FluxRETAP,COG0377,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
Q88MF1,PP_1620,FluxRETAP,COG0838,C,"Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component"
Q88MB0,PP_1664,FluxRETAP,COG2224,F,IMP dehydrogenase/GMP reductase
Q88M20,PP_1755,Heuristics,COG1023,T,CBS domain
Q88M06,PP_1769,FluxRETAP,COG2838,C,Isocitrate dehydrogenase
Q88M06,PP_1769,FluxRETAP,COG0538,E,Carbamate kinase
Q88M05,PP_1770,FluxRETAP,COG1250,F,Adenylate kinase or related kinase
Q88M05,PP_1770,FluxRETAP,COG0183,C,"2-oxoglutarate dehydrogenase complex, dehydrogenase (E1) component, and related enzymes"
Q88LZ9,PP_1777,Heuristics,COG2186,G,L-2-hydroxyglutarate oxidase LhgO
Q88L40,PP_2095,FluxRETAP,COG0033,G,L-2-hydroxyglutarate oxidase LhgO
Q88L24,PP_2112,Heuristics,COG0119,G,L-2-hydroxyglutarate oxidase LhgO
Q88L02,PP_2136,Heuristics,COG0183,E,Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase
Q88L02,PP_2136,Heuristics,COG1250,C,NADH:ubiquinone oxidoreductase 49 kD subunit (chain D)
Q88L01,PP_2137,Heuristics,COG0183,C,"FoF1-type ATP synthase, membrane subunit b or b'"
