Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Replicate,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0378,R1,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0378,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0378,R3,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0379,R1,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0379,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0379,R3,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_1,R1,54672.56,0.005128557,-2.290004776
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_1,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_1,R3,71664.90667,0.006706111,-2.173529264
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_2,R1,49437.06667,0.004364325,-2.360082928
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_2,R2,70811.32333,0.006369783,-2.195875339
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_2,R3,14998.9,0.001359979,-2.866467746
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_3,R1,123719.41,0.012214034,-1.913140891
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_3,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0977_3,R3,858.975,8.74e-05,-4.058314324
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0986,R1,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0986,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_0986,R3,29811.26667,0.003236175,-2.489968033
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1018,R1,3159.27,0.000312891,-3.504606975
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1018,R2,1285.75,0.000117778,-3.928936354
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1018,R3,91947.70333,0.008525636,-2.069273225
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1593,R1,5966.32,0.000605942,-3.217568736
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1593,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1593,R3,40684.30667,0.003954984,-2.40285532
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_1,R1,22313.18667,0.002129327,-2.671757547
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_1,R2,70606.24667,0.006469249,-2.189146136
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_1,R3,16876.52667,0.001610737,-2.792975437
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_2,R1,143306.4,0.013403583,-1.872779096
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_2,R2,2701.63,0.000262541,-3.580803474
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_2,R3,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_3,R1,205596.5333,0.013898332,-1.857037323
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_3,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1638_3,R3,5487.55,0.00051352,-3.289442548
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1982,R1,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1982,R2,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_1982,R3,51752.62,0.005013405,-2.299867188
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2664,R1,33815.33333,0.003524926,-2.452850026
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2664,R2,37359.36667,0.003585601,-2.445438055
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2664,R3,88516.14667,0.008594489,-2.065779962
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2665,R1,42559.52667,0.004444603,-2.352167001
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2665,R2,73011.84667,0.007409908,-2.130187196
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2665,R3,3820.58,0.000390473,-3.408409382
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2680,R1,6829.92,0.000665966,-3.17654826
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2680,R2,4886.7,0.000469632,-3.328242247
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_2680,R3,5682.9,0.000531088,-3.274833244
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_3379,R1,0.0,1e-05,-5.0
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_3379,R2,46084.65333,0.004304147,-2.366112878
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_3379,R3,22813.87333,0.002084407,-2.681017537
A0A140FVW8,A0A140FVW8_PSEPK,Pp_5424,Transcriptional regulator,PP_3416,R1,8053.42,0.000812763,-3.090035904
