From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (ordered locus)	Gene Names (ORF)	Gene Names (primary)	Gene Names (synonym)
P0AE22	P0AE22	reviewed	APHA_ECOLI	Class B acid phosphatase (CBAP) (EC 3.1.3.2)	aphA napA yjbP b4055 JW4015	Escherichia coli (strain K12)	237	b4055 JW4015		aphA	napA yjbP
A9GAJ9	A9GAJ9	unreviewed	A9GAJ9_SORC5	Methylmalonyl-CoA mutase (EC 5.4.99.2)	mcm sce2716	Sorangium cellulosum (strain So ce56) (Polyangium cellulosum (strain So ce56))	882	sce2716		mcm	
J5JYK1	J5JYK1	unreviewed	J5JYK1_BEAB2	Polyketide synthase	BBA_03810	Beauveria bassiana (strain ARSEF 2860) (White muscardine disease fungus) (Tritirachium shiotae)	2413		BBA_03810		
K4JH65	K4JH65	unreviewed	K4JH65_9ACTN	3 hydroxyacyl CoA dehydrogenase	gdnD	Streptomyces sp. K01-0509	289			gdnD	
O77727	O77727	reviewed	K1C15_SHEEP	Keratin, type I cytoskeletal 15 (Cytokeratin-15) (CK-15) (Keratin-15) (K15)	KRT15	Ovis aries (Sheep)	453			KRT15	
O82803	O82803	reviewed	SRPP_HEVBR	Small rubber particle protein (HbSRPP) (22 kDa rubber particle protein) (22 kDa RPP) (27 kDa natural rubber allergen) (Latex allergen Hev b 3) (allergen Hev b 3)	SRPP HEVB3	Hevea brasiliensis (Para rubber tree) (Siphonia brasiliensis)	204			SRPP	HEVB3
O85207	O85207	reviewed	PHAG_PSEPK	(R)-3-hydroxydecanoyl-ACP:CoA transacylase (EC 2.4.1.-) (3-hydroxyacyl-CoA-acyl carrier protein transferase)	phaG PP_1408	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	295	PP_1408		phaG	
P00552	P00552	reviewed	KKA2_KLEPN	Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (APH(3')-II) (APH(3')II) (Kanamycin kinase, type II) (Neomycin-kanamycin phosphotransferase type II)	neo kan nptII	Klebsiella pneumoniae	264			neo	kan nptII
P00698	P00698	reviewed	LYSC_CHICK	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)	LYZ	Gallus gallus (Chicken)	147			LYZ	
P00761	P00761	reviewed	TRYP_PIG	Trypsin (EC 3.4.21.4)		Sus scrofa (Pig)	231				
P02539	P02539	reviewed	K2M1_SHEEP	Keratin, type II microfibrillar (Low-sulfur keratin)		Ovis aries (Sheep)	109				
