Protein.Group,Protein.Names,Protein,Protein.Description,Sample,Top_3pep_counts_mean,%_of protein_abundance_Top3-method,log10_%_abundance
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,364044.0667,0.066444395,-1.177541651
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,340638.4,0.062001648,-1.207596765
A0A140FVX0,A0A140FVX0_PSEPK,Pp_5426,Uncharacterized protein,PP_0812_15,378151,0.067285401,-1.172079154
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,222481.8733,0.040606824,-1.391400975
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,391248.1667,0.071213437,-1.147438053
A0A140FVX4,A0A140FVX4_PSEPK,Pntaa,proton-translocating NAD(P)(+) transhydrogenase,PP_0812_15,367011.7667,0.065303368,-1.185064419
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0812_15,57570.60667,0.01050764,-1.978494802
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0812_15,68757.96667,0.012515052,-1.902567344
A0A140FVX8,A0A140FVX8_PSEPK,Pp_5432,DUF2789 domain-containing protein,PP_0812_15,50369.65933,0.008962406,-2.047575393
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,225130.3333,0.041090214,-1.386261594
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,176175.3333,0.032066734,-1.493945267
A0A140FVZ0,A0A140FVZ0_PSEPK,Lptd,LPS-assembly protein LptD,PP_0812_15,214482.3333,0.038163405,-1.418352881
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,58546.27333,0.010685717,-1.971196352
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,87286.26667,0.0158875,-1.79894445
A0A140FVZ1,A0A140FVZ1_PSEPK,Fdog,Formate dehydrogenase-O major subunit,PP_0812_15,69103.9,0.012295839,-1.910241849
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,120381.9667,0.02197181,-1.658134174
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,85942.4,0.015642894,-1.805682891
A0A140FVZ6,A0A140FVZ6_PSEPK,Rlud,Pseudouridine synthase,PP_0812_15,62428.326,0.011108036,-1.954362717
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,5148.52,0.000939695,-3.027013204
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,0,1.00E-05,-5
A0A140FW16,A0A140FW16_PSEPK,Pp_5467,DUF945 family protein,PP_0812_15,786.478,0.00013994,-3.854057828
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,13401.18,0.002445949,-2.611552568
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,16484.33333,0.003000413,-2.522818981
A0A140FW18,A0A140FW18_PSEPK,Pp_5469,SAM-dependent methyltransferase,PP_0812_15,29175.29267,0.005191236,-2.284729186
A0A140FW22,A0A140FW22_PSEPK,Prfb,Peptide chain release factor 2,PP_0812_15,140884.3333,0.025713849,-1.589832907
