Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method,Rank
P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,3.3525587937777774,1.0
P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,2.5071659682777776,2.0
Q88N55,CH60_PSEPK,Grol,60 kDa chaperonin,2.283662603333333,3.0
P23181,AACC1_PSEAI,Aacc1,Gentamicin 3-N-acetyltransferase,1.9737175727222223,4.0
Q88QN7,EFTU2_PSEPK,Tufb,Elongation factor Tu-B,1.8135643483333332,5.0
Q835L3,Q835L3_ENTFA,Ef_1364,"Acetyl-CoA acetyltransferase/hydroxymethylglutaryl-CoA reductase, degradative",1.4604563318333335,6.0
P0A157,RL7_PSEPK,Rpll,50S ribosomal protein L7/L12,1.334310207611111,7.0
Q88DU2,DNAK_PSEPK,Dnak,Chaperone protein DnaK,1.0946688158888889,8.0
Q88QP4,RL1_PSEPK,Rpla,50S ribosomal protein L1,1.0378501584444446,9.0
Q88FB2,SUCC_PSEPK,Succ,Succinyl-CoA ligase [ADP-forming] subunit beta,0.991579094,10.0
Q8PW39,Q8PW39_METMA,Mvk,Mevalonate kinase,0.9722017758333332,11.0
Q88QM3,RL5_PSEPK,Rple,50S ribosomal protein L5,0.7936782494444444,12.0
Q9FD71,HMGCS_ENTFL,Mvas,Hydroxymethylglutaryl-CoA synthase,0.7853642978333334,13.0
Q88QM6,RS17_PSEPK,Rpsq,30S ribosomal protein S17,0.7753103344444444,14.0
Q88KI7,Q88KI7_PSEPK,Hupb,DNA-binding protein HU-beta,0.7636716247222223,15.0
Q88FB3,Q88FB3_PSEPK,Sucd,Succinyl-CoA ligase [ADP-forming] subunit alpha,0.7482130173333333,16.0
Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase,0.7080887082777778,17.0
Q88QN8,EFG1_PSEPK,Fusa,Elongation factor G 1,0.6993390223888889,18.0
Q88N56,CH10_PSEPK,Gros,10 kDa chaperonin,0.6673051615555555,19.0
Q88QN6,RS10_PSEPK,Rpsj,30S ribosomal protein S10,0.6022360327222223,20.0
Q88MH9,EFTS_PSEPK,Tsf,Elongation factor Ts,0.6003274598888889,21.0
Q88QN9,RS7_PSEPK,Rpsg,30S ribosomal protein S7,0.577883489,22.0
Q88QM8,RL16_PSEPK,Rplp,50S ribosomal protein L16,0.5569315073888889,23.0
Q88M03,Q88M03_PSEPK,Rpsa,30S ribosomal protein S1,0.5558152980000001,24.0
Q88QN4,RL4_PSEPK,Rpld,50S ribosomal protein L4,0.540606766,25.0
Q88MV6,RS16_PSEPK,Rpsp,30S ribosomal protein S16,0.5373351269444444,26.0
Q88BX4,ATPB_PSEPK,Atpd,ATP synthase subunit beta,0.5287377389444444,27.0
Q88QN2,RL2_PSEPK,Rplb,50S ribosomal protein L2,0.523977727611111,28.0
Q88N96,RS9_PSEPK,Rpsi,30S ribosomal protein S9,0.5173279592222222,29.0
Q88NK1,Q88NK1_PSEPK,Oprd,Porin D,0.5008446336666666,30.0
Q88P29,Q88P29_PSEPK,Eda,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,0.4990158402777778,31.0
Q88NW9,Q88NW9_PSEPK,Pp_1084,"Antioxidant, AhpC/Tsa family",0.49254032705555556,32.0
Q88QP3,RL10_PSEPK,Rplj,50S ribosomal protein L10,0.4868794742222222,33.0
Q88L46,Q88L46_PSEPK,Oprf,Outer membrane protein OprF,0.48506271455555555,34.0
Q88K29,Q88K29_PSEPK,Cspa-2,Cold shock protein CspA,0.47931377411111115,35.0
Q88FB0,Q88FB0_PSEPK,Kgdb,Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex,0.4789607308888889,36.0
Q88JG9,Q88JG9_PSEPK,Pp_2680,Aldehyde dehydrogenase family protein,0.4697934292222222,37.0
Q88QN5,RL3_PSEPK,Rplc,50S ribosomal protein L3,0.46622277511111115,38.0
Q88CY3,Q88CY3_PSEPK,Glna,Glutamine synthetase,0.46398625561111106,39.0
Q88QM9,RS3_PSEPK,Rpsc,30S ribosomal protein S3,0.4442027531111111,40.0
Q88QM1,RS8_PSEPK,Rpsh,30S ribosomal protein S8,0.44184436205555555,41.0
Q88QM0,RL6_PSEPK,Rplf,50S ribosomal protein L6,0.44128107911111114,42.0
Q88FB1,Q88FB1_PSEPK,Lpdg,Dihydrolipoyl dehydrogenase,0.44092671583333337,43.0
Q88QL2,RS4_PSEPK,Rpsd,30S ribosomal protein S4,0.42196901772222223,44.0
Q88QZ5,Q88QZ5_PSEPK,Acee,Pyruvate dehydrogenase E1 component,0.4084324202222222,45.0
Q88LS0,EFP_PSEPK,Efp,Elongation factor P,0.4064203203333333,46.0
Q88QM4,RL24_PSEPK,Rplx,50S ribosomal protein L24,0.39986232094444446,47.0
Q88N50,Q88N50_PSEPK,Pp_1366,"Transcriptional regulator MvaT, P16 subunit",0.3964596635,48.0
Q88QL6,RL15_PSEPK,Rplo,50S ribosomal protein L15,0.39600905766666666,49.0
Q88N97,RL13_PSEPK,Rplm,50S ribosomal protein L13,0.3946114901666667,50.0
Q88QL1,RPOA_PSEPK,Rpoa,DNA-directed RNA polymerase subunit alpha,0.394270263,51.0
Q88DF1,RL9_PSEPK,Rpli,50S ribosomal protein L9,0.3931287683333333,52.0
Q88MI0,RS2_PSEPK,Rpsb,30S ribosomal protein S2,0.38567696116666667,53.0
Q88DE8,RS6_PSEPK,Rpsf,30S ribosomal protein S6,0.3834928986111111,54.0
P00761,TRYP_PIG,Tryp_pig,Trypsin,0.3771378383333333,55.0
Q88QL8,RS5_PSEPK,Rpse,30S ribosomal protein S5,0.3755808705,56.0
Q88QP0,RS12_PSEPK,Rpsl,30S ribosomal protein S12,0.3741791905,57.0
Q88PK1,NDK_PSEPK,Ndk,Nucleoside diphosphate kinase,0.3688044653888889,58.0
Q88NV5,Q88NV5_PSEPK,Pp_1099,Cold-shock domain family protein,0.36395565644444444,59.0
Q88PX7,RL25_PSEPK,Rply,50S ribosomal protein L25,0.3629425132222222,60.0
P0AE22,APHA_ECOLI,Apha,Class B acid phosphatase,0.36108112844444445,61.0
Q88KG8,Q88KG8_PSEPK,Opri,Outer membrane lipoprotein OprI,0.36014887411111113,62.0
Q88DE9,RS18_PSEPK,Rpsr,30S ribosomal protein S18,0.3573739659444445,63.0
Q88BX2,ATPA_PSEPK,Atpa,ATP synthase subunit alpha,0.35178202805555553,64.0
Q88KF1,Q88KF1_PSEPK,Acnb,Aconitate hydratase B,0.35046813361111107,65.0
Q88Q10,RL21_PSEPK,Rplu,50S ribosomal protein L21,0.34997390133333334,66.0
Q88FI0,Q88FI0_PSEPK,Acea,Isocitrate lyase,0.34974637783333334,67.0
Q88JH5,Q88JH5_PSEPK,Qedh,Quinoprotein ethanol dehydrogenase,0.34914279138888893,68.0
Q88QL9,RL18_PSEPK,Rplr,50S ribosomal protein L18,0.34607166472222217,69.0
Q88QL3,RS13_PSEPK,Rpsm,30S ribosomal protein S13,0.34080083922222226,70.0
Q88QM2,RS14_PSEPK,Rpsn,30S ribosomal protein S14,0.32205528666666666,71.0
Q88FS1,Q88FS1_PSEPK,Pp_4012,"Isocitrate dehydrogenase, NADP-dependent, monomeric-type",0.3131550060555555,72.0
Q88QM7,RL29_PSEPK,Rpmc,50S ribosomal protein L29,0.3100867012222222,73.0
Q88DW0,PNP_PSEPK,Pnp,Polyribonucleotide nucleotidyltransferase,0.3077719506111111,74.0
Q88MV3,RL19_PSEPK,Rpls,50S ribosomal protein L19,0.3063745156666667,75.0
Q88NX1,Q88NX1_PSEPK,Bfr,Ferroxidase,0.2998231561111111,76.0
Q88FA9,Q88FA9_PSEPK,Kgda,"2-oxoglutarate dehydrogenase, E1 component",0.29968520777777774,77.0
P59374,RS11_PSEPK,Rpsk,30S ribosomal protein S11,0.2978260618333333,78.0
Q88QU0,Q88QU0_PSEPK,Pp_0397,Uncharacterized protein,0.2940627183333333,79.0
Q88K24,RL20_PSEPK,Rplt,50S ribosomal protein L20,0.2917020517222222,80.0
Q88FA8,Q88FA8_PSEPK,Sdhb,"Succinate dehydrogenase, iron-sulfur protein",0.2838819161666667,81.0
Q88FB9,HTPG_PSEPK,Htpg,Chaperone protein HtpG,0.2810164031111111,82.0
Q88QP5,RL11_PSEPK,Rplk,50S ribosomal protein L11,0.2802735588888889,83.0
Q88CU5,Q88CU5_PSEPK,Maeb,Malic enzyme,0.2778286307222222,84.0
P0A138,PAL_PSEPK,Pal,Peptidoglycan-associated lipoprotein,0.27641650416666663,85.0
Q88QL0,RL17_PSEPK,Rplq,50S ribosomal protein L17,0.2745436351111111,86.0
Q88LL5,ACP_PSEPK,Acpp,Acyl carrier protein,0.2723575438888889,87.0
Q88QN0,RL22_PSEPK,Rplv,50S ribosomal protein L22,0.2717737231666667,88.0
Q88PD5,SODF_PSEPK,Sodb,Superoxide dismutase [Fe],0.2618536417222222,89.0
P0A165,RS21_PSEPK,Rpsu,30S ribosomal protein S21,0.2612694002777778,90.0
Q88QP2,RPOB_PSEPK,Rpob,DNA-directed RNA polymerase subunit beta,0.25628862983333334,91.0
Q88ES5,Q88ES5_PSEPK,Flic,Flagellin,0.2525503408888889,92.0
Q88QP1,RPOC_PSEPK,Rpoc,DNA-directed RNA polymerase subunit beta',0.24457709616666667,93.0
Q88KJ1,TIG_PSEPK,Tig,Trigger factor,0.2428272835,94.0
Q88DD8,PURA_PSEPK,Pura,Adenylosuccinate synthetase,0.23445634188888886,95.0
Q88QN3,RL23_PSEPK,Rplw,50S ribosomal protein L23,0.23288052944444443,96.0
Q88QM5,RL14_PSEPK,Rpln,50S ribosomal protein L14,0.2275734146111111,97.0
Q88HB7,Q88HB7_PSEPK,Pp_3443,"Glyceraldehyde-3-phosphate dehydrogenase, putative",0.22737842716666667,98.0
Q88FA4,Q88FA4_PSEPK,Glta,Citrate synthase,0.2268236796666667,99.0
Q88C99,RL28_PSEPK,Rpmb,50S ribosomal protein L28,0.22600868344444447,100.0
Q88P38,Q88P38_PSEPK,Pp_1015,"Sugar ABC transporter, periplasmic sugar-binding protein",0.2230645777777778,101.0
P59604,ASSY_PSEPK,Argg,Argininosuccinate synthase,0.21597565916666667,102.0
Q88QF6,IPYR_PSEPK,Ppa,Inorganic pyrophosphatase,0.21565113416666665,103.0
Q88FA7,Q88FA7_PSEPK,Sdha,Succinate dehydrogenase flavoprotein subunit,0.20920376883333333,104.0
Q88P30,Q88P30_PSEPK,Pgl,6-phosphogluconolactonase,0.20381190477777777,105.0
Q88IB0,Q88IB0_PSEPK,Pp_3089,Uncharacterized protein,0.20176658544444445,106.0
Q88EH6,ACSA1_PSEPK,Acsa1,Acetyl-coenzyme A synthetase 1,0.19683061416666667,107.0
Q88P31,Q88P31_PSEPK,Zwf-1,Glucose-6-phosphate 1-dehydrogenase,0.19141125844444443,108.0
Q88K26,IF3_PSEPK,Infc,Translation initiation factor IF-3,0.18959225744444444,109.0
Q88HI1,Q88HI1_PSEPK,Kgud,2-ketogluconate 6-phosphate reductase,0.1888343332777778,110.0
Q88QN1,RS19_PSEPK,Rpss,30S ribosomal protein S19,0.18876373588888887,111.0
Q88DU1,GRPE_PSEPK,Grpe,Protein GrpE,0.18375743827777777,112.0
Q88P68,Q88P68_PSEPK,Pp_0985,Cold-shock domain family protein,0.1835632298333333,113.0
Q88CY5,Q88CY5_PSEPK,Pp_5044,GTP-binding protein TypA/BipA,0.18237669494444445,114.0
Q88NM2,Q88NM2_PSEPK,Oprh,Outer membrane protein H1,0.17715122211111112,115.0
Q88QZ6,Q88QZ6_PSEPK,Acef,Acetyltransferase component of pyruvate dehydrogenase complex,0.172785416,116.0
Q88Q09,RL27_PSEPK,Rpma,50S ribosomal protein L27,0.17145630405555556,117.0
Q88NB5,Q88NB5_PSEPK,Aapj,"General amino acid ABC transporter, periplasmic binding protein",0.1707176863888889,118.0
Q88P34,Q88P34_PSEPK,Oprb-1,Porin B,0.16910474983333335,119.0
Q88PF3,Q88PF3_PSEPK,Pp_0897,"Fumarate hydratase, class I",0.15939141894444445,120.0
Q88P43,Q88P43_PSEPK,Edd,6-phosphogluconate dehydratase,0.15865907916666666,121.0
Q88Q27,GLYA2_PSEPK,Glya2,Serine hydroxymethyltransferase 2,0.15802454666666665,122.0
Q88RP6,TRPB_PSEPK,Trpb,Tryptophan synthase beta chain,0.15778105827777777,123.0
Q88LF1,Q88LF1_PSEPK,Ibpa,Heat-shock protein IbpA,0.15682761722222222,124.0
Q88P52,ARCA_PSEPK,Arca,Arginine deiminase,0.15595087483333334,125.0
Q88D67,Q88D67_PSEPK,Fda,"Fructose-1,6-bisphosphate aldolase",0.15552764227777777,126.0
Q88Q71,CLPB_PSEPK,Clpb,Chaperone protein ClpB,0.153908987,127.0
Q88IU6,Q88IU6_PSEPK,Ppib,Peptidyl-prolyl cis-trans isomerase,0.1537604723888889,128.0
Q88P44,Q88P44_PSEPK,Gap-1,Glyceraldehyde-3-phosphate dehydrogenase,0.15279970583333335,129.0
Q88D27,HSLU_PSEPK,Hslu,ATP-dependent protease ATPase subunit HslU,0.15209160777777778,130.0
Q88DV7,IF2_PSEPK,Infb,Translation initiation factor IF-2,0.15135756694444444,131.0
Q88F96,Q88F96_PSEPK,Pp_4202,"Electron transfer flavoprotein, beta subunit",0.1472428082777778,132.0
Q88P28,LEU1_PSEPK,Leua,2-isopropylmalate synthase,0.1458518731111111,133.0
Q88KI9,CLPX_PSEPK,Clpx,ATP-dependent Clp protease ATP-binding subunit ClpX,0.14571686866666667,134.0
Q88CM5,Q88CM5_PSEPK,Sera,D-3-phosphoglycerate dehydrogenase,0.1447281695,135.0
Q88DD3,HFQ_PSEPK,Hfq,RNA-binding protein Hfq,0.14383968044444445,136.0
Q88LE5,LEU3_PSEPK,Leub,3-isopropylmalate dehydrogenase,0.14306018811111113,137.0
Q88L53,Q88L53_PSEPK,Ppsa,Phosphoenolpyruvate synthase,0.14282236444444446,138.0
Q88KZ0,Q88KZ0_PSEPK,Gap-2,Glyceraldehyde-3-phosphate dehydrogenase,0.14111525966666666,139.0
Q88E01,Q88E01_PSEPK,Mmsa-2,Methylmalonate semialdehyde dehydrogenase,0.13852635155555557,140.0
Q88LL9,RL32_PSEPK,Rpmf,50S ribosomal protein L32,0.138395313,141.0
Q88EI9,AK_PSEPK,Pp_4473,Aspartate kinase,0.13698490455555556,142.0
Q88BX0,ATPF_PSEPK,Atpf,ATP synthase subunit b,0.13626128744444446,143.0
Q88NA8,Q88NA8_PSEPK,Cysnc,Sulfate adenylyltransferase subunit 1,0.13571484016666668,144.0
Q88P78,Q88P78_PSEPK,Hupn,"DNA-binding protein HU, form N",0.135151572,145.0
Q88P35,Q88P35_PSEPK,Pp_1018,"Sugar ABC transporter, ATP-binding subunit",0.1317511755,146.0
Q88H54,Q88H54_PSEPK,Ilve,Branched-chain-amino-acid aminotransferase,0.1315354331111111,147.0
Q88DY8,Q88DY8_PSEPK,Ilvb,Acetolactate synthase,0.13093609494444444,148.0
Q88P73,AMPA_PSEPK,Pepa,Probable cytosol aminopeptidase,0.13092098794444446,149.0
Q88CG7,Q88CG7_PSEPK,Rho,Transcription termination factor Rho,0.13091633916666667,150.0
Q88NJ4,SYDND_PSEPK,Asps,Aspartate--tRNA(Asp/Asn) ligase,0.130562338,151.0
Q88MH7,RRF_PSEPK,Frr,Ribosome-recycling factor,0.12977389233333333,152.0
Q88CG6,Q88CG6_PSEPK,Trx-2,Thioredoxin,0.1271614163888889,153.0
Q88QH6,RISB_PSEPK,Ribh,"6,7-dimethyl-8-ribityllumazine synthase",0.12562467877777778,154.0
Q88DV9,RS15_PSEPK,Rpso,30S ribosomal protein S15,0.12546346072222223,155.0
Q88PB7,Q88PB7_PSEPK,Mreb,Rod shape-determining protein MreB,0.1253935668888889,156.0
Q88C36,Q88C36_PSEPK,Accc-2,"Acetyl-CoA carboxylase, biotin carboxylase",0.12512931255555557,157.0
Q88HE4,Q88HE4_PSEPK,Gnuk,Gluconokinase,0.12401364983333335,158.0
Q88PX6,KPRS_PSEPK,Prs,Ribose-phosphate pyrophosphokinase,0.12304545955555556,159.0
Q88N54,Q88N54_PSEPK,Pyka,Pyruvate kinase,0.12293788644444444,160.0
Q88C37,Q88C37_PSEPK,Oada,"Oxaloacetate decarboxylase, alpha subunit",0.12226390883333334,161.0
Q88R66,Q88R66_PSEPK,Oprq,Outer membrane protein OprE3,0.12208340022222222,162.0
Q88QP8,EFTU1_PSEPK,Tufa,Elongation factor Tu-A,0.11933466844444444,163.0
Q88HH8,Q88HH8_PSEPK,Pp_3379,"Epimerase KguE, putative",0.11925740027777779,164.0
Q88IQ2,Q88IQ2_PSEPK,Pp_2947,"Transcriptional regulator MvaT, P16 subunit, putative",0.11771692688888888,165.0
Q88N71,LPXC_PSEPK,Lpxc,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,0.11767118316666665,166.0
Q88RM9,Q88RM9_PSEPK,Cynt,Carbonic anhydrase,0.117594947,167.0
Q88R99,Q88R99_PSEPK,Opre,Porin E,0.1161390796111111,168.0
P0A136,KAD_PSEPK,Adk,Adenylate kinase,0.11581354177777776,169.0
Q88DV6,Q88DV6_PSEPK,Nusa,Transcription termination/antitermination protein NusA,0.11529347166666667,170.0
Q88LR1,Q88LR1_PSEPK,Dead,ATP-dependent RNA helicase DeaD,0.11494120044444446,171.0
P0A147,HPF_PSEPK,Hpf,Ribosome hibernation promoting factor,0.11423182872222222,172.0
Q88DY9,Q88DY9_PSEPK,Ilvn,"Acetolactate synthase, small subunit",0.1140385831111111,173.0
Q88MF9,ENO_PSEPK,Eno,Enolase,0.11376819138888888,174.0
Q88CX7,SECB_PSEPK,Secb,Protein-export protein SecB,0.11375760622222224,175.0
Q88P21,GUAA_PSEPK,Guaa,GMP synthase [glutamine-hydrolyzing],0.1112262375,176.0
Q88DT9,Q88DT9_PSEPK,Fur,Transcriptional regulator Fur,0.10767621555555557,177.0
Q88DF8,Q88DF8_PSEPK,Pp_4867,"Branched-chain amino acid ABC transporter, periplasmic amino acid-binding protein",0.1071360581111111,178.0
Q88F97,Q88F97_PSEPK,Pp_4201,"Electron transfer flavoprotein, alpha subunit",0.10647680694444445,179.0
Q88D64,PGK_PSEPK,Pgk,Phosphoglycerate kinase,0.10385325388888889,180.0
Q88PN2,Q88PN2_PSEPK,Pp_0817,"Aminotransferase, class I",0.10381599916666667,181.0
Q88LL6,Q88LL6_PSEPK,Fabg,3-oxoacyl-(Acyl-carrier-protein) reductase,0.10294454288888889,182.0
P0A120,DPO3B_PSEPK,Dnan,DNA polymerase III subunit beta,0.10275774033333333,183.0
Q88K27,SYT_PSEPK,Thrs,Threonine--tRNA ligase,0.10209001749999999,184.0
Q88DU6,CARB_PSEPK,Carb,Carbamoyl-phosphate synthase large chain,0.1018469396111111,185.0
Q88P53,OTCC_PSEPK,Arcb,"Ornithine carbamoyltransferase, catabolic",0.10124751472222221,186.0
Q88LX8,Q88LX8_PSEPK,Gmd,"GDP-mannose 4,6-dehydratase",0.100720513,187.0
Q88KB9,Q88KB9_PSEPK,Cysi,"Sulphite reductase hemoprotein, beta subunit",0.100716523,188.0
Q88P16,PUR4_PSEPK,Purl,Phosphoribosylformylglycinamidine synthase,0.10008382872222223,189.0
Q88MG1,PYRG_PSEPK,Pyrg,CTP synthase,0.09994779772222223,190.0
Q88DU4,DAPB_PSEPK,Dapb,4-hydroxy-tetrahydrodipicolinate reductase,0.0991407645,191.0
Q88DF6,NADE_PSEPK,Nade,NH(3)-dependent NAD(+) synthetase,0.09907125927777777,192.0
Q88MU7,Q88MU7_PSEPK,Thrc,Threonine synthase,0.09854756338888888,193.0
Q88HE3,Q88HE3_PSEPK,Gntp,Gluconate transporter,0.098168588,194.0
Q88GY0,Q88GY0_PSEPK,Tpx,Probable thiol peroxidase,0.09778468705555556,195.0
Q88RP7,TRPA_PSEPK,Trpa,Tryptophan synthase alpha chain,0.0968798045,196.0
Q88ME4,RECA_PSEPK,Reca,Protein RecA,0.0958373096111111,197.0
Q88D62,Q88D62_PSEPK,Tkta,Transketolase,0.09541459533333334,198.0
Q88BX3,ATPG_PSEPK,Atpg,ATP synthase gamma chain,0.09427001516666667,199.0
Q88NX2,Q88NX2_PSEPK,Pp_1081,Glutaredoxin,0.09390643244444445,200.0
Q88E33,FABV_PSEPK,Fabv,Enoyl-[acyl-carrier-protein] reductase [NADH],0.09290515344444444,201.0
Q88CJ9,Q88CJ9_PSEPK,Potf-2,"Putrescine ABC transporter, periplasmic putrescine-binding protein",0.09245305083333333,202.0
Q88N69,SECA_PSEPK,Seca,Protein translocase subunit SecA,0.09139754744444445,203.0
Q88IS1,Q88IS1_PSEPK,Pp_2928,Uncharacterized protein,0.09120698044444445,204.0
Q88P22,Q88P22_PSEPK,Guab,Inosine-5'-monophosphate dehydrogenase,0.09115952977777779,205.0
Q88DN1,SYL_PSEPK,Leus,Leucine--tRNA ligase,0.091075141,206.0
