Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
G1G01-1240	PP_1157		ACETOLACTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-1484	PP_1394		ACETOLACTSYN-RXN	2.2.1.6	acetolactate synthase large subunit	No Evidence Code
G1G01-3596	PP_3365		ACETOLACTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-4997	PP_4679	ilvH	ACETOLACTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-4998	PP_4680	ilvI	ACETOLACTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-3412	PP_3191		RXN-15122	No EC#	threonine ammonia-lyase/dehydratase	No Evidence Code
G1G01-3679	PP_3446	ilvA-I	RXN-15122	No EC#	threonine deaminase	No Evidence Code
G1G01-4711	PP_4430		RXN-15122	No EC#	threonine dehydratase	No Evidence Code
G1G01-5494	PP_5149	ilvA-II	RXN-15122	No EC#	threonine deaminase	No Evidence Code
G1G01-1240	PP_1157		ACETOOHBUTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-1484	PP_1394		ACETOOHBUTSYN-RXN	2.2.1.6	acetolactate synthase large subunit	No Evidence Code
G1G01-3596	PP_3365		ACETOOHBUTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-4997	PP_4679	ilvH	ACETOOHBUTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-4998	PP_4680	ilvI	ACETOOHBUTSYN-RXN	2.2.1.6	acetolactate synthase	No Evidence Code
G1G01-4996	PP_4678	ilvC	ACETOOHBUTREDUCTOISOM-RXN	1.1.1.86	ketol-acid reductoisomerase	No Evidence Code
G1G01-5472	PP_5128	ilvD	DIHYDROXYMETVALDEHYDRAT-RXN	4.2.1.9	dihydroxy-acid dehydratase	No Evidence Code
G1G01-3747	PP_3511	ilvE	BRANCHED-CHAINAMINOTRANSFERILEU-RXN	2.6.1.42	branched-chain-amino acid aminotransferase	No Evidence Code
G1G01-4996	PP_4678	ilvC	ACETOLACTREDUCTOISOM-RXN	1.1.1.86	ketol-acid reductoisomerase	No Evidence Code
G1G01-5472	PP_5128	ilvD	DIHYDROXYISOVALDEHYDRAT-RXN	4.2.1.9	dihydroxy-acid dehydratase	No Evidence Code
G1G01-3747	PP_3511	ilvE	BRANCHED-CHAINAMINOTRANSFERVAL-RXN	2.6.1.42	branched-chain-amino acid aminotransferase	No Evidence Code
G1G01-1098	PP_1025	leuA	2-ISOPROPYLMALATESYN-RXN	2.3.3.13	2-isopropylmalate synthase	No Evidence Code
G1G01-2116	PP_1985	leuC	3-ISOPROPYLMALISOM-RXN	No EC#	3-isopropylmalate dehydratase	No Evidence Code
G1G01-2117	PP_1986	leuD	3-ISOPROPYLMALISOM-RXN	No EC#	3-isopropylmalate dehydratase	No Evidence Code
G1G01-2116	PP_1985	leuC	RXN-8991	No EC#	3-isopropylmalate dehydratase	No Evidence Code
G1G01-2117	PP_1986	leuD	RXN-8991	No EC#	3-isopropylmalate dehydratase	No Evidence Code
G1G01-2119	PP_1988	leuB	3-ISOPROPYLMALDEHYDROG-RXN	No EC#	3-isopropylmalate dehydrogenase	No Evidence Code
G1G01-3747	PP_3511	ilvE	BRANCHED-CHAINAMINOTRANSFERLEU-RXN	2.6.1.6/2.6.1.42	branched-chain-amino acid aminotransferase	No Evidence Code
