Gene ID	Gene Accession	Gene name	Reaction id	Reaction EC	Enzymatic activity	Evidence
G1G01-2277	PP_2136	fadB	OHBUTYRYL-COA-EPIM-RXN	5.1.2.3	3-hydroxyacyl-CoA epimerase	EV-EXP
G1G01-3977	PP_3724		ACYLCOASYN-RXN	6.2.1.-	acyl-CoA synthetase	No Evidence Code
G1G01-3692	PP_3458	acs	ACYLCOASYN-RXN	6.2.1.-	acyl-CoA synthetase	No Evidence Code
G1G01-2354	PP_2213		ACYLCOASYN-RXN	6.2.1.-	acyl-CoA synthetase	No Evidence Code
G1G01-2277	PP_2136	fadB	ENOYL-COA-DELTA-ISOM-RXN	5.3.3.8	Delta3,Delta2-enoyl-CoA isomerase	EV-EXP
G1G01-1950	PP_1845		ENOYL-COA-DELTA-ISOM-RXN	5.3.3.8	enoyl-CoA hydratase/isomerase family protein	No Evidence Code
G1G01-3979	PP_3726		ENOYL-COA-DELTA-ISOM-RXN	5.3.3.8	enoyl-CoA hydratase/isomerase family protein	No Evidence Code
G1G01-3985	PP_3732		ENOYL-COA-DELTA-ISOM-RXN	5.3.3.8	enoyl-CoA hydratase/isomerase family protein	No Evidence Code
G1G01-4295	PP_4030		ENOYL-COA-DELTA-ISOM-RXN	5.3.3.8	enoyl-CoA hydratase/isomerase family protein	No Evidence Code
G1G01-2185	PP_2048		ACYLCOADEHYDROG-RXN	1.3.8.-	acyl-CoA dehydrogenase	No Evidence Code
G1G01-2003	PP_1893	fadE	ACYLCOADEHYDROG-RXN	1.3.8.-	acyl-CoA dehydrogenase	No Evidence Code
G1G01-2277	PP_2136	fadB	ENOYL-COA-HYDRAT-RXN	4.2.1.17	enoyl-CoA hydratase	EV-EXP
G1G01-2358	PP_2217		ENOYL-COA-HYDRAT-RXN	4.2.1.17	enoyl-CoA hydratase	No Evidence Code
G1G01-2277	PP_2136	fadB	OHACYL-COA-DEHYDROG-RXN	1.1.1.35	3-hydroxyacyl-CoA dehydrogenase	EV-EXP
G1G01-2355	PP_2214	fadBA	OHACYL-COA-DEHYDROG-RXN	1.1.1.35	type II 3-hydroxyacyl-CoA dehydrogenase	No Evidence Code
G1G01-2278	PP_2137	fadA	KETOACYLCOATHIOL-RXN	2.3.1.16	acetyl-CoA C-acyltransferase	EV-EXP
G1G01-2188	PP_2051	fadA	KETOACYLCOATHIOL-RXN	2.3.1.16	3-ketoacyl-CoA thiolase	No Evidence Code
