Rank,Protein.Group,Protein.Names,Protein,Protein.Description,%_of protein_abundance_Top3-method
1,P00552,KKA2_KLEPN,Neo,Aminoglycoside 3'-phosphotransferase,3.352558794
2,P32377,MVD1_YEAST,Mvd1,Diphosphomevalonate decarboxylase,2.507165968
3,Q88N55,CH60_PSEPK,Grol,60 kDa chaperonin,2.283662603
4,P23181,AACC1_PSEAI,Aacc1,Gentamicin 3-N-acetyltransferase,1.973717573
5,Q88QN7,EFTU2_PSEPK,Tufb,Elongation factor Tu-B,1.813564348
6,Q835L3,Q835L3_ENTFA,Ef_1364,"Acetyl-CoA acetyltransferase/hydroxymethylglutaryl-CoA reductase, degradative",1.460456332
7,P0A157,RL7_PSEPK,Rpll,50S ribosomal protein L7/L12,1.334310208
8,Q88DU2,DNAK_PSEPK,Dnak,Chaperone protein DnaK,1.094668816
9,Q88QP4,RL1_PSEPK,Rpla,50S ribosomal protein L1,1.037850158
10,Q88FB2,SUCC_PSEPK,Succ,Succinyl-CoA ligase [ADP-forming] subunit beta,0.991579094
11,Q8PW39,Q8PW39_METMA,Mvk,Mevalonate kinase,0.972201776
12,Q88QM3,RL5_PSEPK,Rple,50S ribosomal protein L5,0.793678249
13,Q9FD71,HMGCS_ENTFL,Mvas,Hydroxymethylglutaryl-CoA synthase,0.785364298
14,Q88QM6,RS17_PSEPK,Rpsq,30S ribosomal protein S17,0.775310334
15,Q88KI7,Q88KI7_PSEPK,Hupb,DNA-binding protein HU-beta,0.763671625
16,Q88FB3,Q88FB3_PSEPK,Sucd,Succinyl-CoA ligase [ADP-forming] subunit alpha,0.748213017
17,Q88DZ0,ILVC_PSEPK,Ilvc,Ketol-acid reductoisomerase,0.708088708
18,Q88QN8,EFG1_PSEPK,Fusa,Elongation factor G 1,0.699339022
19,Q88N56,CH10_PSEPK,Gros,10 kDa chaperonin,0.667305162
20,Q88QN6,RS10_PSEPK,Rpsj,30S ribosomal protein S10,0.602236033
21,Q88MH9,EFTS_PSEPK,Tsf,Elongation factor Ts,0.60032746
22,Q88QN9,RS7_PSEPK,Rpsg,30S ribosomal protein S7,0.577883489
23,Q88QM8,RL16_PSEPK,Rplp,50S ribosomal protein L16,0.556931507
24,Q88M03,Q88M03_PSEPK,Rpsa,30S ribosomal protein S1,0.555815298
25,Q88QN4,RL4_PSEPK,Rpld,50S ribosomal protein L4,0.540606766
26,Q88MV6,RS16_PSEPK,Rpsp,30S ribosomal protein S16,0.537335127
27,Q88BX4,ATPB_PSEPK,Atpd,ATP synthase subunit beta,0.528737739
28,Q88QN2,RL2_PSEPK,Rplb,50S ribosomal protein L2,0.523977728
29,Q88N96,RS9_PSEPK,Rpsi,30S ribosomal protein S9,0.517327959
30,Q88NK1,Q88NK1_PSEPK,Oprd,Porin D,0.500844634
31,Q88P29,Q88P29_PSEPK,Eda,2-dehydro-3-deoxyphosphogluconate aldolase/4-hydroxy-2-oxoglutarate aldolase,0.49901584
32,Q88NW9,Q88NW9_PSEPK,Pp_1084,"Antioxidant, AhpC/Tsa family",0.492540327
